account_type,customer_id,customer_name,risk_flag,total_credits,total_debits,transaction_count
CREDITCARD,123001,Oliver,0,0.0,4000.0,1
CREDITCARD,123004,Jack,1,0.0,14500.0,1
CREDITCARD,123007,Charlie,0,25000.0,0.0,1
CREDITCARD,123016,Logan,0,0.0,5500.0,1
CREDITCARD,123019,Liam,0,0.0,16000.0,1
CREDITCARD,123022,Leo,0,1000.0,0.0,1
CREDITCARD,123031,Mark,0,0.0,7000.0,1
CREDITCARD,123034,Alex,0,17500.0,0.0,1
CREDITCARD,123037,Sarah,0,2500.0,0.0,1
RECURRING DEPOSITS,123001,Oliver,0,0.0,2500.0,1
RECURRING DEPOSITS,123002,George,0,7000.0,0.0,1
RECURRING DEPOSITS,123003,Harry,0,10000.0,0.0,1
RECURRING DEPOSITS,123004,Jack,1,0.0,13000.0,1
RECURRING DEPOSITS,123005,Jacob,1,0.0,17500.0,1
RECURRING DEPOSITS,123006,Noah,0,20500.0,0.0,1
RECURRING DEPOSITS,123007,Charlie,0,23500.0,0.0,1
RECURRING DEPOSITS,123016,Logan,0,0.0,4000.0,1
RECURRING DEPOSITS,123017,Ava,0,0.0,8500.0,1
RECURRING DEPOSITS,123018,Emma,0,11500.0,0.0,1
RECURRING DEPOSITS,123019,Liam,0,14500.0,0.0,1
RECURRING DEPOSITS,123020,James,1,0.0,19000.0,1
RECURRING DEPOSITS,123021,Henry,1,0.0,22000.0,1
RECURRING DEPOSITS,123022,Leo,0,25000.0,0.0,1
RECURRING DEPOSITS,123023,Oscar,0,0.0,4000.0,1
RECURRING DEPOSITS,123032,Dylan,0,0.0,10000.0,1
RECURRING DEPOSITS,123033,Ryan,0,13000.0,0.0,1
RECURRING DEPOSITS,123034,Alex,0,16000.0,0.0,1
RECURRING DEPOSITS,123035,Nora,1,0.0,20500.0,1
RECURRING DEPOSITS,123036,Zoe,1,0.0,23500.0,1
RECURRING DEPOSITS,123037,Sarah,0,1000.0,0.0,1
RECURRING DEPOSITS,123038,Eva,0,5500.0,0.0,1
SAVINGS,123001,Oliver,0,0.0,1000.0,1
SAVINGS,123002,George,0,0.0,5500.0,1
SAVINGS,123003,Harry,0,8500.0,0.0,1
SAVINGS,123004,Jack,0,11500.0,0.0,1
SAVINGS,123005,Jacob,1,0.0,16000.0,1
SAVINGS,123006,Noah,1,0.0,19000.0,1
SAVINGS,123007,Charlie,0,22000.0,0.0,1
SAVINGS,123008,Robin,0,0.0,1000.0,1
SAVINGS,123017,Ava,0,0.0,7000.0,1
SAVINGS,123018,Emma,0,10000.0,0.0,1
SAVINGS,123019,Liam,0,13000.0,0.0,1
SAVINGS,123020,James,1,0.0,17500.0,1
SAVINGS,123021,Henry,1,0.0,20500.0,1
SAVINGS,123022,Leo,0,23500.0,0.0,1
SAVINGS,123023,Oscar,0,2500.0,0.0,1
SAVINGS,123032,Dylan,0,0.0,8500.0,1
SAVINGS,123033,Ryan,1,0.0,11500.0,1
SAVINGS,123034,Alex,0,14500.0,0.0,1
SAVINGS,123035,Nora,1,0.0,19000.0,1
SAVINGS,123036,Zoe,1,0.0,22000.0,1
SAVINGS,123037,Sarah,1,0.0,25000.0,1
SAVINGS,123038,Eva,0,4000.0,0.0,1
SAVINGS,123039,Max,0,0.0,7000.0,1
