affected_accounts,anomaly_month,client_id,client_name,deviation_from_average,outgoing_amount,recommended_channel,state_code
4000-1901-3001,2020-01,123002,George,5041.666666666667,5500.0,email,MN
"4000-1904-3004,5000-1704-5004",2020-02,123005,Jacob,30708.333333333332,33500.0,email,WA
4000-1905-3005,2020-03,123006,Noah,17416.666666666668,19000.0,email,IL
4000-1907-3007,2020-03,123008,Robin,708.3333333333333,1000.0,email,FL
"4000-1908-3008,5000-1708-5008",2020-04,123009,Amelia,8708.333333333334,9500.0,email,CA
4000-1909-3009,2020-04,123010,Sophia,6416.666666666667,7000.0,email,MN
"4000-1912-3012,5000-1712-5012",2020-05,123013,Lucas,33458.333333333336,36500.0,email,WA
4000-1915-3015,2020-06,123016,Logan,1500.0,2500.0,email,FL
"4000-1916-3016,5000-1716-5016",2020-01,123017,Ava,14208.333333333334,15500.0,email,CA
5000-1700-5000,2020-01,123001,Oliver,2291.6666666666665,2500.0,email,CA
"5000-1703-5003,9000-1703-7003-4303",2020-02,123004,Jack,25208.333333333332,27500.0,email,TX
5000-1707-5007,2020-04,123008,Robin,2208.3333333333335,2500.0,email,FL
5000-1711-5011,2020-05,123012,Isabella,14666.666666666666,16000.0,email,TX
"5000-1715-5015,9000-1715-7015-4315",2020-01,123016,Logan,8500.0,9500.0,email,FL
