t01,t02,t03,t04,t05
4000-1920-3020,-20500.0,UPI transfer,MN,2020-02-29
4000-1928-3028,-23500.0,Bankers cheque,WA,2020-06-03
4000-1935-3035,-22000.0,POS-Walmart,WA,2020-02-24
4000-1936-3036,-25000.0,Bankers cheque,AZ,2020-03-05
5000-1720-5020,-22000.0,Bankers cheque,NY,2020-03-05
5000-1727-5027,-20500.0,POS-Walmart,NY,2020-05-24
5000-1735-5035,-23500.0,UPI transfer,IL,2020-02-29
5000-1742-5042,-22000.0,ATM withdrawal,IL,2020-05-19
9000-1712-7012-4312,-20500.0,Bankers cheque,CA,2020-06-03
9000-1727-7027-4327,-22000.0,UPI transfer,TX,2020-05-29
