account_number,client_id,client_name,out_of_state_transaction_share,total_credits,total_debits,transaction_count
4000-1901-3001,123002,George,1.0,0.0,5500.0,1
4000-1902-3002,123003,Harry,1.0,8500.0,0.0,1
4000-1903-3003,123004,Jack,1.0,11500.0,0.0,1
4000-1904-3004,123005,Jacob,0.0,0.0,16000.0,1
4000-1905-3005,123006,Noah,1.0,0.0,19000.0,1
4000-1906-3006,123007,Charlie,1.0,22000.0,0.0,1
4000-1907-3007,123008,Robin,1.0,0.0,1000.0,1
4000-1908-3008,123009,Amelia,0.0,0.0,0.0,0
4000-1909-3009,123010,Sophia,0.0,0.0,0.0,0
4000-1910-3010,123011,Mia,0.0,0.0,0.0,0
4000-1912-3012,123013,Lucas,0.0,0.0,0.0,0
4000-1913-3013,123014,Mason,0.0,0.0,0.0,0
4000-1914-3014,123015,Ethan,0.0,0.0,0.0,0
4000-1915-3015,123016,Logan,0.0,0.0,0.0,0
4000-1916-3016,123017,Ava,0.0,0.0,7000.0,1
4000-1917-3017,123018,Emma,1.0,10000.0,0.0,1
4000-1918-3018,123019,Liam,1.0,13000.0,0.0,1
4000-1919-3019,123020,James,1.0,0.0,17500.0,1
4000-1920-3020,123021,Henry,1.0,0.0,20500.0,1
4000-1921-3021,123022,Leo,1.0,23500.0,0.0,1
4000-1923-3023,123024,Grace,0.0,0.0,0.0,0
4000-1924-3024,123025,Emily,0.0,0.0,0.0,0
4000-1925-3025,123026,Lily,0.0,0.0,0.0,0
4000-1926-3026,123027,Ella,0.0,0.0,0.0,0
4000-1927-3027,123028,Chloe,0.0,0.0,0.0,0
4000-1928-3028,123029,Daniel,0.0,0.0,0.0,0
4000-1929-3029,123030,Adam,0.0,0.0,0.0,0
4000-1930-3030,123031,Mark,0.0,0.0,0.0,0
4000-1931-3031,123032,Dylan,1.0,0.0,8500.0,1
4000-1932-3032,123033,Ryan,1.0,0.0,11500.0,1
4000-1934-3034,123035,Nora,0.0,0.0,19000.0,1
4000-1935-3035,123036,Zoe,1.0,0.0,22000.0,1
4000-1936-3036,123037,Sarah,1.0,0.0,25000.0,1
4000-1937-3037,123038,Eva,1.0,4000.0,0.0,1
4000-1938-3038,123039,Max,1.0,0.0,7000.0,1
4000-1939-3039,123040,Aaron,0.0,0.0,0.0,0
4000-1940-3040,123041,David,0.0,0.0,0.0,0
4000-1941-3041,123042,Molly,0.0,0.0,0.0,0
4000-1942-3042,123043,Julia,0.0,0.0,0.0,0
