account_type,client_id,client_name,out_of_state_transaction_share,total_credits,total_debits,transaction_count
Credit Card,123004,Jack,0.0,0.0,14500.0,1
Credit Card,123010,Sophia,0.0,10000.0,0.0,1
Credit Card,123016,Logan,0.0,0.0,5500.0,1
Credit Card,123022,Leo,0.0,1000.0,0.0,1
Credit Card,123028,Chloe,0.0,0.0,22000.0,1
Credit Card,123034,Alex,0.0,17500.0,0.0,1
Credit Card,123040,Aaron,0.0,0.0,13000.0,1
RECURRING DEPOSITS,123001,Oliver,1.0,0.0,2500.0,1
RECURRING DEPOSITS,123002,George,1.0,7000.0,0.0,1
RECURRING DEPOSITS,123003,Harry,1.0,10000.0,0.0,1
RECURRING DEPOSITS,123004,Jack,1.0,0.0,13000.0,1
RECURRING DEPOSITS,123005,Jacob,1.0,0.0,17500.0,1
RECURRING DEPOSITS,123006,Noah,1.0,20500.0,0.0,1
RECURRING DEPOSITS,123007,Charlie,1.0,23500.0,0.0,1
RECURRING DEPOSITS,123008,Robin,1.0,0.0,2500.0,1
RECURRING DEPOSITS,123009,Amelia,1.0,0.0,5500.0,1
RECURRING DEPOSITS,123010,Sophia,1.0,8500.0,0.0,1
RECURRING DEPOSITS,123011,Mia,1.0,13000.0,0.0,1
RECURRING DEPOSITS,123012,Isabella,1.0,0.0,16000.0,1
RECURRING DEPOSITS,123013,Lucas,1.0,0.0,19000.0,1
RECURRING DEPOSITS,123014,Mason,1.0,23500.0,0.0,1
RECURRING DEPOSITS,123015,Ethan,1.0,1000.0,0.0,1
RECURRING DEPOSITS,123016,Logan,1.0,0.0,4000.0,1
RECURRING DEPOSITS,123017,Ava,1.0,0.0,8500.0,1
RECURRING DEPOSITS,123018,Emma,1.0,11500.0,0.0,1
RECURRING DEPOSITS,123019,Liam,1.0,14500.0,0.0,1
RECURRING DEPOSITS,123020,James,1.0,0.0,19000.0,1
RECURRING DEPOSITS,123021,Henry,1.0,0.0,22000.0,1
RECURRING DEPOSITS,123022,Leo,1.0,25000.0,0.0,1
RECURRING DEPOSITS,123023,Oscar,1.0,0.0,4000.0,1
RECURRING DEPOSITS,123024,Grace,1.0,0.0,7000.0,1
RECURRING DEPOSITS,123025,Emily,1.0,0.0,10000.0,1
RECURRING DEPOSITS,123026,Lily,1.0,14500.0,0.0,1
RECURRING DEPOSITS,123027,Ella,1.0,0.0,17500.0,1
RECURRING DEPOSITS,123028,Chloe,1.0,0.0,20500.0,1
RECURRING DEPOSITS,123029,Daniel,1.0,25000.0,0.0,1
RECURRING DEPOSITS,123030,Adam,1.0,2500.0,0.0,1
RECURRING DEPOSITS,123031,Mark,1.0,0.0,5500.0,1
RECURRING DEPOSITS,123032,Dylan,1.0,0.0,10000.0,1
RECURRING DEPOSITS,123033,Ryan,1.0,13000.0,0.0,1
RECURRING DEPOSITS,123034,Alex,1.0,16000.0,0.0,1
RECURRING DEPOSITS,123035,Nora,1.0,0.0,20500.0,1
RECURRING DEPOSITS,123036,Zoe,1.0,0.0,23500.0,1
RECURRING DEPOSITS,123037,Sarah,1.0,1000.0,0.0,1
RECURRING DEPOSITS,123038,Eva,1.0,5500.0,0.0,1
RECURRING DEPOSITS,123039,Max,1.0,0.0,8500.0,1
RECURRING DEPOSITS,123040,Aaron,1.0,0.0,11500.0,1
RECURRING DEPOSITS,123041,David,1.0,16000.0,0.0,1
RECURRING DEPOSITS,123042,Molly,1.0,19000.0,0.0,1
RECURRING DEPOSITS,123043,Julia,1.0,0.0,22000.0,1
SAVINGS,123002,George,1.0,0.0,5500.0,1
SAVINGS,123003,Harry,1.0,8500.0,0.0,1
SAVINGS,123004,Jack,1.0,11500.0,0.0,1
SAVINGS,123005,Jacob,0.0,0.0,16000.0,1
SAVINGS,123006,Noah,1.0,0.0,19000.0,1
SAVINGS,123007,Charlie,1.0,22000.0,0.0,1
SAVINGS,123008,Robin,1.0,0.0,1000.0,1
SAVINGS,123009,Amelia,1.0,0.0,4000.0,1
SAVINGS,123010,Sophia,1.0,0.0,7000.0,1
SAVINGS,123011,Mia,0.0,11500.0,0.0,1
SAVINGS,123013,Lucas,1.0,0.0,17500.0,1
SAVINGS,123014,Mason,1.0,22000.0,0.0,1
SAVINGS,123015,Ethan,1.0,25000.0,0.0,1
SAVINGS,123016,Logan,1.0,0.0,2500.0,1
SAVINGS,123017,Ava,0.0,0.0,7000.0,1
SAVINGS,123018,Emma,1.0,10000.0,0.0,1
SAVINGS,123019,Liam,1.0,13000.0,0.0,1
SAVINGS,123020,James,1.0,0.0,17500.0,1
SAVINGS,123021,Henry,1.0,0.0,20500.0,1
SAVINGS,123022,Leo,1.0,23500.0,0.0,1
SAVINGS,123024,Grace,1.0,0.0,5500.0,1
SAVINGS,123025,Emily,1.0,0.0,8500.0,1
SAVINGS,123026,Lily,1.0,13000.0,0.0,1
SAVINGS,123027,Ella,1.0,16000.0,0.0,1
SAVINGS,123028,Chloe,1.0,0.0,19000.0,1
SAVINGS,123029,Daniel,0.0,0.0,23500.0,1
SAVINGS,123030,Adam,1.0,1000.0,0.0,1
SAVINGS,123031,Mark,1.0,4000.0,0.0,1
