client_id,client_name,main_account,main_account_current_balance,out_of_state_operation_count,previous_3_month_avg_outgoing,total_outgoing_turnover,violation_month
123008,Robin,4000-1907-3007,252500,1,333.33,2500.0,2020-04
123009,Amelia,4000-1908-3008,260000,2,0.0,9500.0,2020-04
123010,Sophia,4000-1909-3009,267500,1,0.0,7000.0,2020-04
123012,Isabella,4000-1911-3011,282500,1,0.0,16000.0,2020-05
123013,Lucas,4000-1912-3012,290000,2,0.0,36500.0,2020-05
123016,Logan,4000-1915-3015,312500,1,0.0,2500.0,2020-06
123024,Grace,4000-1923-3023,372500,2,0.0,12500.0,2020-04
123025,Emily,4000-1924-3024,380000,2,0.0,18500.0,2020-04
123027,Ella,4000-1926-3026,395000,1,0.0,17500.0,2020-05
123028,Chloe,4000-1927-3027,402500,2,0.0,61500.0,2020-05
123031,Mark,4000-1930-3030,425000,1,0.0,5500.0,2020-06
123039,Max,4000-1938-3038,485000,1,2333.33,8500.0,2020-04
123040,Aaron,4000-1939-3039,492500,2,0.0,34500.0,2020-04
123043,Julia,4000-1942-3042,515000,2,0.0,42500.0,2020-05
