t01,t02,t03,t05
4000-1900-3000,-1000.0,ATM withdrawal,2020-01-05
4000-1901-3001,-5500.0,Bankers cheque,2020-01-20
4000-1904-3004,-16000.0,POS-Walmart,2020-02-24
4000-1905-3005,-19000.0,Bankers cheque,2020-03-05
4000-1907-3007,-1000.0,Shopping Cart,2020-03-30
4000-1908-3008,-4000.0,POS-Walmart,2020-04-09
4000-1909-3009,-7000.0,Bankers cheque,2020-04-19
4000-1911-3011,-14500.0,Shopping Cart,2020-05-14
4000-1912-3012,-17500.0,POS-Walmart,2020-05-24
4000-1915-3015,-2500.0,Shopping Cart,2020-06-28
4000-1916-3016,-7000.0,UPI transfer,2020-01-15
4000-1919-3019,-17500.0,ATM withdrawal,2020-02-19
4000-1920-3020,-20500.0,UPI transfer,2020-02-29
4000-1923-3023,-5500.0,ATM withdrawal,2020-04-04
4000-1924-3024,-8500.0,UPI transfer,2020-04-14
4000-1927-3027,-19000.0,ATM withdrawal,2020-05-19
4000-1928-3028,-23500.0,Bankers cheque,2020-06-03
4000-1931-3031,-8500.0,POS-Walmart,2020-01-10
4000-1932-3032,-11500.0,Bankers cheque,2020-01-20
4000-1934-3034,-19000.0,Shopping Cart,2020-02-14
4000-1935-3035,-22000.0,POS-Walmart,2020-02-24
4000-1936-3036,-25000.0,Bankers cheque,2020-03-05
4000-1938-3038,-7000.0,Shopping Cart,2020-03-30
4000-1939-3039,-10000.0,POS-Walmart,2020-04-09
4000-1942-3042,-20500.0,Shopping Cart,2020-05-14
5000-1700-5000,-2500.0,POS-Walmart,2020-01-10
5000-1703-5003,-13000.0,Shopping Cart,2020-02-14
5000-1704-5004,-17500.0,UPI transfer,2020-02-29
5000-1707-5007,-2500.0,ATM withdrawal,2020-04-04
5000-1708-5008,-5500.0,UPI transfer,2020-04-14
5000-1711-5011,-16000.0,ATM withdrawal,2020-05-19
5000-1712-5012,-19000.0,UPI transfer,2020-05-29
5000-1715-5015,-4000.0,ATM withdrawal,2020-01-05
5000-1716-5016,-8500.0,Bankers cheque,2020-01-20
5000-1719-5019,-19000.0,POS-Walmart,2020-02-24
5000-1720-5020,-22000.0,Bankers cheque,2020-03-05
5000-1722-5022,-4000.0,Shopping Cart,2020-03-30
5000-1723-5023,-7000.0,POS-Walmart,2020-04-09
5000-1724-5024,-10000.0,Bankers cheque,2020-04-19
5000-1726-5026,-17500.0,Shopping Cart,2020-05-14
5000-1727-5027,-20500.0,POS-Walmart,2020-05-24
5000-1730-5030,-5500.0,Shopping Cart,2020-06-28
5000-1731-5031,-10000.0,UPI transfer,2020-01-15
5000-1734-5034,-20500.0,ATM withdrawal,2020-02-19
5000-1735-5035,-23500.0,UPI transfer,2020-02-29
5000-1738-5038,-8500.0,ATM withdrawal,2020-04-04
5000-1739-5039,-11500.0,UPI transfer,2020-04-14
5000-1742-5042,-22000.0,ATM withdrawal,2020-05-19
9000-1700-7000-4300,-4000.0,UPI transfer,2020-01-15
9000-1703-7003-4303,-14500.0,ATM withdrawal,2020-02-19
9000-1712-7012-4312,-20500.0,Bankers cheque,2020-06-03
9000-1715-7015-4315,-5500.0,POS-Walmart,2020-01-10
9000-1718-7018-4318,-16000.0,Shopping Cart,2020-02-14
9000-1727-7027-4327,-22000.0,UPI transfer,2020-05-29
9000-1730-7030-4330,-7000.0,ATM withdrawal,2020-01-05
9000-1739-7039-4339,-13000.0,Bankers cheque,2020-04-19
