account_type,client_id,client_name,out_of_state_transaction_share,total_credits,total_debits,transaction_count
Credit Card,123004,Jack,0.0,0.0,14500.0,1
Credit Card,123034,Alex,0.0,17500.0,0.0,1
RECURRING DEPOSITS,123004,Jack,1.0,0.0,13000.0,1
RECURRING DEPOSITS,123005,Jacob,1.0,0.0,17500.0,1
RECURRING DEPOSITS,123006,Noah,1.0,20500.0,0.0,1
RECURRING DEPOSITS,123007,Charlie,1.0,23500.0,0.0,1
RECURRING DEPOSITS,123018,Emma,1.0,11500.0,0.0,1
RECURRING DEPOSITS,123019,Liam,1.0,14500.0,0.0,1
RECURRING DEPOSITS,123020,James,1.0,0.0,19000.0,1
RECURRING DEPOSITS,123021,Henry,1.0,0.0,22000.0,1
RECURRING DEPOSITS,123022,Leo,1.0,25000.0,0.0,1
RECURRING DEPOSITS,123033,Ryan,1.0,13000.0,0.0,1
RECURRING DEPOSITS,123034,Alex,1.0,16000.0,0.0,1
RECURRING DEPOSITS,123035,Nora,1.0,0.0,20500.0,1
RECURRING DEPOSITS,123036,Zoe,1.0,0.0,23500.0,1
SAVINGS,123004,Jack,1.0,11500.0,0.0,1
SAVINGS,123005,Jacob,0.0,0.0,16000.0,1
SAVINGS,123006,Noah,1.0,0.0,19000.0,1
SAVINGS,123007,Charlie,1.0,22000.0,0.0,1
SAVINGS,123019,Liam,1.0,13000.0,0.0,1
SAVINGS,123020,James,1.0,0.0,17500.0,1
SAVINGS,123021,Henry,1.0,0.0,20500.0,1
SAVINGS,123022,Leo,1.0,23500.0,0.0,1
SAVINGS,123033,Ryan,1.0,0.0,11500.0,1
SAVINGS,123035,Nora,0.0,0.0,19000.0,1
SAVINGS,123036,Zoe,1.0,0.0,22000.0,1
SAVINGS,123037,Sarah,1.0,0.0,25000.0,1
