account_no,client_name,client_state,current_balance,distinct_operation_states,largest_debit_date,suspicious_debit_rank,total_suspicious_debits
4000-1905-3005,Noah,IL,237500,1,2020-03-05,5,19000.0
4000-1909-3009,Sophia,MN,267500,1,2020-04-19,13,7000.0
4000-1912-3012,Lucas,WA,290000,1,2020-05-24,7,17500.0
4000-1919-3019,James,TX,342500,1,2020-02-19,7,17500.0
4000-1920-3020,Henry,WA,350000,1,2020-02-29,3,20500.0
4000-1924-3024,Emily,CA,380000,1,2020-04-14,11,8500.0
4000-1927-3027,Chloe,TX,402500,1,2020-05-19,5,19000.0
4000-1931-3031,Dylan,FL,432500,1,2020-01-10,11,8500.0
4000-1932-3032,Ryan,CA,440000,1,2020-01-20,9,11500.0
4000-1935-3035,Zoe,TX,462500,1,2020-02-24,2,22000.0
4000-1936-3036,Sarah,WA,470000,1,2020-03-05,1,25000.0
4000-1938-3038,Max,AZ,485000,1,2020-03-30,13,7000.0
4000-1939-3039,Aaron,FL,492500,1,2020-04-09,10,10000.0
4000-1942-3042,Julia,NY,515000,1,2020-05-14,3,20500.0
