account_number,amount,channel,transaction_date
4000-1910-3010,11500.0,ECS transfer,2020-05-04
4000-1924-3024,-8500.0,UPI transfer,2020-04-14
4000-1934-3034,-19000.0,Shopping Cart,2020-02-14
4000-1941-3041,17500.0,ECS transfer,2020-05-04
5000-1703-5003,-13000.0,Shopping Cart,2020-02-14
5000-1713-5013,23500.0,cheque deposit,2020-06-13
5000-1720-5020,-22000.0,Bankers cheque,2020-03-05
5000-1727-5027,-20500.0,POS-Walmart,2020-05-24
5000-1737-5037,5500.0,Cash Deposit,2020-03-25
9000-1706-7006-4306,25000.0,Cash Deposit,2020-03-25
