t01,t02,t03,t04,t05
4000-1912-3012,-17500.0,POS-Walmart,AZ,2020-05-24
4000-1915-3015,-2500.0,Shopping Cart,IL,2020-06-28
4000-1927-3027,-19000.0,ATM withdrawal,MN,2020-05-19
4000-1928-3028,-23500.0,Bankers cheque,WA,2020-06-03
5000-1711-5011,-16000.0,ATM withdrawal,IL,2020-05-19
5000-1712-5012,-19000.0,UPI transfer,FL,2020-05-29
5000-1727-5027,-20500.0,POS-Walmart,NY,2020-05-24
5000-1730-5030,-5500.0,Shopping Cart,MN,2020-06-28
9000-1712-7012-4312,-20500.0,Bankers cheque,CA,2020-06-03
9000-1727-7027-4327,-22000.0,UPI transfer,TX,2020-05-29
