customer_id,customer_name,staff_id,staff_name,transaction_count,total_amount,average_payment,risk_flag
470,GORDON ALLARD,1,Mike Hillyer,13,70.87,5.45,0
144,CLARA SHAW,2,Jon Stephens,12,68.88,5.74,0
494,RAMON CHOATE,2,Jon Stephens,13,64.87,4.99,0
522,ARNOLD HAVENS,2,Jon Stephens,11,63.89,5.81,0
508,MILTON HOWLAND,2,Jon Stephens,11,60.89,5.54,0
148,ELEANOR HUNT,1,Mike Hillyer,15,60.85,4.06,0
459,TOMMY COLLAZO,1,Mike Hillyer,12,58.88,4.91,0
595,TERRENCE GUNDERSON,1,Mike Hillyer,12,58.88,4.91,0
137,RHONDA KENNEDY,1,Mike Hillyer,11,57.89,5.26,0
484,ROBERTO VU,2,Jon Stephens,10,56.9,5.69,0
574,JULIAN VEST,1,Mike Hillyer,13,56.87,4.37,0
35,VIRGINIA GREEN,1,Mike Hillyer,11,55.89,5.08,0
179,DANA HART,1,Mike Hillyer,11,55.89,5.08,0
307,JOSEPH JOY,1,Mike Hillyer,12,55.88,4.66,0
462,WARREN SHERROD,1,Mike Hillyer,12,55.88,4.66,0
178,MARION SNYDER,1,Mike Hillyer,10,54.9,5.49,0
292,MISTY LAMBERT,1,Mike Hillyer,10,54.9,5.49,0
346,ARTHUR SIMPKINS,2,Jon Stephens,10,54.9,5.49,0
376,RANDY GAITHER,1,Mike Hillyer,12,54.88,4.57,0
181,ANA BRADLEY,1,Mike Hillyer,8,51.92,6.49,0
51,ALICE STEWART,1,Mike Hillyer,10,51.9,5.19,0
225,ARLENE HARVEY,1,Mike Hillyer,9,50.91,5.66,0
257,MARSHA DOUGLAS,2,Jon Stephens,10,50.9,5.09,0
2,PATRICIA JOHNSON,2,Jon Stephens,8,48.92,6.12,0
39,DEBRA NELSON,2,Jon Stephens,8,48.92,6.12,0
209,TONYA CHAPMAN,2,Jon Stephens,9,48.91,5.43,0
220,CHARLENE ALVAREZ,2,Jon Stephens,9,48.91,5.43,0
285,MIRIAM MCKINNEY,1,Mike Hillyer,7,47.93,6.85,0
332,STEPHEN QUALLS,2,Jon Stephens,9,47.91,5.32,0
