customer_id,first_name,last_name,payment_count,total_amount,avg_payment,risk_level
148,ELEANOR,HUNT,22,100.78,4.58,обычный
470,GORDON,ALLARD,17,96.83,5.7,высокий
522,ARNOLD,HAVENS,18,96.82,5.38,высокий
137,RHONDA,KENNEDY,19,96.81,5.1,высокий
144,CLARA,SHAW,18,93.82,5.21,высокий
459,TOMMY,COLLAZO,18,89.82,4.99,обычный
257,MARSHA,DOUGLAS,18,88.82,4.93,обычный
295,DAISY,BATES,18,87.82,4.88,обычный
526,KARL,SEAL,19,86.81,4.57,обычный
595,TERRENCE,GUNDERSON,19,86.81,4.57,обычный
178,MARION,SNYDER,18,85.82,4.77,обычный
102,CRYSTAL,FORD,21,84.79,4.04,обычный
346,ARTHUR,SIMPKINS,15,83.85,5.59,высокий
209,TONYA,CHAPMAN,17,82.83,4.87,обычный
366,BRANDON,HUEY,19,82.81,4.36,обычный
50,DIANE,COLLINS,17,80.83,4.75,обычный
225,ARLENE,HARVEY,17,80.83,4.75,обычный
469,WESLEY,BULL,18,80.82,4.49,обычный
494,RAMON,CHOATE,18,80.82,4.49,обычный
479,ZACHARY,HITE,15,79.85,5.32,высокий
92,TINA,SIMMONS,15,78.85,5.26,высокий
332,STEPHEN,QUALLS,17,78.83,4.64,обычный
484,ROBERTO,VU,15,77.85,5.19,высокий
372,STEVE,MACKENZIE,16,77.84,4.87,обычный
309,CHRISTOPHER,GRECO,16,76.84,4.8,обычный
286,VELMA,LUCAS,17,76.83,4.52,обычный
2,PATRICIA,JOHNSON,14,75.86,5.42,высокий
591,KENT,ARSENAULT,15,75.85,5.06,высокий
508,MILTON,HOWLAND,14,74.86,5.35,высокий
292,MISTY,LAMBERT,16,74.84,4.68,обычный
462,WARREN,SHERROD,16,74.84,4.68,обычный
39,DEBRA,NELSON,15,73.85,4.92,обычный
502,BRETT,CORNWELL,15,73.85,4.92,обычный
210,ELLA,OLIVER,18,73.82,4.1,обычный
30,MELISSA,KING,19,73.81,3.88,обычный
236,MARCIA,DEAN,20,73.8,3.69,обычный
181,ANA,BRADLEY,12,72.88,6.07,высокий
245,COURTNEY,DAY,16,72.84,4.55,обычный
475,PEDRO,CHESTNUT,15,71.85,4.79,обычный
446,THEODORE,CULP,17,71.83,4.23,обычный
566,CASEY,MENA,18,71.82,3.99,обычный
585,PERRY,SWAFFORD,13,70.87,5.45,высокий
172,BERNICE,WILLIS,14,70.86,5.06,высокий
41,STEPHANIE,MITCHELL,15,70.85,4.72,обычный
558,JIMMIE,EGGLESTON,15,70.85,4.72,обычный
573,BYRON,BOX,15,70.85,4.72,обычный
265,JENNIE,TERRY,16,70.84,4.43,обычный
348,ROGER,QUINTANILLA,16,70.84,4.43,обычный
168,REGINA,BERRY,17,70.83,4.17,обычный
71,KATHY,JAMES,18,70.82,3.93,обычный
75,TAMMY,SANDERS,20,70.8,3.54,обычный
482,MAURICE,CRAWLEY,12,69.88,5.82,высокий
49,JOYCE,EDWARDS,13,69.87,5.37,высокий
100,ROBIN,HAYES,13,69.87,5.37,высокий
532,NEIL,RENNER,14,69.86,4.99,обычный
363,ROY,WHITING,15,69.85,4.66,обычный
376,RANDY,GAITHER,15,69.85,4.66,обычный
360,RALPH,MADRIGAL,17,69.83,4.11,обычный
583,MARSHALL,THORN,12,68.88,5.74,высокий
3,LINDA,WILLIAMS,13,68.87,5.3,высокий
285,MIRIAM,MCKINNEY,13,68.87,5.3,высокий
179,DANA,HART,14,68.86,4.92,обычный
103,GLADYS,HAMILTON,15,68.85,4.59,обычный
35,VIRGINIA,GREEN,16,68.84,4.3,обычный
373,LOUIS,LEONE,16,68.84,4.3,обычный
553,MAX,PITT,16,68.84,4.3,обычный
89,JULIA,FLORES,17,68.83,4.05,обычный
406,NATHAN,RUNYON,18,68.82,3.82,обычный
497,GILBERT,SLEDGE,14,67.86,4.85,обычный
273,PRISCILLA,LOWE,15,67.85,4.52,обычный
302,MICHAEL,SILVERMAN,15,67.85,4.52,обычный
425,FRANCIS,SIKES,17,67.83,3.99,обычный
314,GEORGE,LINTON,18,67.82,3.77,обычный
354,JUSTIN,NGO,19,67.81,3.57,обычный
467,ALVIN,DELOACH,13,66.87,5.14,высокий
441,MARIO,CHEATHAM,17,66.83,3.93,обычный
426,BRADLEY,MOTLEY,11,65.89,5.99,высокий
433,DON,BONE,14,65.86,4.7,обычный
579,DARYL,LARUE,14,65.86,4.7,обычный
594,EDUARDO,HIATT,14,65.86,4.7,обычный
125,ETHEL,WEBB,16,65.84,4.12,обычный
128,MARJORIE,TUCKER,16,65.84,4.12,обычный
347,RYAN,SALISBURY,17,65.83,3.87,обычный
38,MARTHA,GONZALEZ,18,65.82,3.66,обычный
82,KATHRYN,COLEMAN,11,64.89,5.9,высокий
84,SARA,PERRY,12,64.88,5.41,высокий
86,JACQUELINE,LONG,12,64.88,5.41,высокий
63,ASHLEY,RICHARDSON,14,64.86,4.63,обычный
490,SAM,MCDUFFIE,14,64.86,4.63,обычный
531,JAMIE,WAUGH,14,64.86,4.63,обычный
219,WILLIE,HOWELL,15,64.85,4.32,обычный
237,TANYA,GILBERT,15,64.85,4.32,обычный
282,JENNY,CASTRO,15,64.85,4.32,обычный
574,JULIAN,VEST,15,64.85,4.32,обычный
598,WADE,DELVALLE,16,64.84,4.05,обычный
187,BRITTANY,RILEY,11,63.89,5.81,высокий
331,ERIC,ROBERT,12,63.88,5.32,высокий
196,ALMA,AUSTIN,14,63.86,4.56,обычный
576,MORRIS,MCCARTER,15,63.85,4.26,обычный
485,CLYDE,TOBIAS,18,63.82,3.55,обычный
337,JERRY,JORDON,12,62.88,5.24,высокий
307,JOSEPH,JOY,13,62.87,4.84,обычный
235,JACKIE,LYNCH,15,62.85,4.19,обычный
211,STACEY,MONTGOMERY,16,62.84,3.93,обычный
80,MARILYN,ROSS,12,61.88,5.16,высокий
403,MIKE,WAY,12,61.88,5.16,высокий
13,KAREN,JACKSON,13,61.87,4.76,обычный
107,FLORENCE,WOODS,14,61.86,4.42,обычный
114,GRACE,ELLIS,15,61.85,4.12,обычный
122,THELMA,MURRAY,15,61.85,4.12,обычный
362,NICHOLAS,BARFIELD,15,61.85,4.12,обычный
592,TERRANCE,ROUSH,15,61.85,4.12,обычный
42,CAROLYN,PEREZ,16,61.84,3.87,обычный
59,CHERYL,MURPHY,11,60.89,5.54,высокий
491,RICK,MATTOX,11,60.89,5.54,высокий
284,SONIA,GREGORY,12,60.88,5.07,высокий
23,SARAH,LEWIS,13,60.87,4.68,обычный
66,JANICE,WARD,13,60.87,4.68,обычный
206,TERRI,VASQUEZ,13,60.87,4.68,обычный
393,PHILIP,CAUSEY,13,60.87,4.68,обычный
513,DUANE,TUBBS,13,60.87,4.68,обычный
520,MITCHELL,WESTMORELAND,14,60.86,4.35,обычный
442,LEROY,BUSTAMANTE,16,60.84,3.8,обычный
563,KEN,PREWITT,16,60.84,3.8,обычный
7,MARIA,MILLER,11,59.89,5.44,высокий
220,CHARLENE,ALVAREZ,12,59.88,4.99,обычный
300,JOHN,FARNSWORTH,14,59.86,4.28,обычный
404,STANLEY,SCROGGINS,14,59.86,4.28,обычный
560,JORDAN,ARCHULETA,14,59.86,4.28,обычный
5,ELIZABETH,BROWN,16,59.84,3.74,обычный
64,JUDITH,COX,19,59.81,3.15,обычный
91,LOIS,BUTLER,19,59.81,3.15,обычный
477,DAN,PAINE,10,58.9,5.89,высокий
