customer_id,customer_first_name,customer_last_name,staff_id,staff_first_name,staff_last_name,payment_count,total_amount,avg_payment_amount,payments_over_8
137,RHONDA,KENNEDY,1,Mike,Hillyer,22,112.78,5.13,2
176,JUNE,CARROLL,1,Mike,Hillyer,22,111.78,5.08,1
187,BRITTANY,RILEY,2,Jon,Stephens,19,110.81,5.83,5
148,ELEANOR,HUNT,2,Jon,Stephens,22,110.78,5.04,2
459,TOMMY,COLLAZO,1,Mike,Hillyer,22,108.78,4.94,1
526,KARL,SEAL,1,Mike,Hillyer,20,106.8,5.34,3
178,MARION,SNYDER,1,Mike,Hillyer,18,103.82,5.77,2
211,STACEY,MONTGOMERY,2,Jon,Stephens,22,103.78,4.72,3
522,ARNOLD,HAVENS,2,Jon,Stephens,20,102.8,5.14,2
26,JESSICA,HALL,1,Mike,Hillyer,21,101.79,4.85,1
526,KARL,SEAL,2,Jon,Stephens,22,101.78,4.63,1
148,ELEANOR,HUNT,1,Mike,Hillyer,23,100.77,4.38,3
144,CLARA,SHAW,2,Jon,Stephens,19,99.81,5.25,2
237,TANYA,GILBERT,2,Jon,Stephens,20,99.8,4.99,3
289,VIOLET,RODRIQUEZ,2,Jon,Stephens,20,99.8,4.99,2
410,CURTIS,IRBY,1,Mike,Hillyer,23,98.77,4.29,1
462,WARREN,SHERROD,1,Mike,Hillyer,21,97.79,4.66,2
309,CHRISTOPHER,GRECO,2,Jon,Stephens,17,96.83,5.7,2
469,WESLEY,BULL,1,Mike,Hillyer,19,96.81,5.1,3
268,NINA,SOTO,2,Jon,Stephens,20,95.8,4.79,0
479,ZACHARY,HITE,2,Jon,Stephens,18,94.82,5.27,3
494,RAMON,CHOATE,2,Jon,Stephens,19,94.81,4.99,2
236,MARCIA,DEAN,2,Jon,Stephens,20,94.8,4.74,1
35,VIRGINIA,GREEN,1,Mike,Hillyer,22,92.78,4.22,0
380,RUSSELL,BRINSON,1,Mike,Hillyer,22,91.78,4.17,1
470,GORDON,ALLARD,1,Mike,Hillyer,18,89.82,4.99,2
454,ALEX,GRESHAM,2,Jon,Stephens,19,89.81,4.73,3
144,CLARA,SHAW,1,Mike,Hillyer,21,89.79,4.28,0
373,LOUIS,LEONE,1,Mike,Hillyer,18,88.82,4.93,0
210,ELLA,OLIVER,2,Jon,Stephens,20,87.8,4.39,3
259,LENA,JENSEN,2,Jon,Stephens,17,86.83,5.11,0
550,GUY,BROWNLEE,1,Mike,Hillyer,18,86.82,4.82,3
473,JORGE,OLIVARES,2,Jon,Stephens,19,86.81,4.57,1
125,ETHEL,WEBB,1,Mike,Hillyer,20,86.8,4.34,1
295,DAISY,BATES,1,Mike,Hillyer,20,86.8,4.34,2
372,STEVE,MACKENZIE,2,Jon,Stephens,13,85.87,6.61,4
103,GLADYS,HAMILTON,2,Jon,Stephens,15,85.85,5.72,2
292,MISTY,LAMBERT,1,Mike,Hillyer,17,85.83,5.05,3
468,TIM,CARY,2,Jon,Stephens,17,85.83,5.05,1
50,DIANE,COLLINS,2,Jon,Stephens,18,85.82,4.77,2
78,LORI,WOOD,2,Jon,Stephens,18,85.82,4.77,1
482,MAURICE,CRAWLEY,2,Jon,Stephens,18,85.82,4.77,1
279,DIANNE,SHELTON,1,Mike,Hillyer,19,85.81,4.52,1
178,MARION,SNYDER,2,Jon,Stephens,20,85.8,4.29,0
181,ANA,BRADLEY,1,Mike,Hillyer,15,84.85,5.66,3
293,MAE,FLETCHER,1,Mike,Hillyer,15,84.85,5.66,3
45,JANET,PHILLIPS,1,Mike,Hillyer,16,84.84,5.3,3
207,GERTRUDE,CASTILLO,2,Jon,Stephens,18,84.82,4.71,3
257,MARSHA,DOUGLAS,2,Jon,Stephens,19,84.81,4.46,0
574,JULIAN,VEST,1,Mike,Hillyer,21,84.79,4.04,0
558,JIMMIE,EGGLESTON,2,Jon,Stephens,13,83.87,6.45,2
221,BESSIE,MORRISON,1,Mike,Hillyer,16,83.84,5.24,2
46,CATHERINE,CAMPBELL,2,Jon,Stephens,17,83.83,4.93,2
273,PRISCILLA,LOWE,1,Mike,Hillyer,17,83.83,4.93,2
347,RYAN,SALISBURY,2,Jon,Stephens,18,83.82,4.66,3
86,JACQUELINE,LONG,2,Jon,Stephens,18,82.82,4.6,1
533,JESSIE,MILAM,1,Mike,Hillyer,18,82.82,4.6,3
66,JANICE,WARD,1,Mike,Hillyer,19,82.81,4.36,2
297,SHERRI,RHODES,1,Mike,Hillyer,19,82.81,4.36,3
366,BRANDON,HUEY,1,Mike,Hillyer,19,82.81,4.36,0
75,TAMMY,SANDERS,1,Mike,Hillyer,20,82.8,4.14,1
307,JOSEPH,JOY,1,Mike,Hillyer,20,82.8,4.14,1
403,MIKE,WAY,2,Jon,Stephens,17,81.83,4.81,1
348,ROGER,QUINTANILLA,2,Jon,Stephens,21,81.79,3.89,1
209,TONYA,CHAPMAN,2,Jon,Stephens,14,80.86,5.78,2
285,MIRIAM,MCKINNEY,1,Mike,Hillyer,14,80.86,5.78,4
39,DEBRA,NELSON,2,Jon,Stephens,16,80.84,5.05,1
300,JOHN,FARNSWORTH,1,Mike,Hillyer,16,80.84,5.05,2
403,MIKE,WAY,1,Mike,Hillyer,16,80.84,5.05,1
329,FRANK,WAGGONER,1,Mike,Hillyer,17,80.83,4.75,1
532,NEIL,RENNER,2,Jon,Stephens,17,80.83,4.75,1
131,MONICA,HICKS,1,Mike,Hillyer,18,80.82,4.49,3
198,ELSIE,KELLEY,1,Mike,Hillyer,18,80.82,4.49,0
362,NICHOLAS,BARFIELD,1,Mike,Hillyer,18,80.82,4.49,1
84,SARA,PERRY,2,Jon,Stephens,20,80.8,4.04,1
434,EDDIE,TOMLIN,2,Jon,Stephens,15,79.85,5.32,2
