customer_id,first_name,last_name,transaction_count,total_payment_amount,average_payment_amount,share_payments_above_5
148,ELEANOR,HUNT,22,100.78,4.58,0.1818
102,CRYSTAL,FORD,21,84.79,4.04,0.3333
236,MARCIA,DEAN,20,73.8,3.69,0.1
75,TAMMY,SANDERS,20,70.8,3.54,0.2
137,RHONDA,KENNEDY,19,96.81,5.1,0.3684
526,KARL,SEAL,19,86.81,4.57,0.3158
595,TERRENCE,GUNDERSON,19,86.81,4.57,0.2105
366,BRANDON,HUEY,19,82.81,4.36,0.3158
30,MELISSA,KING,19,73.81,3.88,0.1579
354,JUSTIN,NGO,19,67.81,3.57,0.1579
64,JUDITH,COX,19,59.81,3.15,0.1579
91,LOIS,BUTLER,19,59.81,3.15,0.0
522,ARNOLD,HAVENS,18,96.82,5.38,0.4444
144,CLARA,SHAW,18,93.82,5.21,0.5
459,TOMMY,COLLAZO,18,89.82,4.99,0.3333
257,MARSHA,DOUGLAS,18,88.82,4.93,0.3333
295,DAISY,BATES,18,87.82,4.88,0.2778
178,MARION,SNYDER,18,85.82,4.77,0.2778
469,WESLEY,BULL,18,80.82,4.49,0.2222
494,RAMON,CHOATE,18,80.82,4.49,0.2778
210,ELLA,OLIVER,18,73.82,4.1,0.2778
566,CASEY,MENA,18,71.82,3.99,0.1667
71,KATHY,JAMES,18,70.82,3.93,0.1111
406,NATHAN,RUNYON,18,68.82,3.82,0.1667
314,GEORGE,LINTON,18,67.82,3.77,0.2222
38,MARTHA,GONZALEZ,18,65.82,3.66,0.2222
485,CLYDE,TOBIAS,18,63.82,3.55,0.0556
470,GORDON,ALLARD,17,96.83,5.7,0.4118
209,TONYA,CHAPMAN,17,82.83,4.87,0.4118
50,DIANE,COLLINS,17,80.83,4.75,0.3529
225,ARLENE,HARVEY,17,80.83,4.75,0.2353
332,STEPHEN,QUALLS,17,78.83,4.64,0.4118
286,VELMA,LUCAS,17,76.83,4.52,0.2941
446,THEODORE,CULP,17,71.83,4.23,0.2353
168,REGINA,BERRY,17,70.83,4.17,0.3529
360,RALPH,MADRIGAL,17,69.83,4.11,0.1765
89,JULIA,FLORES,17,68.83,4.05,0.1765
425,FRANCIS,SIKES,17,67.83,3.99,0.2353
441,MARIO,CHEATHAM,17,66.83,3.93,0.1765
347,RYAN,SALISBURY,17,65.83,3.87,0.1176
157,DARLENE,ROSE,17,52.83,3.11,0.0588
283,FELICIA,SUTTON,17,50.83,2.99,0.0588
372,STEVE,MACKENZIE,16,77.84,4.87,0.375
309,CHRISTOPHER,GRECO,16,76.84,4.8,0.25
292,MISTY,LAMBERT,16,74.84,4.68,0.3125
462,WARREN,SHERROD,16,74.84,4.68,0.3125
245,COURTNEY,DAY,16,72.84,4.55,0.3125
265,JENNIE,TERRY,16,70.84,4.43,0.3125
348,ROGER,QUINTANILLA,16,70.84,4.43,0.1875
35,VIRGINIA,GREEN,16,68.84,4.3,0.3125
373,LOUIS,LEONE,16,68.84,4.3,0.25
