customer_id,customer_name,country_name,city_name,payment_date,day_payment_amount,payment_count,personal_avg_30d,country_avg_same_day,deviation_from_personal_avg,deviation_from_country_avg,staff_count,store_count,customer_country_rank
441,MARIO CHEATHAM,Algeria,Batna,2005-07-29,18.95,5,5.32,9.64,13.63,9.31,2,2,1
560,JORDAN ARCHULETA,Argentina,Avellaneda,2005-08-01,17.97,3,5.99,6.76,11.98,11.21,2,2,1
560,JORDAN ARCHULETA,Argentina,Avellaneda,2005-07-07,13.97,3,3.99,7.55,9.98,6.42,2,2,1
445,MICHEAL FORMAN,Argentina,Escobar,2005-08-02,17.98,2,3.65,6.81,14.33,11.17,2,2,2
89,JULIA FLORES,Argentina,La Plata,2005-06-15,16.98,2,3.32,5.99,13.66,10.99,2,2,3
585,PERRY SWAFFORD,Argentina,Quilmes,2005-07-08,14.98,2,4.74,8.58,10.24,6.4,2,2,4
24,KIMBERLY LEE,Argentina,Crdoba,2005-08-18,11.98,2,2.99,6.7,8.99,5.28,2,2,5
331,ERIC ROBERT,Argentina,Santa F,2005-06-19,9.98,2,2.32,5.43,7.66,4.55,2,2,6
405,LEONARD SCHOFIELD,Argentina,Tandil,2005-08-01,9.98,2,3.32,6.76,6.66,3.22,2,2,6
266,NORA HERRERA,Austria,Salzburg,2005-08-02,16.97,3,4.32,10.98,12.65,5.99,2,2,1
21,MICHELLE CLARK,Bangladesh,Tangail,2005-08-20,32.96,4,5.58,14.98,27.38,17.98,2,2,1
21,MICHELLE CLARK,Bangladesh,Tangail,2005-06-18,15.97,3,2.99,9.48,12.98,6.49,2,2,1
21,MICHELLE CLARK,Bangladesh,Tangail,2005-08-18,11.98,2,3.86,7.99,8.12,3.99,2,2,1
374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2005-08-22,20.96,4,4.09,7.63,16.87,13.33,2,2,1
374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2005-07-10,13.97,3,3.16,7.48,10.81,6.49,2,2,1
544,CODY NOLEN,Brazil,So Bernardo do Campo,2005-08-21,18.97,3,5.16,8.83,13.82,10.14,2,2,2
544,CODY NOLEN,Brazil,So Bernardo do Campo,2005-06-15,12.98,2,2.99,4.82,9.99,8.16,2,2,2
77,JANE BENNETT,Brazil,Araatuba,2005-08-17,14.98,2,3.99,6.72,11.0,8.26,2,2,3
77,JANE BENNETT,Brazil,Araatuba,2005-06-18,12.98,2,3.99,5.4,8.99,7.58,2,2,3
362,NICHOLAS BARFIELD,Brazil,Belm,2005-08-21,25.96,4,7.48,8.83,18.48,17.13,2,2,4
92,TINA SIMMONS,Brazil,Goinia,2005-07-10,23.96,4,7.99,7.48,15.97,16.48,2,2,5
342,HAROLD MARTINO,Brazil,Boa Vista,2005-07-12,19.97,3,5.24,7.83,14.73,12.14,2,2,6
254,MAXINE SILVA,Brazil,Poos de Caldas,2005-07-10,19.96,4,5.78,7.48,14.18,12.48,2,2,7
126,ELLEN SIMPSON,Brazil,Po,2005-07-06,18.97,3,2.99,7.23,15.98,11.74,2,2,8
354,JUSTIN NGO,Brazil,Santo Andr,2005-07-29,18.97,3,4.98,9.14,13.99,9.83,2,2,8
206,TERRI VASQUEZ,Brazil,Blumenau,2005-08-19,18.97,3,5.49,7.03,13.48,11.94,2,2,8
216,NATALIE MEYER,Brazil,Aparecida de Goinia,2005-07-11,14.98,2,3.79,6.3,11.19,8.68,2,2,9
183,IDA ANDREWS,Brazil,Luzinia,2005-07-31,13.97,3,3.49,6.33,10.48,7.64,2,2,10
74,DENISE KELLY,Brazil,Rio Claro,2005-07-10,10.97,3,3.39,7.48,7.58,3.49,2,2,11
215,JESSIE BANKS,Bulgaria,Stara Zagora,2005-08-23,9.96,4,3.24,6.98,6.72,2.99,2,2,1
352,ALBERT CROUSE,Cameroon,Bamenda,2005-07-27,22.96,4,5.49,12.98,17.47,9.99,2,2,1
410,CURTIS IRBY,Canada,Richmond Hill,2005-07-09,17.96,4,4.15,12.47,13.81,5.5,2,2,1
410,CURTIS IRBY,Canada,Richmond Hill,2005-06-18,10.98,2,2.99,8.65,7.99,2.33,2,2,1
45,JANET PHILLIPS,Chile,Antofagasta,2005-08-02,27.95,5,5.84,11.31,22.11,16.64,2,2,1
515,ANDRE RAPP,Chile,Coquimbo,2005-08-17,15.97,3,3.79,9.48,12.18,6.49,2,2,2
464,JEROME KENYON,Chile,Rancagua,2005-08-20,11.98,2,3.99,8.49,7.99,3.5,2,2,3
424,KYLE SPURLOCK,China,Shanwei,2005-07-31,20.97,3,5.41,9.03,15.56,11.94,2,2,1
424,KYLE SPURLOCK,China,Shanwei,2005-07-30,14.96,4,3.82,8.37,11.14,6.59,2,2,1
424,KYLE SPURLOCK,China,Shanwei,2005-06-20,11.98,2,0.99,5.58,10.99,6.4,2,2,1
384,ERNEST STEPP,China,Huaian,2005-06-20,18.97,3,4.65,5.58,14.32,13.39,2,2,2
384,ERNEST STEPP,China,Huaian,2005-06-18,13.98,2,2.79,5.3,11.19,8.68,2,2,2
384,ERNEST STEPP,China,Huaian,2005-08-22,11.97,3,2.99,6.9,8.98,5.07,2,2,2
267,MARGIE WADE,China,Lengshuijiang,2005-06-19,22.96,4,5.99,7.03,16.97,15.93,2,2,3
267,MARGIE WADE,China,Lengshuijiang,2005-07-30,15.97,3,3.66,8.37,12.31,7.6,2,2,3
129,CARRIE PORTER,China,Liaocheng,2005-07-31,26.96,4,5.78,9.03,21.18,17.93,2,2,4
129,CARRIE PORTER,China,Liaocheng,2005-06-19,9.97,3,0.99,7.03,8.98,2.94,2,2,4
538,TED BREAUX,China,Baicheng,2005-07-31,18.97,3,4.11,9.03,14.86,9.94,2,2,5
538,TED BREAUX,China,Baicheng,2005-07-09,16.97,3,4.79,5.26,12.18,11.71,2,2,5
485,CLYDE TOBIAS,China,Shaoguan,2005-07-30,17.96,4,5.98,8.37,11.98,9.59,2,2,6
