customer_first_name,customer_last_name,payment_count,total_amount,average_payment,suspicious_activity
ELEANOR,HUNT,45,211.55000000000013,4.701111111111114,1
KARL,SEAL,42,208.5800000000001,4.966190476190478,1
RHONDA,KENNEDY,38,191.62000000000006,5.04263157894737,1
MARION,SNYDER,38,189.62000000000006,4.990000000000002,1
CLARA,SHAW,40,189.60000000000008,4.740000000000002,1
TOMMY,COLLAZO,37,183.63000000000005,4.962972972972975,1
MARCIA,DEAN,38,165.62000000000003,4.35842105263158,1
ANA,BRADLEY,32,164.68000000000004,5.146250000000001,1
CURTIS,IRBY,37,164.63000000000002,4.44945945945946,1
MIKE,WAY,33,162.67000000000004,4.9293939393939405,1
ARNOLD,HAVENS,32,161.68,5.0525,1
WESLEY,BULL,35,158.64999999999998,4.532857142857142,1
GORDON,ALLARD,31,157.69,5.086774193548387,1
DAISY,BATES,36,157.64000000000001,4.3788888888888895,1
LOUIS,LEONE,33,155.67000000000002,4.717272727272728,1
LENA,JENSEN,30,154.70000000000002,5.156666666666667,1
TIM,CARY,34,154.66000000000003,4.548823529411766,1
WARREN,SHERROD,31,152.69,4.925483870967742,1
STEVE,MACKENZIE,32,152.68,4.77125,1
PRISCILLA,LOWE,33,152.67,4.626363636363636,1
BRITTANY,RILEY,27,151.73,5.619629629629629,1
JUNE,CARROLL,32,151.67999999999998,4.739999999999999,1
NEIL,RENNER,30,148.70000000000002,4.956666666666667,1
GUY,BROWNLEE,30,148.7,4.956666666666666,1
TONYA,CHAPMAN,29,147.70999999999998,5.093448275862068,1
JACQUELINE,LONG,32,146.68,4.58375,1
JESSICA,HALL,32,146.67999999999995,4.583749999999998,1
ARTHUR,SIMPKINS,30,145.7,4.8566666666666665,1
DIANE,COLLINS,30,144.7,4.823333333333333,1
RALPH,MADRIGAL,32,144.67999999999998,4.521249999999999,1
ROGER,QUINTANILLA,34,144.65999999999997,4.2547058823529404,1
MAE,FLETCHER,28,143.71999999999997,5.132857142857142,1
DUANE,TUBBS,30,143.69999999999996,4.789999999999998,1
MICHELLE,CLARK,31,143.69,4.63516129032258,1
ALEX,GRESHAM,32,143.67999999999998,4.489999999999999,1
VIOLET,RODRIQUEZ,30,142.7,4.756666666666666,1
RYAN,SALISBURY,30,142.7,4.756666666666666,1
SHAWN,HEATON,31,142.68999999999997,4.60290322580645,1
MARSHA,DOUGLAS,34,142.66,4.195882352941176,1
DEBRA,NELSON,29,141.70999999999995,4.886551724137929,1
LORI,WOOD,31,141.68999999999997,4.570645161290321,1
STACEY,MONTGOMERY,32,141.67999999999998,4.427499999999999,1
NICHOLAS,BARFIELD,31,140.68999999999997,4.538387096774192,1
BRANDON,HUEY,35,140.64999999999995,4.018571428571427,1
TAMMY,SANDERS,36,140.64,3.9066666666666663,1
ROY,WHITING,28,139.72,4.99,1
CHRISTOPHER,GRECO,29,139.70999999999995,4.81758620689655,1
SHERRY,MARSHALL,31,139.68999999999997,4.506129032258063,1
HARRY,ARCE,31,139.68999999999997,4.506129032258063,1
JANICE,WARD,33,139.66999999999996,4.2324242424242415,1
TANYA,GILBERT,31,138.68999999999997,4.473870967741934,1
OLGA,JIMENEZ,31,137.68999999999997,4.441612903225805,1
ALEXANDER,FENNELL,33,137.67,4.171818181818182,1
ANGELA,HERNANDEZ,34,137.65999999999994,4.048823529411763,1
MIRIAM,MCKINNEY,26,135.73999999999998,5.22076923076923,1
JIMMIE,EGGLESTON,28,135.71999999999997,4.847142857142856,1
RAMON,CHOATE,30,135.69999999999996,4.523333333333332,1
KENT,ARSENAULT,27,134.72999999999996,4.989999999999998,1
ALVIN,DELOACH,28,134.71999999999997,4.8114285714285705,1
MARILYN,ROSS,29,134.70999999999995,4.645172413793102,1
ELLA,OLIVER,30,134.69999999999996,4.489999999999998,1
MARGIE,WADE,31,134.68999999999997,4.344838709677418,1
ROSEMARY,SCHMIDT,31,134.68999999999994,4.3448387096774175,1
ZACHARY,HITE,28,133.71999999999997,4.775714285714285,1
STANLEY,SCROGGINS,29,133.70999999999995,4.610689655172412,1
BERNICE,WILLIS,30,133.69999999999996,4.456666666666665,1
SUE,PETERS,32,133.67999999999995,4.177499999999998,1
ELIZABETH,BROWN,34,133.65999999999997,3.9311764705882344,1
WANDA,PATTERSON,27,132.72999999999993,4.915925925925923,1
JENNIE,TERRY,28,132.71999999999994,4.7399999999999975,1
RUSSELL,BRINSON,35,132.64999999999995,3.7899999999999987,1
KAREN,JACKSON,27,131.72999999999996,4.878888888888888,1
ETHEL,WEBB,31,131.68999999999997,4.248064516129031,1
CATHERINE,CAMPBELL,31,131.68999999999994,4.2480645161290305,1
LINDA,WILLIAMS,24,130.75999999999993,5.448333333333331,1
JOE,GILLILAND,27,130.72999999999996,4.8418518518518505,1
MARIA,MILLER,28,130.71999999999997,4.668571428571427,1
HELEN,HARRIS,30,130.69999999999996,4.356666666666666,1
BRETT,CORNWELL,30,130.69999999999993,4.356666666666665,1
HAROLD,MARTINO,32,130.67999999999995,4.083749999999998,1
CASEY,MENA,32,130.67999999999995,4.083749999999998,1
ROSA,REYNOLDS,28,129.71999999999997,4.632857142857142,1
SYLVIA,ORTIZ,29,129.70999999999998,4.472758620689654,1
JESSIE,MILAM,29,129.70999999999995,4.472758620689653,1
MORRIS,MCCARTER,30,129.69999999999996,4.323333333333332,1
CRYSTAL,FORD,30,129.69999999999993,4.3233333333333315,1
ROBERTO,VU,27,128.72999999999996,4.767777777777776,1
GLADYS,HAMILTON,29,128.70999999999995,4.438275862068964,1
GLENDA,FRAZIER,29,128.70999999999995,4.438275862068964,1
SARA,PERRY,30,128.69999999999996,4.289999999999998,1
REGINA,BERRY,31,128.68999999999994,4.1512903225806435,1
ALMA,AUSTIN,31,128.68999999999994,4.1512903225806435,1
BESSIE,MORRISON,27,127.72999999999995,4.730740740740739,1
CHARLES,KOWALSKI,30,127.69999999999995,4.256666666666665,1
DEBBIE,REYES,31,127.68999999999993,4.119032258064514,1
MITCHELL,WESTMORELAND,31,127.68999999999993,4.119032258064514,1
FRANK,WAGGONER,32,127.67999999999994,3.989999999999998,1
MARTHA,GONZALEZ,34,127.65999999999993,3.754705882352939,1
GREG,ROBINS,25,126.74999999999994,5.069999999999998,1
JAMIE,RICE,27,126.72999999999995,4.693703703703702,1
TERRI,VASQUEZ,27,126.72999999999995,4.693703703703702,1
TROY,QUIGLEY,27,126.72999999999995,4.693703703703702,1
NAOMI,JENNINGS,28,126.71999999999996,4.525714285714284,1
DIANNE,SHELTON,28,126.71999999999996,4.525714285714284,1
BRADLEY,MOTLEY,26,125.73999999999995,4.836153846153844,1
MAURICE,CRAWLEY,26,125.73999999999995,4.836153846153844,1
JOANNE,ROBERTSON,32,125.67999999999995,3.9274999999999984,1
JANET,PHILLIPS,26,124.73999999999997,4.797692307692307,1
JULIA,FLORES,29,124.70999999999992,4.300344827586204,1
