first_name,last_name,transaction_count,total_amount,average_check,risk_flag
ELEANOR,HUNT,22,100.78,4.58,подозрительная активность
GORDON,ALLARD,17,96.83,5.7,подозрительная активность
ARNOLD,HAVENS,18,96.82,5.38,подозрительная активность
RHONDA,KENNEDY,19,96.81,5.1,подозрительная активность
CLARA,SHAW,18,93.82,5.21,подозрительная активность
TOMMY,COLLAZO,18,89.82,4.99,подозрительная активность
MARSHA,DOUGLAS,18,88.82,4.93,подозрительная активность
DAISY,BATES,18,87.82,4.88,подозрительная активность
KARL,SEAL,19,86.81,4.57,подозрительная активность
TERRENCE,GUNDERSON,19,86.81,4.57,подозрительная активность
MARION,SNYDER,18,85.82,4.77,подозрительная активность
CRYSTAL,FORD,21,84.79,4.04,подозрительная активность
ARTHUR,SIMPKINS,15,83.85,5.59,подозрительная активность
TONYA,CHAPMAN,17,82.83,4.87,подозрительная активность
BRANDON,HUEY,19,82.81,4.36,подозрительная активность
DIANE,COLLINS,17,80.83,4.75,подозрительная активность
ARLENE,HARVEY,17,80.83,4.75,подозрительная активность
WESLEY,BULL,18,80.82,4.49,подозрительная активность
RAMON,CHOATE,18,80.82,4.49,подозрительная активность
ZACHARY,HITE,15,79.85,5.32,подозрительная активность
TINA,SIMMONS,15,78.85,5.26,подозрительная активность
STEPHEN,QUALLS,17,78.83,4.64,подозрительная активность
ROBERTO,VU,15,77.85,5.19,подозрительная активность
STEVE,MACKENZIE,16,77.84,4.87,подозрительная активность
CHRISTOPHER,GRECO,16,76.84,4.8,подозрительная активность
VELMA,LUCAS,17,76.83,4.52,подозрительная активность
PATRICIA,JOHNSON,14,75.86,5.42,подозрительная активность
KENT,ARSENAULT,15,75.85,5.06,подозрительная активность
MILTON,HOWLAND,14,74.86,5.35,подозрительная активность
MISTY,LAMBERT,16,74.84,4.68,подозрительная активность
WARREN,SHERROD,16,74.84,4.68,подозрительная активность
DEBRA,NELSON,15,73.85,4.92,подозрительная активность
BRETT,CORNWELL,15,73.85,4.92,подозрительная активность
ELLA,OLIVER,18,73.82,4.1,подозрительная активность
MELISSA,KING,19,73.81,3.88,подозрительная активность
MARCIA,DEAN,20,73.8,3.69,подозрительная активность
ANA,BRADLEY,12,72.88,6.07,подозрительная активность
COURTNEY,DAY,16,72.84,4.55,подозрительная активность
PEDRO,CHESTNUT,15,71.85,4.79,подозрительная активность
THEODORE,CULP,17,71.83,4.23,подозрительная активность
CASEY,MENA,18,71.82,3.99,подозрительная активность
PERRY,SWAFFORD,13,70.87,5.45,подозрительная активность
BERNICE,WILLIS,14,70.86,5.06,подозрительная активность
STEPHANIE,MITCHELL,15,70.85,4.72,подозрительная активность
JIMMIE,EGGLESTON,15,70.85,4.72,подозрительная активность
BYRON,BOX,15,70.85,4.72,подозрительная активность
JENNIE,TERRY,16,70.84,4.43,подозрительная активность
ROGER,QUINTANILLA,16,70.84,4.43,подозрительная активность
REGINA,BERRY,17,70.83,4.17,подозрительная активность
KATHY,JAMES,18,70.82,3.93,подозрительная активность
TAMMY,SANDERS,20,70.8,3.54,подозрительная активность
MAURICE,CRAWLEY,12,69.88,5.82,подозрительная активность
JOYCE,EDWARDS,13,69.87,5.37,подозрительная активность
ROBIN,HAYES,13,69.87,5.37,подозрительная активность
NEIL,RENNER,14,69.86,4.99,подозрительная активность
ROY,WHITING,15,69.85,4.66,подозрительная активность
RANDY,GAITHER,15,69.85,4.66,подозрительная активность
RALPH,MADRIGAL,17,69.83,4.11,подозрительная активность
MARSHALL,THORN,12,68.88,5.74,подозрительная активность
LINDA,WILLIAMS,13,68.87,5.3,подозрительная активность
MIRIAM,MCKINNEY,13,68.87,5.3,подозрительная активность
DANA,HART,14,68.86,4.92,подозрительная активность
GLADYS,HAMILTON,15,68.85,4.59,подозрительная активность
VIRGINIA,GREEN,16,68.84,4.3,подозрительная активность
LOUIS,LEONE,16,68.84,4.3,подозрительная активность
MAX,PITT,16,68.84,4.3,подозрительная активность
JULIA,FLORES,17,68.83,4.05,подозрительная активность
NATHAN,RUNYON,18,68.82,3.82,подозрительная активность
GILBERT,SLEDGE,14,67.86,4.85,подозрительная активность
PRISCILLA,LOWE,15,67.85,4.52,подозрительная активность
MICHAEL,SILVERMAN,15,67.85,4.52,подозрительная активность
FRANCIS,SIKES,17,67.83,3.99,подозрительная активность
GEORGE,LINTON,18,67.82,3.77,подозрительная активность
JUSTIN,NGO,19,67.81,3.57,подозрительная активность
ALVIN,DELOACH,13,66.87,5.14,подозрительная активность
MARIO,CHEATHAM,17,66.83,3.93,подозрительная активность
BRADLEY,MOTLEY,11,65.89,5.99,подозрительная активность
DON,BONE,14,65.86,4.7,подозрительная активность
DARYL,LARUE,14,65.86,4.7,подозрительная активность
EDUARDO,HIATT,14,65.86,4.7,подозрительная активность
ETHEL,WEBB,16,65.84,4.12,подозрительная активность
MARJORIE,TUCKER,16,65.84,4.12,подозрительная активность
RYAN,SALISBURY,17,65.83,3.87,подозрительная активность
MARTHA,GONZALEZ,18,65.82,3.66,подозрительная активность
KATHRYN,COLEMAN,11,64.89,5.9,подозрительная активность
SARA,PERRY,12,64.88,5.41,подозрительная активность
JACQUELINE,LONG,12,64.88,5.41,подозрительная активность
ASHLEY,RICHARDSON,14,64.86,4.63,подозрительная активность
SAM,MCDUFFIE,14,64.86,4.63,подозрительная активность
JAMIE,WAUGH,14,64.86,4.63,подозрительная активность
WILLIE,HOWELL,15,64.85,4.32,подозрительная активность
TANYA,GILBERT,15,64.85,4.32,подозрительная активность
JENNY,CASTRO,15,64.85,4.32,подозрительная активность
JULIAN,VEST,15,64.85,4.32,подозрительная активность
WADE,DELVALLE,16,64.84,4.05,подозрительная активность
BRITTANY,RILEY,11,63.89,5.81,подозрительная активность
ERIC,ROBERT,12,63.88,5.32,подозрительная активность
ALMA,AUSTIN,14,63.86,4.56,подозрительная активность
MORRIS,MCCARTER,15,63.85,4.26,подозрительная активность
CLYDE,TOBIAS,18,63.82,3.55,подозрительная активность
JERRY,JORDON,12,62.88,5.24,подозрительная активность
JOSEPH,JOY,13,62.87,4.84,подозрительная активность
JACKIE,LYNCH,15,62.85,4.19,подозрительная активность
STACEY,MONTGOMERY,16,62.84,3.93,подозрительная активность
MARILYN,ROSS,12,61.88,5.16,подозрительная активность
MIKE,WAY,12,61.88,5.16,подозрительная активность
KAREN,JACKSON,13,61.87,4.76,подозрительная активность
FLORENCE,WOODS,14,61.86,4.42,подозрительная активность
GRACE,ELLIS,15,61.85,4.12,подозрительная активность
THELMA,MURRAY,15,61.85,4.12,подозрительная активность
NICHOLAS,BARFIELD,15,61.85,4.12,подозрительная активность
TERRANCE,ROUSH,15,61.85,4.12,подозрительная активность
CAROLYN,PEREZ,16,61.84,3.87,подозрительная активность
CHERYL,MURPHY,11,60.89,5.54,подозрительная активность
RICK,MATTOX,11,60.89,5.54,подозрительная активность
SONIA,GREGORY,12,60.88,5.07,подозрительная активность
SARAH,LEWIS,13,60.87,4.68,подозрительная активность
JANICE,WARD,13,60.87,4.68,подозрительная активность
TERRI,VASQUEZ,13,60.87,4.68,подозрительная активность
PHILIP,CAUSEY,13,60.87,4.68,подозрительная активность
DUANE,TUBBS,13,60.87,4.68,подозрительная активность
MITCHELL,WESTMORELAND,14,60.86,4.35,подозрительная активность
LEROY,BUSTAMANTE,16,60.84,3.8,подозрительная активность
KEN,PREWITT,16,60.84,3.8,подозрительная активность
MARIA,MILLER,11,59.89,5.44,подозрительная активность
CHARLENE,ALVAREZ,12,59.88,4.99,подозрительная активность
JOHN,FARNSWORTH,14,59.86,4.28,подозрительная активность
STANLEY,SCROGGINS,14,59.86,4.28,подозрительная активность
JORDAN,ARCHULETA,14,59.86,4.28,подозрительная активность
ELIZABETH,BROWN,16,59.84,3.74,подозрительная активность
JUDITH,COX,19,59.81,3.15,подозрительная активность
LOIS,BUTLER,19,59.81,3.15,подозрительная активность
ALICE,STEWART,12,58.88,4.91,подозрительная активность
BESSIE,MORRISON,12,58.88,4.91,подозрительная активность
GLEN,TALBERT,12,58.88,4.91,подозрительная активность
ALFRED,CASILLAS,13,58.87,4.53,подозрительная активность
JESSIE,MILAM,13,58.87,4.53,подозрительная активность
RUSSELL,BRINSON,14,58.86,4.2,подозрительная активность
TIM,CARY,14,58.86,4.2,подозрительная активность
AMY,LOPEZ,15,58.85,3.92,подозрительная активность
GERTRUDE,CASTILLO,15,58.85,3.92,подозрительная активность
JOY,GEORGE,15,58.85,3.92,подозрительная активность
MATTHEW,MAHAN,15,58.85,3.92,подозрительная активность
RODNEY,MOELLER,15,58.85,3.92,подозрительная активность
KYLE,SPURLOCK,16,58.84,3.68,подозрительная активность
NATHANIEL,ADAM,11,57.89,5.26,подозрительная активность
LEE,HAWKS,12,57.88,4.82,подозрительная активность
JORGE,OLIVARES,13,57.87,4.45,подозрительная активность
HERMAN,DEVORE,13,57.87,4.45,подозрительная активность
