customer_id,customer_name,country_name,city_name,payment_date,payment_count,day_amount,staff_list,deviation_from_personal_avg,suspicion_rank_in_country
441,MARIO CHEATHAM,Algeria,Batna,2005-07-29,5,18.95,"Jon Stephens,Mike Hillyer",17.89,1
176,JUNE CARROLL,Algeria,Skikda,2005-06-18,4,16.96,"Mike Hillyer,Jon Stephens",15.53,2
331,ERIC ROBERT,Argentina,Santa F,2005-07-07,3,21.97,"Mike Hillyer,Jon Stephens",20.91,1
331,ERIC ROBERT,Argentina,Santa F,2005-07-06,3,18.97,"Mike Hillyer,Jon Stephens",18.54,2
560,JORDAN ARCHULETA,Argentina,Avellaneda,2005-08-01,3,17.97,"Jon Stephens,Mike Hillyer",15.97,3
89,JULIA FLORES,Argentina,La Plata,2005-07-28,4,15.96,"Jon Stephens,Mike Hillyer",14.63,4
266,NORA HERRERA,Austria,Salzburg,2005-08-18,4,17.96,"Mike Hillyer,Jon Stephens",16.86,1
21,MICHELLE CLARK,Bangladesh,Tangail,2005-08-20,4,32.96,"Mike Hillyer,Jon Stephens",31.1,1
362,NICHOLAS BARFIELD,Brazil,Belm,2005-08-21,4,25.96,"Jon Stephens,Mike Hillyer",23.96,1
92,TINA SIMMONS,Brazil,Goinia,2005-07-10,4,23.96,"Jon Stephens,Mike Hillyer",22.63,2
591,KENT ARSENAULT,Brazil,Juiz de Fora,2005-08-18,4,21.96,"Jon Stephens,Mike Hillyer",20.36,3
591,KENT ARSENAULT,Brazil,Juiz de Fora,2005-07-27,4,20.96,"Mike Hillyer,Jon Stephens",19.86,4
374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2005-08-22,4,20.96,"Jon Stephens,Mike Hillyer",19.6,5
342,HAROLD MARTINO,Brazil,Boa Vista,2005-07-12,3,19.97,"Jon Stephens,Mike Hillyer",19.27,6
254,MAXINE SILVA,Brazil,Poos de Caldas,2005-07-10,4,19.96,"Mike Hillyer,Jon Stephens",19.0,7
126,ELLEN SIMPSON,Brazil,Po,2005-07-06,3,18.97,"Jon Stephens,Mike Hillyer",18.87,8
39,DEBRA NELSON,Brazil,Vila Velha,2005-07-29,4,19.96,"Jon Stephens,Mike Hillyer",18.6,9
39,DEBRA NELSON,Brazil,Vila Velha,2005-08-01,4,20.96,"Mike Hillyer,Jon Stephens",18.5,10
544,CODY NOLEN,Brazil,So Bernardo do Campo,2005-08-21,3,18.97,"Jon Stephens,Mike Hillyer",17.94,11
206,TERRI VASQUEZ,Brazil,Blumenau,2005-08-19,3,18.97,"Mike Hillyer,Jon Stephens",17.87,12
354,JUSTIN NGO,Brazil,Santo Andr,2005-07-29,3,18.97,"Jon Stephens,Mike Hillyer",17.47,13
47,FRANCES PARKER,Brazil,Juazeiro do Norte,2005-05-26,3,15.97,"Jon Stephens,Mike Hillyer",15.97,14
427,JESUS MCCARTNEY,Brazil,Guaruj,2005-08-01,3,15.97,"Mike Hillyer,Jon Stephens",14.31,15
178,MARION SNYDER,Brazil,Santa Brbara dOeste,2005-07-12,3,15.97,"Mike Hillyer,Jon Stephens",13.47,16
178,MARION SNYDER,Brazil,Santa Brbara dOeste,2005-08-21,3,15.97,"Mike Hillyer,Jon Stephens",13.38,17
91,LOIS BUTLER,Brunei,Bandar Seri Begawan,2005-07-07,3,12.97,"Jon Stephens,Mike Hillyer",12.51,1
540,TYRONE ASHER,Bulgaria,Ruse,2005-08-02,4,24.96,"Mike Hillyer,Jon Stephens",23.63,1
228,ALLISON STANLEY,Cambodia,Phnom Penh,2005-07-06,4,17.96,"Jon Stephens,Mike Hillyer",17.49,1
352,ALBERT CROUSE,Cameroon,Bamenda,2005-07-27,4,22.96,"Mike Hillyer,Jon Stephens",22.59,1
410,CURTIS IRBY,Canada,Richmond Hill,2005-07-09,4,17.96,"Mike Hillyer,Jon Stephens",17.13,1
45,JANET PHILLIPS,Chile,Antofagasta,2005-08-02,5,27.95,"Jon Stephens,Mike Hillyer",26.59,1
129,CARRIE PORTER,China,Liaocheng,2005-07-31,4,26.96,"Jon Stephens,Mike Hillyer",26.0,1
267,MARGIE WADE,China,Lengshuijiang,2005-06-19,4,22.96,"Jon Stephens,Mike Hillyer",21.96,2
129,CARRIE PORTER,China,Liaocheng,2005-08-20,4,21.96,"Jon Stephens,Mike Hillyer",20.0,3
424,KYLE SPURLOCK,China,Shanwei,2005-07-31,3,20.97,"Mike Hillyer,Jon Stephens",19.71,4
93,PHYLLIS FOSTER,China,Zalantun,2005-08-20,4,19.96,"Mike Hillyer,Jon Stephens",19.46,5
546,KELLY KNOTT,China,Sanya,2005-07-12,3,19.97,"Jon Stephens,Mike Hillyer",19.27,6
533,JESSIE MILAM,China,Binzhou,2005-08-17,3,19.97,"Jon Stephens,Mike Hillyer",18.61,7
302,MICHAEL SILVERMAN,China,Tiefa,2005-07-30,3,19.97,"Mike Hillyer,Jon Stephens",18.57,8
384,ERNEST STEPP,China,Huaian,2005-06-20,3,18.97,"Jon Stephens,Mike Hillyer",18.04,9
538,TED BREAUX,China,Baicheng,2005-07-31,3,18.97,"Mike Hillyer,Jon Stephens",17.87,10
283,FELICIA SUTTON,China,Korla,2005-07-06,4,17.96,"Mike Hillyer,Jon Stephens",17.36,11
