customer_id,first_name,last_name,payment_count,total_amount,avg_amount,max_amount,risk_mark
1,MARY,SMITH,7,31.93,4.561428571428571,9.99,норма
2,PATRICIA,JOHNSON,1,2.99,2.99,2.99,норма
3,LINDA,WILLIAMS,4,25.96,6.49,8.99,норма
4,BARBARA,JONES,6,16.94,2.8233333333333337,5.99,норма
5,ELIZABETH,BROWN,5,19.950000000000003,3.9900000000000007,4.99,норма
6,JENNIFER,DAVIS,4,8.96,2.24,3.99,норма
7,MARIA,MILLER,5,10.950000000000001,2.1900000000000004,4.99,норма
8,SUSAN,WILSON,3,13.97,4.656666666666667,5.99,норма
9,MARGARET,MOORE,2,12.98,6.49,7.99,норма
10,DOROTHY,TAYLOR,5,15.950000000000001,3.1900000000000004,4.99,норма
11,LISA,ANDERSON,3,15.97,5.323333333333333,7.99,норма
12,NANCY,THOMAS,6,26.94,4.49,5.99,норма
13,KAREN,JACKSON,4,19.96,4.99,8.99,норма
14,BETTY,WHITE,1,4.99,4.99,4.99,норма
15,HELEN,HARRIS,3,9.97,3.3233333333333337,5.99,норма
17,DONNA,THOMPSON,3,20.97,6.989999999999999,8.99,норма
18,CAROL,GARCIA,4,25.96,6.49,8.99,норма
19,RUTH,MARTINEZ,3,8.97,2.99,2.99,норма
20,SHARON,ROBINSON,4,14.96,3.74,4.99,норма
21,MICHELLE,CLARK,5,31.950000000000003,6.390000000000001,10.99,норма
22,LAURA,RODRIGUEZ,1,2.99,2.99,2.99,норма
23,SARAH,LEWIS,5,16.950000000000003,3.3900000000000006,5.99,норма
24,KIMBERLY,LEE,5,24.950000000000003,4.99,7.99,норма
25,DEBORAH,WALKER,6,33.940000000000005,5.656666666666667,8.99,норма
26,JESSICA,HALL,7,41.93000000000001,5.990000000000001,9.99,норма
27,SHIRLEY,ALLEN,8,30.92,3.865,4.99,норма
28,CYNTHIA,YOUNG,5,13.950000000000001,2.79,4.99,норма
29,ANGELA,HERNANDEZ,7,21.93,3.132857142857143,7.99,норма
30,MELISSA,KING,4,12.96,3.24,4.99,норма
31,BRENDA,WRIGHT,11,35.89000000000001,3.2627272727272736,7.99,подозрительно
32,AMY,LOPEZ,4,15.96,3.99,6.99,норма
33,ANNA,HILL,2,19.98,9.99,10.99,норма
34,REBECCA,SCOTT,3,11.97,3.99,5.99,норма
35,VIRGINIA,GREEN,6,17.94,2.99,4.99,норма
36,KATHLEEN,ADAMS,1,0.99,0.99,0.99,норма
37,PAMELA,BAKER,3,10.97,3.6566666666666667,4.99,норма
38,MARTHA,GONZALEZ,5,15.950000000000001,3.1900000000000004,4.99,норма
39,DEBRA,NELSON,6,26.940000000000005,4.490000000000001,5.99,норма
40,AMANDA,CARTER,4,16.96,4.24,7.99,норма
41,STEPHANIE,MITCHELL,2,12.98,6.49,7.99,норма
42,CAROLYN,PEREZ,4,12.96,3.24,4.99,норма
43,CHRISTINE,ROBERTS,1,4.99,4.99,4.99,норма
44,MARIE,TURNER,4,15.96,3.99,4.99,норма
45,JANET,PHILLIPS,5,17.95,3.59,4.99,норма
46,CATHERINE,CAMPBELL,7,32.93000000000001,4.7042857142857155,8.99,норма
47,FRANCES,PARKER,3,17.97,5.989999999999999,6.99,норма
48,ANN,EVANS,2,10.98,5.49,9.99,норма
49,JOYCE,EDWARDS,5,23.950000000000003,4.790000000000001,9.99,норма
50,DIANE,COLLINS,4,11.96,2.99,4.99,норма
51,ALICE,STEWART,2,2.98,1.49,1.99,норма
52,JULIE,SANCHEZ,4,13.96,3.49,4.99,норма
53,HEATHER,MORRIS,5,10.950000000000001,2.1900000000000004,2.99,норма
54,TERESA,ROGERS,4,19.96,4.99,6.99,норма
55,DORIS,REED,5,18.950000000000003,3.7900000000000005,4.99,норма
56,GLORIA,COOK,4,13.96,3.49,6.99,норма
