avg_payment_amount,customer_id,first_name,last_name,other_store_staff_operation_share,payment_count,total_amount
3.26,31,BRENDA,WRIGHT,0.4545,11,35.89
3.43,457,BILL,GAVIN,0.5556,9,30.91
3.66,295,DAISY,BATES,0.2222,9,32.91
3.77,561,IAN,STILL,0.6667,9,33.91
3.87,27,SHIRLEY,ALLEN,0.375,8,30.92
3.99,196,ALMA,AUSTIN,0.5,8,31.92
3.99,197,SUE,PETERS,0.5,8,31.92
3.99,213,GINA,WILLIAMSON,0.3333,9,35.91
4.24,510,BEN,EASTER,0.125,8,33.92
4.32,267,MARGIE,WADE,0.7778,9,38.91
4.37,260,CHRISTY,VARGAS,0.375,8,34.92
4.42,256,MABEL,HOLLAND,0.4286,7,30.93
4.42,343,DOUGLAS,GRAF,0.5714,7,30.93
4.49,340,PATRICK,NEWSOM,0.375,8,35.92
4.56,1,MARY,SMITH,0.4286,7,31.93
4.56,200,JEANNE,LAWSON,0.2857,7,31.93
4.56,299,JAMES,GANNON,0.5714,7,31.93
4.56,491,RICK,MATTOX,0.4286,7,31.93
4.62,234,CLAUDIA,FULLER,0.75,8,36.92
4.66,526,KARL,SEAL,0.4444,9,41.91
4.7,149,VALERIE,BLACK,0.5714,7,32.93
4.7,171,DOLORES,WAGNER,0.1429,7,32.93
4.7,46,CATHERINE,CAMPBELL,0.2857,7,32.93
4.7,570,IVAN,CROMWELL,0.1429,7,32.93
4.74,236,MARCIA,DEAN,0.625,8,37.92
4.85,576,MORRIS,MCCARTER,0.4286,7,33.93
4.99,338,DENNIS,GILMAN,0.2857,7,34.93
4.99,384,ERNEST,STEPP,0.4286,7,34.93
5.13,293,MAE,FLETCHER,0.5714,7,35.93
5.13,316,STEVEN,CURLEY,0.5714,7,35.93
5.13,431,JOEL,FRANCISCO,0.2857,7,35.93
5.16,327,LARRY,THRASHER,0.3333,6,30.94
5.16,368,HARRY,ARCE,0.1667,6,30.94
5.29,454,ALEX,GRESHAM,0.5,10,52.9
5.32,204,ROSEMARY,SCHMIDT,0.5,6,31.94
5.32,478,LEWIS,LYMAN,0.6667,6,31.94
5.37,176,JUNE,CARROLL,0.25,8,42.92
5.42,341,PETER,MENARD,0.4286,7,37.93
5.49,571,JOHNNIE,CHISHOLM,0.6667,6,32.94
5.62,178,MARION,SNYDER,0.375,8,44.92
5.66,25,DEBORAH,WALKER,0.3333,6,33.94
5.85,322,JASON,MORRISSEY,0.4286,7,40.93
5.99,193,KATIE,ELLIOTT,0.3333,6,35.94
5.99,26,JESSICA,HALL,0.5714,7,41.93
5.99,403,MIKE,WAY,0.5,6,35.94
6.32,289,VIOLET,RODRIQUEZ,0.6667,6,37.94
6.66,550,GUY,BROWNLEE,0.6667,6,39.94
