customer_id,customer_first_name,customer_last_name,country,city,payment_date,payment_count,daily_sum,prev30_avg_daily_sum,deviation_from_average,risk_rank
468,TIM,CARY,India,Bijapur,2005-08-21,5,32.95,1.83,31.12,1
21,MICHELLE,CLARK,Bangladesh,Tangail,2005-08-20,4,32.96,1.86,31.1,2
563,KEN,PREWITT,Romania,Bucuresti,2005-07-08,7,29.93,0.3,29.63,3
2,PATRICIA,JOHNSON,United States,San Bernardino,2005-07-30,5,30.95,1.4,29.55,4
459,TOMMY,COLLAZO,Iran,Qomsheh,2005-07-28,5,29.95,0.53,29.42,5
522,ARNOLD,HAVENS,Philippines,Santa Rosa,2005-07-30,5,29.95,2.03,27.92,6
454,ALEX,GRESHAM,Mexico,Uruapan,2005-08-20,4,27.96,0.7,27.26,7
425,FRANCIS,SIKES,Mexico,San Juan Bautista Tuxtepec,2005-07-08,4,27.96,0.7,27.26,8
45,JANET,PHILLIPS,Chile,Antofagasta,2005-08-02,5,27.95,1.36,26.59,9
390,SHAWN,HEATON,Thailand,Nakhon Sawan,2005-08-20,6,27.94,1.43,26.51,10
187,BRITTANY,RILEY,Ukraine,Sumy,2005-08-18,3,26.97,0.9,26.07,11
404,STANLEY,SCROGGINS,Japan,Omiya,2005-08-22,5,27.95,1.93,26.02,12
129,CARRIE,PORTER,China,Liaocheng,2005-07-31,4,26.96,0.96,26.0,13
262,PATSY,DAVIDSON,Ecuador,Portoviejo,2005-07-12,4,26.96,1.0,25.96,14
50,DIANE,COLLINS,Sudan,Omdurman,2005-07-31,5,26.95,1.8,25.15,15
513,DUANE,TUBBS,Nauru,Yangor,2005-07-29,4,25.96,0.93,25.03,16
531,JAMIE,WAUGH,Japan,Kuwana,2005-08-02,4,26.96,2.16,24.8,17
423,ALFRED,CASILLAS,Egypt,Sawhaj,2005-07-27,5,24.95,0.23,24.72,18
181,ANA,BRADLEY,United States,Memphis,2005-08-01,5,26.95,2.43,24.52,19
494,RAMON,CHOATE,Ecuador,Robamba,2005-08-22,4,26.96,2.49,24.47,20
103,GLADYS,HAMILTON,Nigeria,Ilorin,2005-08-23,5,25.95,1.6,24.35,21
207,GERTRUDE,CASTILLO,Greenland,Nuuk,2005-08-20,4,25.96,1.66,24.3,22
332,STEPHEN,QUALLS,Bangladesh,Dhaka,2005-07-27,4,24.96,0.8,24.16,23
121,JOSEPHINE,GOMEZ,India,Etawah,2005-08-21,4,25.96,1.86,24.1,24
44,MARIE,TURNER,Russian Federation,Lipetsk,2005-07-10,4,24.96,0.9,24.06,25
3,LINDA,WILLIAMS,Greece,Athenai,2005-07-28,4,24.96,0.9,24.06,26
190,YOLANDA,WEAVER,Tanzania,Tabora,2005-08-02,4,24.96,0.93,24.03,27
362,NICHOLAS,BARFIELD,Brazil,Belm,2005-08-21,4,25.96,2.0,23.96,28
540,TYRONE,ASHER,Bulgaria,Ruse,2005-08-02,4,24.96,1.33,23.63,29
406,NATHAN,RUNYON,"Virgin Islands, U.S.",Charlotte Amalie,2005-07-27,4,23.96,0.5,23.46,30
573,BYRON,BOX,Kazakstan,Zhezqazghan,2005-07-31,4,24.96,1.53,23.43,31
192,LAURIE,LAWRENCE,India,Firozabad,2005-08-21,4,24.96,1.6,23.36,32
506,LESLIE,SEWARD,Indonesia,Pontianak,2005-07-08,3,23.97,0.93,23.04,33
519,RON,DELUCA,Japan,Isesaki,2005-07-31,5,23.95,0.93,23.02,34
26,JESSICA,HALL,Holy See (Vatican City State),Citt del Vaticano,2005-08-21,4,23.96,1.0,22.96,35
39,DEBRA,NELSON,Brazil,Vila Velha,2005-07-08,3,23.97,1.1,22.87,36
327,LARRY,THRASHER,Turkey,Adana,2005-08-23,3,23.97,1.3,22.67,37
92,TINA,SIMMONS,Brazil,Goinia,2005-07-10,4,23.96,1.33,22.63,38
352,ALBERT,CROUSE,Cameroon,Bamenda,2005-07-27,4,22.96,0.37,22.59,39
513,DUANE,TUBBS,Nauru,Yangor,2005-08-22,4,24.96,2.43,22.53,40
393,PHILIP,CAUSEY,Russian Federation,Korolev,2005-07-08,3,22.97,0.76,22.21,41
407,DALE,RATCLIFF,South Africa,Rustenburg,2005-07-28,4,22.96,0.77,22.2,42
105,DAWN,SULLIVAN,Tuvalu,Funafuti,2005-07-30,4,22.96,0.86,22.1,43
553,MAX,PITT,Yugoslavia,Novi Sad,2005-07-06,5,22.95,0.9,22.05,44
267,MARGIE,WADE,China,Lengshuijiang,2005-06-19,4,22.96,1.0,21.96,45
198,ELSIE,KELLEY,Nigeria,Ikerre,2005-08-17,6,22.94,1.03,21.91,46
470,GORDON,ALLARD,Yemen,Hodeida,2005-08-18,3,23.97,2.13,21.84,47
563,KEN,PREWITT,Romania,Bucuresti,2005-07-29,4,22.96,1.26,21.7,48
461,DEREK,BLAKELY,Philippines,Gingoog,2005-08-22,5,22.95,1.26,21.69,49
575,ISAAC,OGLESBY,Mexico,Cuernavaca,2005-08-18,3,22.97,1.33,21.64,50
196,ALMA,AUSTIN,Germany,Mannheim,2005-07-31,3,22.97,1.36,21.61,51
212,WILMA,RICHARDS,United States,Bellevue,2005-07-08,3,21.97,0.5,21.47,52
132,ESTHER,CRAWFORD,South Africa,Botshabelo,2005-08-01,4,22.96,1.5,21.46,53
382,VICTOR,BARKLEY,United States,Manchester,2005-07-30,3,21.97,0.56,21.41,54
346,ARTHUR,SIMPKINS,Russian Federation,Maikop,2005-07-29,4,22.96,1.6,21.36,55
509,RAUL,FORTIER,India,Chapra,2005-07-28,3,21.97,0.63,21.34,56
404,STANLEY,SCROGGINS,Japan,Omiya,2005-07-08,4,21.96,0.63,21.33,57
50,DIANE,COLLINS,Sudan,Omdurman,2005-07-10,3,21.97,0.66,21.31,58
17,DONNA,THOMPSON,Russian Federation,Elista,2005-07-30,4,21.96,0.73,21.23,59
577,CLIFTON,MALCOLM,Taiwan,Tanshui,2005-07-28,3,21.97,0.8,21.17,60
7,MARIA,MILLER,Yugoslavia,Kragujevac,2005-08-01,4,22.96,2.0,20.96,61
259,LENA,JENSEN,India,Halisahar,2005-07-30,3,21.97,1.06,20.91,62
331,ERIC,ROBERT,Argentina,Santa F,2005-07-07,3,21.97,1.06,20.91,63
290,KRISTINA,CHAMBERS,Venezuela,Valle de la Pascua,2005-06-15,3,20.97,0.1,20.87,64
462,WARREN,SHERROD,Russian Federation,Usolje-Sibirskoje,2005-08-19,3,22.97,2.13,20.84,65
150,DANIELLE,DANIELS,Mexico,Hidalgo,2005-08-19,5,21.95,1.13,20.82,66
139,AMBER,DIXON,Taiwan,Touliu,2005-08-22,5,21.95,1.16,20.79,67
27,SHIRLEY,ALLEN,Philippines,Davao,2005-08-17,3,21.97,1.2,20.77,68
478,LEWIS,LYMAN,Israel,Ashqelon,2005-06-19,3,20.97,0.2,20.77,69
449,OSCAR,AQUINO,Iran,Sirjan,2005-08-01,4,21.96,1.23,20.73,70
582,ANDY,VANHORN,Mexico,Huejutla de Reyes,2005-07-27,4,20.96,0.23,20.73,71
476,DERRICK,BOURQUE,Canada,Gatineau,2005-08-01,3,21.97,1.33,20.64,72
29,ANGELA,HERNANDEZ,Japan,Shimonoseki,2005-08-18,4,21.96,1.36,20.6,73
145,LUCILLE,HOLMES,South Africa,Soshanguve,2005-07-07,3,20.97,0.4,20.57,74
576,MORRIS,MCCARTER,Taiwan,Fengshan,2005-07-31,5,21.95,1.4,20.55,75
280,TRACEY,BARRETT,Nigeria,Owo,2005-07-29,5,20.95,0.4,20.55,76
309,CHRISTOPHER,GRECO,Italy,Brescia,2005-06-19,3,20.97,0.43,20.54,77
554,DWAYNE,OLVERA,India,Rajkot,2005-08-17,4,20.96,0.5,20.46,78
529,ERIK,GUILLEN,India,Bhimavaram,2005-07-12,3,20.97,0.6,20.37,79
591,KENT,ARSENAULT,Brazil,Juiz de Fora,2005-08-18,4,21.96,1.6,20.36,80
134,EMMA,BOYD,Egypt,Qalyub,2005-08-02,4,20.96,0.63,20.33,81
279,DIANNE,SHELTON,Iran,Tabriz,2005-07-09,3,20.97,0.73,20.24,82
348,ROGER,QUINTANILLA,Taiwan,Hsichuh,2005-07-08,4,20.96,0.77,20.2,83
311,PAUL,TROUT,Russian Federation,Kursk,2005-07-31,3,20.97,0.83,20.14,84
129,CARRIE,PORTER,China,Liaocheng,2005-08-20,4,21.96,1.96,20.0,85
459,TOMMY,COLLAZO,Iran,Qomsheh,2005-08-01,4,22.96,2.99,19.97,86
462,WARREN,SHERROD,Russian Federation,Usolje-Sibirskoje,2005-07-12,4,20.96,1.0,19.96,87
467,ALVIN,DELOACH,Mexico,Cuauhtmoc,2005-07-28,4,20.96,1.06,19.9,88
