customer_id,customer_name,city_name,country_name,payment_date,payment_count,day_amount,max_payment_amount,staff_id,staff_name,store_id,day_amount_rank
21,MICHELLE CLARK,Tangail,Bangladesh,2005-08-20,4,32.96,9.99,1,Mike Hillyer,1,1
468,TIM CARY,Bijapur,India,2005-08-21,5,32.95,9.99,1,Mike Hillyer,1,1
2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-30,5,30.95,10.99,2,Jon Stephens,2,1
459,TOMMY COLLAZO,Qomsheh,Iran,2005-07-28,5,29.95,6.99,1,Mike Hillyer,1,1
522,ARNOLD HAVENS,Santa Rosa,Philippines,2005-07-30,5,29.95,7.99,2,Jon Stephens,2,1
563,KEN PREWITT,Bucuresti,Romania,2005-07-08,7,29.93,6.99,2,Jon Stephens,2,1
425,FRANCIS SIKES,San Juan Bautista Tuxtepec,Mexico,2005-07-08,4,27.96,8.99,2,Jon Stephens,2,1
454,ALEX GRESHAM,Uruapan,Mexico,2005-08-20,4,27.96,8.99,2,Jon Stephens,2,1
45,JANET PHILLIPS,Antofagasta,Chile,2005-08-02,5,27.95,8.99,1,Mike Hillyer,1,1
404,STANLEY SCROGGINS,Omiya,Japan,2005-08-22,5,27.95,10.99,2,Jon Stephens,2,1
390,SHAWN HEATON,Nakhon Sawan,Thailand,2005-08-20,6,27.94,7.99,2,Jon Stephens,2,1
187,BRITTANY RILEY,Sumy,Ukraine,2005-08-18,3,26.97,9.99,2,Jon Stephens,2,1
129,CARRIE PORTER,Liaocheng,China,2005-07-31,4,26.96,7.99,1,Mike Hillyer,1,1
262,PATSY DAVIDSON,Portoviejo,Ecuador,2005-07-12,4,26.96,7.99,2,Jon Stephens,2,1
494,RAMON CHOATE,Robamba,Ecuador,2005-08-22,4,26.96,9.99,2,Jon Stephens,2,1
531,JAMIE WAUGH,Kuwana,Japan,2005-08-02,4,26.96,10.99,1,Mike Hillyer,1,1
181,ANA BRADLEY,Memphis,United States,2005-08-01,5,26.95,6.99,1,Mike Hillyer,1,1
50,DIANE COLLINS,Omdurman,Sudan,2005-07-31,5,26.95,10.99,2,Jon Stephens,2,1
121,JOSEPHINE GOMEZ,Etawah,India,2005-08-21,4,25.96,9.99,2,Jon Stephens,2,1
207,GERTRUDE CASTILLO,Nuuk,Greenland,2005-08-20,4,25.96,9.99,2,Jon Stephens,2,1
362,NICHOLAS BARFIELD,Belm,Brazil,2005-08-21,4,25.96,11.99,1,Mike Hillyer,1,1
513,DUANE TUBBS,Yangor,Nauru,2005-07-29,4,25.96,9.99,2,Jon Stephens,2,1
103,GLADYS HAMILTON,Ilorin,Nigeria,2005-08-23,5,25.95,8.99,2,Jon Stephens,2,1
3,LINDA WILLIAMS,Athenai,Greece,2005-07-28,4,24.96,7.99,2,Jon Stephens,2,1
44,MARIE TURNER,Lipetsk,Russian Federation,2005-07-10,4,24.96,8.99,1,Mike Hillyer,1,1
190,YOLANDA WEAVER,Tabora,Tanzania,2005-08-02,4,24.96,6.99,2,Jon Stephens,2,1
192,LAURIE LAWRENCE,Firozabad,India,2005-08-21,4,24.96,7.99,2,Jon Stephens,2,1
332,STEPHEN QUALLS,Dhaka,Bangladesh,2005-07-27,4,24.96,8.99,2,Jon Stephens,2,1
513,DUANE TUBBS,Yangor,Nauru,2005-08-22,4,24.96,7.99,2,Jon Stephens,2,2
540,TYRONE ASHER,Ruse,Bulgaria,2005-08-02,4,24.96,8.99,1,Mike Hillyer,1,1
573,BYRON BOX,Zhezqazghan,Kazakstan,2005-07-31,4,24.96,10.99,2,Jon Stephens,2,1
423,ALFRED CASILLAS,Sawhaj,Egypt,2005-07-27,5,24.95,9.99,2,Jon Stephens,2,1
39,DEBRA NELSON,Vila Velha,Brazil,2005-07-08,3,23.97,8.99,2,Jon Stephens,2,1
327,LARRY THRASHER,Adana,Turkey,2005-08-23,3,23.97,9.99,1,Mike Hillyer,1,1
470,GORDON ALLARD,Hodeida,Yemen,2005-08-18,3,23.97,10.99,1,Mike Hillyer,1,1
506,LESLIE SEWARD,Pontianak,Indonesia,2005-07-08,3,23.97,8.99,2,Jon Stephens,2,1
26,JESSICA HALL,Citt del Vaticano,Holy See (Vatican City State),2005-08-21,4,23.96,8.99,2,Jon Stephens,2,1
92,TINA SIMMONS,Goinia,Brazil,2005-07-10,4,23.96,7.99,2,Jon Stephens,2,1
406,NATHAN RUNYON,Charlotte Amalie,"Virgin Islands, U.S.",2005-07-27,4,23.96,7.99,2,Jon Stephens,2,1
