avg_payment_amount,customer_id,first_name,large_payment_count,last_name,payment_count,total_amount
2.99,283,FELICIA,0,SUTTON,17,50.83
3.11,157,DARLENE,0,ROSE,17,52.83
3.15,91,LOIS,0,BUTLER,19,59.81
3.39,115,WENDY,0,HARRISON,15,50.85
3.46,498,GENE,0,SANBORN,15,51.85
3.52,198,ELSIE,0,KELLEY,15,52.85
3.54,75,TAMMY,1,SANDERS,20,70.8
3.55,485,CLYDE,0,TOBIAS,18,63.82
3.57,354,JUSTIN,1,NGO,19,67.81
3.66,228,ALLISON,2,STANLEY,15,54.85
3.66,38,MARTHA,0,GONZALEZ,18,65.82
3.68,424,KYLE,1,SPURLOCK,16,58.84
3.69,236,MARCIA,0,DEAN,20,73.8
3.7,28,CYNTHIA,1,YOUNG,14,51.86
3.7,290,KRISTINA,0,CHAMBERS,14,51.86
3.7,538,TED,2,BREAUX,14,51.86
3.72,129,CARRIE,0,PORTER,15,55.85
3.72,145,LUCILLE,1,HOLMES,15,55.85
3.72,335,GREGORY,1,MAULDIN,15,55.85
3.74,5,ELIZABETH,1,BROWN,16,59.84
3.77,314,GEORGE,0,LINTON,18,67.82
3.78,588,MARION,0,OCAMPO,14,52.86
3.78,78,LORI,0,WOOD,14,52.86
3.79,99,EMILY,0,DIAZ,15,56.85
3.8,442,LEROY,0,BUSTAMANTE,16,60.84
3.8,563,KEN,0,PREWITT,16,60.84
3.85,306,CHARLES,0,KOWALSKI,14,53.86
3.87,347,RYAN,0,SALISBURY,17,65.83
3.87,42,CAROLYN,0,PEREZ,16,61.84
3.88,30,MELISSA,1,KING,19,73.81
3.91,351,JACK,0,FOUST,13,50.87
3.91,356,GERALD,0,FULTZ,13,50.87
3.91,397,JIMMY,0,SCHRADER,13,50.87
3.92,207,GERTRUDE,1,CASTILLO,15,58.85
3.92,230,JOY,1,GEORGE,15,58.85
3.92,244,VIOLA,0,HANSON,14,54.86
3.92,32,AMY,1,LOPEZ,15,58.85
3.92,323,MATTHEW,0,MAHAN,15,58.85
3.92,409,RODNEY,0,MOELLER,15,58.85
3.92,410,CURTIS,0,IRBY,14,54.86
3.92,438,BARRY,1,LOVELACE,14,54.86
3.93,211,STACEY,1,MONTGOMERY,16,62.84
3.93,441,MARIO,2,CHEATHAM,17,66.83
3.93,71,KATHY,1,JAMES,18,70.82
3.99,108,TRACY,0,COLE,13,51.87
3.99,154,MICHELE,0,GRANT,14,55.86
3.99,333,ANDREW,1,PURDY,13,51.87
3.99,425,FRANCIS,1,SIKES,17,67.83
3.99,519,RON,0,DELUCA,13,51.87
3.99,566,CASEY,1,MENA,18,71.82
4.04,102,CRYSTAL,0,FORD,21,84.79
4.05,598,WADE,0,DELVALLE,16,64.84
4.05,89,JULIA,1,FLORES,17,68.83
4.06,390,SHAWN,0,HEATON,14,56.86
4.06,590,SETH,0,HANNON,14,56.86
4.07,202,CARLA,2,GUTIERREZ,13,52.87
4.07,329,FRANK,0,WAGGONER,13,52.87
4.07,339,WALTER,0,PERRYMAN,13,52.87
4.1,210,ELLA,1,OLIVER,18,73.82
4.11,360,RALPH,1,MADRIGAL,17,69.83
4.12,114,GRACE,1,ELLIS,15,61.85
4.12,122,THELMA,0,MURRAY,15,61.85
