month,customer_id,customer_name,city,country,window_start,window_end,suspicious_7d_payment_sum,suspicious_7d_payment_count,avg_30d_payment_sum,avg_30d_payment_count,staff_count,store_count,amount_exceedance_ratio,count_exceedance_ratio,customer_month_rank
2005-05,176,JUNE CARROLL,Skikda,Algeria,2005-05-27,2005-06-02,20.96,4,0.23,0.23,2,2,90.74,17.14,1
2005-05,14,BETTY WHITE,Citrus Heights,United States,2005-05-27,2005-06-02,19.96,4,0.23,0.23,2,2,86.41,17.14,2
2005-05,469,WESLEY BULL,Ourense (Orense),Spain,2005-05-27,2005-06-02,17.96,4,0.23,0.23,2,2,77.75,17.14,3
2005-05,480,COREY HAUSER,Gaziantep,Turkey,2005-05-29,2005-06-04,16.98,2,0.23,0.23,2,2,73.51,8.57,4
2005-05,528,CLAUDE HERZOG,Benguela,Angola,2005-05-27,2005-06-02,16.96,4,0.23,0.23,2,2,73.42,17.14,5
2005-05,198,ELSIE KELLEY,Ikerre,Nigeria,2005-05-28,2005-06-03,15.96,4,0.23,0.23,2,2,69.09,17.14,6
2005-05,293,MAE FLETCHER,Donostia-San Sebastin,Spain,2005-05-28,2005-06-03,13.98,2,0.23,0.23,2,2,60.52,8.57,7
2005-05,549,NELSON CHRISTENSON,Santiago de Compostela,Spain,2005-05-25,2005-05-31,13.97,3,0.23,0.23,2,2,60.48,12.86,8
2005-05,119,SHERRY MARSHALL,Shubra al-Khayma,Egypt,2005-05-26,2005-06-01,12.98,2,0.23,0.23,2,2,56.19,8.57,9
2005-05,442,LEROY BUSTAMANTE,Tongliao,China,2005-05-28,2005-06-03,12.98,2,0.23,0.23,2,2,56.19,8.57,9
2005-05,204,ROSEMARY SCHMIDT,Usak,Turkey,2005-05-27,2005-06-02,11.97,3,0.23,0.23,2,2,51.82,12.86,11
2005-05,535,JAVIER ELROD,NDjamna,Chad,2005-05-26,2005-06-01,11.97,3,0.23,0.23,2,2,51.82,12.86,11
2005-05,556,ARMANDO GRUBER,Southport,United Kingdom,2005-05-27,2005-06-02,9.98,2,0.23,0.23,2,2,43.2,8.57,13
2005-05,412,ALLEN BUTTERFIELD,Hoshiarpur,India,2005-05-27,2005-06-02,9.97,3,0.23,0.23,2,2,43.16,12.86,14
2005-05,269,CASSANDRA WALTERS,Salinas,United States,2005-05-25,2005-05-31,16.95,5,0.46,0.23,2,2,36.5,21.43,15
