average_payment_amount,customer_id,first_name,last_name,payment_count,suspicious_activity_flag,total_payment_amount
0.99,157,DARLENE,ROSE,1,0,0.99
0.99,159,JILL,HAWKINS,2,0,1.98
0.99,198,ELSIE,KELLEY,1,0,0.99
0.99,220,CHARLENE,ALVAREZ,1,0,0.99
0.99,231,GEORGIA,JACOBS,1,0,0.99
0.99,36,KATHLEEN,ADAMS,1,0,0.99
0.99,367,ADAM,GOOCH,1,0,0.99
0.99,369,FRED,WHEAT,1,0,0.99
0.99,376,RANDY,GAITHER,2,0,1.98
0.99,435,RICKY,SHELBY,2,0,1.98
0.99,460,LEON,BOSTIC,1,0,0.99
0.99,480,COREY,HAUSER,2,0,1.98
0.99,521,ROLAND,SOUTH,2,0,1.98
0.99,580,ROSS,GREY,1,0,0.99
0.99,63,ASHLEY,RICHARDSON,1,0,0.99
1.3233333333333333,172,BERNICE,WILLIS,3,0,3.9699999999999998
1.3233333333333333,529,ERIK,GUILLEN,3,0,3.9699999999999998
1.49,366,BRANDON,HUEY,2,0,2.98
1.49,51,ALICE,STEWART,2,0,2.98
1.656666666666667,218,VERA,MCCOY,3,0,4.970000000000001
1.656666666666667,385,PHILLIP,HOLM,3,0,4.970000000000001
1.656666666666667,411,NORMAN,CURRIER,3,0,4.970000000000001
1.99,124,SHEILA,WELLS,1,0,1.99
1.99,555,DWIGHT,LOMBARDI,1,0,1.99
1.99,596,ENRIQUE,FORSYTHE,2,0,3.98
1.9900000000000002,103,GLADYS,HAMILTON,4,0,7.960000000000001
1.9900000000000002,135,JUANITA,MASON,3,0,5.970000000000001
1.9900000000000002,184,VIVIAN,RUIZ,2,0,3.9800000000000004
1.9900000000000002,210,ELLA,OLIVER,2,0,3.9800000000000004
1.9900000000000002,300,JOHN,FARNSWORTH,2,0,3.9800000000000004
1.9900000000000002,324,GARY,COY,2,0,3.9800000000000004
1.9900000000000002,355,TERRY,GRISSOM,2,0,3.9800000000000004
1.9900000000000002,407,DALE,RATCLIFF,2,0,3.9800000000000004
1.9900000000000002,420,JACOB,LANCE,3,0,5.970000000000001
1.9900000000000002,455,JON,WILES,4,0,7.960000000000001
1.9900000000000002,482,MAURICE,CRAWLEY,2,0,3.9800000000000004
1.9900000000000002,527,CORY,MEEHAN,4,0,7.960000000000001
1.9900000000000002,530,DARRYL,ASHCRAFT,3,0,5.970000000000001
1.9900000000000002,548,ALLAN,CORNISH,3,0,5.970000000000001
1.9900000000000002,586,KIRK,STCLAIR,2,0,3.9800000000000004
1.9900000000000002,64,JUDITH,COX,2,0,3.9800000000000004
2.1566666666666667,76,IRENE,PRICE,6,0,12.940000000000001
2.1900000000000004,391,CLARENCE,GAMEZ,5,0,10.950000000000001
2.1900000000000004,53,HEATHER,MORRIS,5,0,10.950000000000001
2.1900000000000004,7,MARIA,MILLER,5,0,10.950000000000001
2.24,104,RITA,GRAHAM,4,0,8.96
2.24,350,JUAN,FRALEY,4,0,8.96
2.24,6,JENNIFER,DAVIS,4,0,8.96
2.24,95,PAULA,BRYANT,4,0,8.96
2.3233333333333337,296,RAMONA,HALE,3,0,6.970000000000001
2.3233333333333337,58,JEAN,BELL,3,0,6.970000000000001
2.39,208,LUCY,WHEELER,5,0,11.950000000000001
2.39,241,HEIDI,LARSON,5,0,11.950000000000001
2.4899999999999998,387,JESSE,SCHILLING,6,0,14.94
2.49,121,JOSEPHINE,GOMEZ,2,0,4.98
2.49,142,APRIL,BURNS,2,0,4.98
2.49,202,CARLA,GUTIERREZ,4,0,9.96
2.49,219,WILLIE,HOWELL,2,0,4.98
2.49,248,CAROLINE,BOWMAN,2,0,4.98
2.49,312,MARK,RINEHART,2,0,4.98
2.49,514,FRANKLIN,TROUTMAN,6,0,14.940000000000001
2.49,84,SARA,PERRY,6,0,14.940000000000001
2.5900000000000003,162,LAUREN,HUDSON,5,0,12.950000000000001
2.5900000000000003,237,TANYA,GILBERT,5,0,12.950000000000001
2.5900000000000003,246,MARIAN,MENDOZA,5,0,12.950000000000001
2.5900000000000003,416,JEFFERY,PINSON,5,0,12.950000000000001
2.6566666666666667,395,JOHNNY,TURPIN,6,0,15.94
2.6566666666666667,430,RAY,HOULE,6,0,15.940000000000001
2.6566666666666667,597,FREDDIE,DUGGAN,3,0,7.970000000000001
2.79,151,MEGAN,PALMER,5,0,13.950000000000001
2.79,189,LORETTA,CARPENTER,5,0,13.950000000000001
2.79,254,MAXINE,SILVA,5,0,13.950000000000001
2.79,28,CYNTHIA,YOUNG,5,0,13.950000000000001
2.8233333333333337,4,BARBARA,JONES,6,0,16.94
2.99,117,EDITH,MCDONALD,2,0,5.98
2.99,123,SHANNON,FREEMAN,5,0,14.950000000000001
2.99,126,ELLEN,SIMPSON,1,0,2.99
2.99,136,ANITA,MORALES,1,0,2.99
2.99,145,LUCILLE,HOLMES,2,0,5.98
2.99,154,MICHELE,GRANT,3,0,8.97
2.99,175,ANNETTE,OLSON,2,0,5.98
2.99,177,SAMANTHA,DUNCAN,5,0,14.950000000000001
2.99,180,STACY,CUNNINGHAM,2,0,5.98
2.99,19,RUTH,MARTINEZ,3,0,8.97
2.99,191,JEANETTE,GREENE,6,0,17.94
2.99,199,BETH,FRANKLIN,3,0,8.97
2.99,2,PATRICIA,JOHNSON,1,0,2.99
2.99,22,LAURA,RODRIGUEZ,1,0,2.99
2.99,235,JACKIE,LYNCH,2,0,5.98
2.99,245,COURTNEY,DAY,3,0,8.97
2.99,257,MARSHA,DOUGLAS,2,0,5.98
2.99,271,PENNY,NEAL,1,0,2.99
2.99,278,BILLIE,HORTON,4,0,11.96
2.99,284,SONIA,GREGORY,3,0,8.97
2.99,291,TONI,HOLT,3,0,8.97
2.99,294,SHELLY,WATTS,2,0,5.98
2.99,301,ROBERT,BAUGHMAN,3,0,8.97
2.99,302,MICHAEL,SILVERMAN,1,0,2.99
2.99,315,KENNETH,GOODEN,1,0,2.99
2.99,323,MATTHEW,MAHAN,3,0,8.97
2.99,345,CARL,ARTIS,4,0,11.96
2.99,35,VIRGINIA,GREEN,6,0,17.94
2.99,356,GERALD,FULTZ,3,0,8.97
2.99,362,NICHOLAS,BARFIELD,5,0,14.950000000000001
2.99,374,JEREMY,HURTADO,4,0,11.96
2.99,377,HOWARD,FORTNER,5,0,14.950000000000001
2.99,412,ALLEN,BUTTERFIELD,1,0,2.99
2.99,418,JEFF,EAST,3,0,8.97
2.99,419,CHAD,CARBONE,1,0,2.99
2.99,428,HERBERT,KRUGER,5,0,14.950000000000001
2.99,438,BARRY,LOVELACE,6,0,17.94
2.99,443,FRANCISCO,SKIDMORE,1,0,2.99
2.99,449,OSCAR,AQUINO,3,0,8.97
2.99,494,RAMON,CHOATE,1,0,2.99
2.99,496,TYLER,WREN,1,0,2.99
2.99,50,DIANE,COLLINS,4,0,11.96
2.99,503,ANGEL,BARCLAY,3,0,8.97
2.99,525,ADRIAN,CLARY,1,0,2.99
2.99,531,JAMIE,WAUGH,1,0,2.99
2.99,545,JULIO,NOLAND,1,0,2.99
2.99,549,NELSON,CHRISTENSON,1,0,2.99
2.99,552,HUGH,WALDROP,2,0,5.98
2.99,563,KEN,PREWITT,2,0,5.98
2.99,564,BOB,PFEIFFER,1,0,2.99
2.99,591,KENT,ARSENAULT,3,0,8.97
2.99,598,WADE,DELVALLE,1,0,2.99
2.99,73,BEVERLY,BROOKS,2,0,5.98
2.99,90,RUBY,WASHINGTON,3,0,8.97
2.99,93,PHYLLIS,FOSTER,2,0,5.98
2.99,97,ANNIE,RUSSELL,3,0,8.97
3.132857142857143,29,ANGELA,HERNANDEZ,7,0,21.93
3.132857142857143,96,DIANA,ALEXANDER,7,0,21.93
3.1566666666666667,358,SAMUEL,MARLOW,6,0,18.94
3.1566666666666667,533,JESSIE,MILAM,6,0,18.94
3.1900000000000004,10,DOROTHY,TAYLOR,5,0,15.950000000000001
3.1900000000000004,216,NATALIE,MEYER,5,0,15.950000000000001
3.1900000000000004,38,MARTHA,GONZALEZ,5,0,15.950000000000001
