calendar_month,customer_id,customer_first_name,customer_last_name,customer_email,customer_active,country_id,country_name,store_id,payment_count,month_total_amount,avg_payment_amount,payment_days_count,previous_month_total_amount,growth_vs_previous_month_ratio,country_avg_month_total_amount,ratio_vs_country_avg,country_month_payment_rank,top_staff_id,top_staff_first_name,top_staff_last_name,top_staff_payment_count,top_staff_payment_amount
2005-06,322,JASON,MORRISSEY,JASON.MORRISSEY@sakilacustomer.org,1,6,Argentina,1,7,40.93,5.85,6,5.98,6.84,25.17,1.63,1,1,Mike,Hillyer,4,20.96
2005-06,89,JULIA,FLORES,JULIA.FLORES@sakilacustomer.org,1,6,Argentina,1,5,30.95,6.19,3,9.97,3.1,25.17,1.23,2,1,Mike,Hillyer,4,22.96
2005-06,405,LEONARD,SCHOFIELD,LEONARD.SCHOFIELD@sakilacustomer.org,1,6,Argentina,1,6,26.94,4.49,4,7.98,3.38,25.17,1.07,3,2,Jon,Stephens,3,14.97
2005-06,331,ERIC,ROBERT,ERIC.ROBERT@sakilacustomer.org,1,6,Argentina,1,3,12.97,4.32,2,3.98,3.26,25.17,0.52,7,2,Jon,Stephens,1,6.99
2005-06,530,DARRYL,ASHCRAFT,DARRYL.ASHCRAFT@sakilacustomer.org,1,6,Argentina,2,3,5.97,1.99,2,0.99,6.03,25.17,0.24,11,1,Mike,Hillyer,2,3.98
2005-06,219,WILLIE,HOWELL,WILLIE.HOWELL@sakilacustomer.org,1,6,Argentina,2,2,4.98,2.49,2,0.99,5.03,25.17,0.2,12,2,Jon,Stephens,2,4.98
2005-06,266,NORA,HERRERA,NORA.HERRERA@sakilacustomer.org,1,9,Austria,2,4,20.96,5.24,3,4.98,4.21,25.6,0.82,1,2,Jon,Stephens,3,15.97
2005-06,590,SETH,HANNON,SETH.HANNON@sakilacustomer.org,1,11,Bahrain,2,5,30.95,6.19,4,3.99,7.76,22.55,1.37,1,1,Mike,Hillyer,2,16.98
2005-06,21,MICHELLE,CLARK,MICHELLE.CLARK@sakilacustomer.org,1,12,Bangladesh,1,5,31.95,6.39,3,8.97,3.56,36.55,0.87,1,1,Mike,Hillyer,3,18.97
2005-06,144,CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,1,13,Belarus,1,6,22.94,3.82,5,5.98,3.84,34.67,0.66,1,1,Mike,Hillyer,5,17.95
2005-06,431,JOEL,FRANCISCO,JOEL.FRANCISCO@sakilacustomer.org,1,14,Bolivia,2,7,35.93,5.13,5,2.99,12.02,20.39,1.76,1,2,Jon,Stephens,5,26.95
2005-06,455,JON,WILES,JON.WILES@sakilacustomer.org,1,14,Bolivia,2,4,7.96,1.99,4,1.98,4.02,20.39,0.39,2,1,Mike,Hillyer,2,4.98
2005-06,310,DANIEL,CABRAL,DANIEL.CABRAL@sakilacustomer.org,1,15,Brazil,2,6,27.94,4.66,5,0.99,28.22,28.83,0.97,2,2,Jon,Stephens,4,18.96
2005-06,130,CHARLOTTE,HUNTER,CHARLOTTE.HUNTER@sakilacustomer.org,1,15,Brazil,1,6,21.94,3.66,5,5.98,3.67,28.83,0.76,6,1,Mike,Hillyer,3,12.97
2005-06,398,ANTONIO,MEEK,ANTONIO.MEEK@sakilacustomer.org,1,15,Brazil,1,3,19.97,6.66,3,4.99,4.0,28.83,0.69,7,2,Jon,Stephens,2,12.98
