customer_id,customer_name,city_name,country_name,payment_date,payment_count,total_amount,max_payment,r_or_nc17_payment_share,country_amount_rank
441,MARIO CHEATHAM,Batna,Algeria,2005-07-29,5,18.95,4.99,0.2,1
176,JUNE CARROLL,Skikda,Algeria,2005-06-18,4,16.96,8.99,0.0,2
176,JUNE CARROLL,Skikda,Algeria,2005-07-27,4,13.96,4.99,0.0,6
441,MARIO CHEATHAM,Batna,Algeria,2005-08-20,3,12.97,4.99,0.0,7
69,JUDY GRAY,Bchar,Algeria,2005-08-17,3,9.97,3.99,0.6667,13
69,JUDY GRAY,Bchar,Algeria,2005-08-21,3,7.97,3.99,0.0,19
320,ANTHONY SCHWAB,Tafuna,American Samoa,2005-07-29,3,10.97,4.99,0.3333,1
383,MARTIN BALES,Namibe,Angola,2005-06-18,3,8.97,2.99,0.0,6
383,MARTIN BALES,Namibe,Angola,2005-08-02,3,6.97,4.99,0.6667,13
331,ERIC ROBERT,Santa F,Argentina,2005-07-07,3,21.97,10.99,0.3333,1
331,ERIC ROBERT,Santa F,Argentina,2005-07-06,3,18.97,8.99,0.6667,2
560,JORDAN ARCHULETA,Avellaneda,Argentina,2005-08-01,3,17.97,7.99,0.3333,4
445,MICHEAL FORMAN,Escobar,Argentina,2005-08-22,3,15.97,6.99,0.3333,6
89,JULIA FLORES,La Plata,Argentina,2005-07-28,4,15.96,4.99,0.25,7
322,JASON MORRISSEY,Baha Blanca,Argentina,2005-07-30,3,14.97,7.99,0.6667,10
560,JORDAN ARCHULETA,Avellaneda,Argentina,2005-07-07,3,13.97,9.99,0.0,12
89,JULIA FLORES,La Plata,Argentina,2005-07-09,3,13.97,7.99,0.0,12
243,LYDIA BURKE,San Miguel de Tucumn,Argentina,2005-07-31,3,13.97,5.99,0.3333,12
585,PERRY SWAFFORD,Quilmes,Argentina,2005-07-27,3,12.97,4.99,0.0,16
219,WILLIE HOWELL,Vicente Lpez,Argentina,2005-07-29,3,12.97,6.99,0.6667,16
530,DARRYL ASHCRAFT,Ezeiza,Argentina,2005-08-18,3,12.97,4.99,0.3333,16
219,WILLIE HOWELL,Vicente Lpez,Argentina,2005-07-09,3,10.97,4.99,0.3333,28
530,DARRYL ASHCRAFT,Ezeiza,Argentina,2005-07-27,3,10.97,4.99,0.3333,28
322,JASON MORRISSEY,Baha Blanca,Argentina,2005-07-12,3,9.97,4.99,0.3333,41
560,JORDAN ARCHULETA,Avellaneda,Argentina,2005-08-21,3,9.97,4.99,0.3333,41
107,FLORENCE WOODS,Merlo,Argentina,2005-06-20,4,9.96,3.99,0.5,43
243,LYDIA BURKE,San Miguel de Tucumn,Argentina,2005-08-21,4,9.96,3.99,0.5,43
89,JULIA FLORES,La Plata,Argentina,2005-07-31,3,8.97,4.99,0.6667,58
24,KIMBERLY LEE,Crdoba,Argentina,2005-08-19,3,7.97,4.99,0.3333,72
41,STEPHANIE MITCHELL,Yerevan,Armenia,2005-07-28,4,17.96,6.99,0.0,1
41,STEPHANIE MITCHELL,Yerevan,Armenia,2005-07-27,3,11.97,4.99,0.0,2
266,NORA HERRERA,Salzburg,Austria,2005-08-20,3,17.97,8.99,0.6667,1
266,NORA HERRERA,Salzburg,Austria,2005-08-18,4,17.96,6.99,0.75,2
173,AUDREY RAY,Graz,Austria,2005-07-29,3,16.97,8.99,0.6667,3
266,NORA HERRERA,Salzburg,Austria,2005-08-02,3,16.97,5.99,0.3333,3
173,AUDREY RAY,Graz,Austria,2005-08-23,3,12.97,8.99,0.0,6
173,AUDREY RAY,Graz,Austria,2005-07-10,3,9.97,3.99,0.6667,9
266,NORA HERRERA,Salzburg,Austria,2005-08-22,3,8.97,4.99,0.6667,11
333,ANDREW PURDY,Baku,Azerbaijan,2005-08-20,3,13.97,4.99,0.3333,2
334,RAYMOND MCWHORTER,Sumqayit,Azerbaijan,2005-08-01,3,11.97,4.99,1.0,3
334,RAYMOND MCWHORTER,Sumqayit,Azerbaijan,2005-08-23,3,9.97,4.99,0.6667,8
590,SETH HANNON,al-Manama,Bahrain,2005-07-08,3,12.97,4.99,0.3333,2
21,MICHELLE CLARK,Tangail,Bangladesh,2005-08-20,4,32.96,9.99,0.75,1
332,STEPHEN QUALLS,Dhaka,Bangladesh,2005-07-27,4,24.96,8.99,0.0,2
21,MICHELLE CLARK,Tangail,Bangladesh,2005-06-18,3,15.97,7.99,0.3333,4
21,MICHELLE CLARK,Tangail,Bangladesh,2005-08-19,3,12.97,4.99,0.6667,7
329,FRANK WAGGONER,Jamalpur,Bangladesh,2005-08-22,3,12.97,4.99,0.6667,7
332,STEPHEN QUALLS,Dhaka,Bangladesh,2005-08-22,3,9.97,4.99,0.6667,12
332,STEPHEN QUALLS,Dhaka,Bangladesh,2005-07-09,5,9.95,2.99,0.4,13
329,FRANK WAGGONER,Jamalpur,Bangladesh,2005-06-17,3,7.97,5.99,0.3333,18
329,FRANK WAGGONER,Jamalpur,Bangladesh,2005-07-30,4,7.96,4.99,0.25,19
144,CLARA SHAW,Molodetno,Belarus,2005-07-09,3,17.97,8.99,0.3333,2
144,CLARA SHAW,Molodetno,Belarus,2005-07-30,4,17.96,7.99,0.5,3
144,CLARA SHAW,Molodetno,Belarus,2005-08-17,3,15.97,7.99,0.0,4
144,CLARA SHAW,Molodetno,Belarus,2005-08-02,3,14.97,6.99,0.6667,5
527,CORY MEEHAN,Mogiljov,Belarus,2005-07-11,3,11.97,4.99,0.3333,6
144,CLARA SHAW,Molodetno,Belarus,2005-08-01,3,11.97,5.99,0.3333,6
362,NICHOLAS BARFIELD,Belm,Brazil,2005-08-21,4,25.96,11.99,0.5,1
39,DEBRA NELSON,Vila Velha,Brazil,2005-07-08,3,23.97,8.99,0.6667,2
92,TINA SIMMONS,Goinia,Brazil,2005-07-10,4,23.96,7.99,0.25,3
591,KENT ARSENAULT,Juiz de Fora,Brazil,2005-08-18,4,21.96,5.99,0.5,4
591,KENT ARSENAULT,Juiz de Fora,Brazil,2005-07-27,4,20.96,8.99,0.25,5
39,DEBRA NELSON,Vila Velha,Brazil,2005-08-01,4,20.96,9.99,0.75,5
374,JEREMY HURTADO,Vitria de Santo Anto,Brazil,2005-08-22,4,20.96,6.99,0.75,5
342,HAROLD MARTINO,Boa Vista,Brazil,2005-07-12,3,19.97,8.99,0.3333,8
254,MAXINE SILVA,Poos de Caldas,Brazil,2005-07-10,4,19.96,7.99,0.25,9
39,DEBRA NELSON,Vila Velha,Brazil,2005-07-29,4,19.96,7.99,0.25,9
126,ELLEN SIMPSON,Po,Brazil,2005-07-06,3,18.97,7.99,0.6667,12
178,MARION SNYDER,Santa Brbara dOeste,Brazil,2005-07-09,3,18.97,10.99,0.3333,12
354,JUSTIN NGO,Santo Andr,Brazil,2005-07-29,3,18.97,8.99,0.3333,12
206,TERRI VASQUEZ,Blumenau,Brazil,2005-08-19,3,18.97,10.99,0.0,12
544,CODY NOLEN,So Bernardo do Campo,Brazil,2005-08-21,3,18.97,8.99,0.3333,12
178,MARION SNYDER,Santa Brbara dOeste,Brazil,2005-07-12,3,15.97,6.99,0.3333,21
427,JESUS MCCARTNEY,Guaruj,Brazil,2005-08-01,3,15.97,5.99,0.3333,21
178,MARION SNYDER,Santa Brbara dOeste,Brazil,2005-08-21,3,15.97,7.99,0.6667,21
47,FRANCES PARKER,Juazeiro do Norte,Brazil,2005-07-11,3,14.97,9.99,0.6667,28
178,MARION SNYDER,Santa Brbara dOeste,Brazil,2005-07-29,3,14.97,5.99,0.3333,28
314,GEORGE LINTON,Sorocaba,Brazil,2005-08-21,3,14.97,4.99,0.6667,28
551,CLAYTON BARBEE,Alvorada,Brazil,2005-08-22,3,14.97,6.99,0.6667,28
374,JEREMY HURTADO,Vitria de Santo Anto,Brazil,2005-07-10,3,13.97,6.99,0.3333,35
183,IDA ANDREWS,Luzinia,Brazil,2005-07-31,3,13.97,5.99,0.0,35
254,MAXINE SILVA,Poos de Caldas,Brazil,2005-08-19,4,13.96,4.99,0.75,37
443,FRANCISCO SKIDMORE,So Leopoldo,Brazil,2005-07-31,3,12.97,5.99,0.3333,45
591,KENT ARSENAULT,Juiz de Fora,Brazil,2005-08-19,3,12.97,5.99,1.0,45
342,HAROLD MARTINO,Boa Vista,Brazil,2005-08-20,3,12.97,4.99,0.3333,45
342,HAROLD MARTINO,Boa Vista,Brazil,2005-08-21,3,12.97,8.99,0.3333,45
342,HAROLD MARTINO,Boa Vista,Brazil,2005-07-31,4,12.96,5.99,0.25,49
206,TERRI VASQUEZ,Blumenau,Brazil,2005-07-06,3,11.97,5.99,0.0,55
314,GEORGE LINTON,Sorocaba,Brazil,2005-07-28,3,11.97,6.99,0.0,55
126,ELLEN SIMPSON,Po,Brazil,2005-08-19,3,11.97,7.99,0.3333,55
362,NICHOLAS BARFIELD,Belm,Brazil,2005-07-29,4,11.96,4.99,0.25,58
74,DENISE KELLY,Rio Claro,Brazil,2005-07-10,3,10.97,4.99,0.3333,72
39,DEBRA NELSON,Vila Velha,Brazil,2005-07-31,3,10.97,4.99,0.3333,72
229,TAMARA NGUYEN,Anpolis,Brazil,2005-06-21,3,9.97,7.99,0.3333,94
