average_payment,customer_id,customer_name,payment_count,risk_flag,staff_id,staff_name,total_amount
0.99,103,GLADYS HAMILTON,3,0,1,Mike Hillyer,2.97
0.99,104,RITA GRAHAM,1,0,1,Mike Hillyer,0.99
0.99,12,NANCY THOMAS,1,0,1,Mike Hillyer,0.99
0.99,128,MARJORIE TUCKER,1,0,1,Mike Hillyer,0.99
0.99,133,PAULINE HENRY,1,0,1,Mike Hillyer,0.99
0.99,134,EMMA BOYD,2,0,2,Jon Stephens,1.98
0.99,138,HAZEL WARREN,2,0,2,Jon Stephens,1.98
0.99,15,HELEN HARRIS,1,0,2,Jon Stephens,0.99
0.99,157,DARLENE ROSE,1,0,2,Jon Stephens,0.99
0.99,158,VERONICA STONE,1,0,1,Mike Hillyer,0.99
0.99,159,JILL HAWKINS,2,0,1,Mike Hillyer,1.98
0.99,172,BERNICE WILLIS,1,0,1,Mike Hillyer,0.99
0.99,184,VIVIAN RUIZ,1,0,1,Mike Hillyer,0.99
0.99,198,ELSIE KELLEY,1,0,2,Jon Stephens,0.99
0.99,202,CARLA GUTIERREZ,1,0,2,Jon Stephens,0.99
0.99,208,LUCY WHEELER,2,0,2,Jon Stephens,1.98
0.99,220,CHARLENE ALVAREZ,1,0,1,Mike Hillyer,0.99
0.99,229,TAMARA NGUYEN,1,0,2,Jon Stephens,0.99
0.99,231,GEORGIA JACOBS,1,0,2,Jon Stephens,0.99
0.99,232,CONSTANCE REID,1,0,2,Jon Stephens,0.99
0.99,235,JACKIE LYNCH,1,0,2,Jon Stephens,0.99
0.99,241,HEIDI LARSON,1,0,1,Mike Hillyer,0.99
0.99,248,CAROLINE BOWMAN,1,0,2,Jon Stephens,0.99
0.99,257,MARSHA DOUGLAS,1,0,1,Mike Hillyer,0.99
0.99,274,NAOMI JENNINGS,1,0,1,Mike Hillyer,0.99
0.99,276,BRANDY GRAVES,1,0,1,Mike Hillyer,0.99
0.99,284,SONIA GREGORY,1,0,1,Mike Hillyer,0.99
0.99,296,RAMONA HALE,1,0,1,Mike Hillyer,0.99
0.99,300,JOHN FARNSWORTH,1,0,2,Jon Stephens,0.99
0.99,305,RICHARD MCCRARY,1,0,2,Jon Stephens,0.99
0.99,317,EDWARD BAUGH,1,0,1,Mike Hillyer,0.99
0.99,321,KEVIN SCHULER,1,0,1,Mike Hillyer,0.99
0.99,324,GARY COY,1,0,1,Mike Hillyer,0.99
0.99,348,ROGER QUINTANILLA,1,0,2,Jon Stephens,0.99
0.99,355,TERRY GRISSOM,1,0,2,Jon Stephens,0.99
0.99,358,SAMUEL MARLOW,1,0,2,Jon Stephens,0.99
0.99,36,KATHLEEN ADAMS,1,0,2,Jon Stephens,0.99
0.99,365,BRUCE SCHWARZ,1,0,2,Jon Stephens,0.99
0.99,367,ADAM GOOCH,1,0,1,Mike Hillyer,0.99
0.99,369,FRED WHEAT,1,0,1,Mike Hillyer,0.99
0.99,376,RANDY GAITHER,1,0,1,Mike Hillyer,0.99
0.99,376,RANDY GAITHER,1,0,2,Jon Stephens,0.99
0.99,387,JESSE SCHILLING,2,0,1,Mike Hillyer,1.98
0.99,395,JOHNNY TURPIN,1,0,2,Jon Stephens,0.99
0.99,407,DALE RATCLIFF,1,0,2,Jon Stephens,0.99
0.99,411,NORMAN CURRIER,1,0,1,Mike Hillyer,0.99
0.99,420,JACOB LANCE,2,0,1,Mike Hillyer,1.98
0.99,430,RAY HOULE,3,0,2,Jon Stephens,2.97
0.99,435,RICKY SHELBY,1,0,1,Mike Hillyer,0.99
0.99,435,RICKY SHELBY,1,0,2,Jon Stephens,0.99
0.99,438,BARRY LOVELACE,3,0,2,Jon Stephens,2.97
0.99,449,OSCAR AQUINO,1,0,1,Mike Hillyer,0.99
0.99,451,JIM REA,1,0,2,Jon Stephens,0.99
0.99,459,TOMMY COLLAZO,1,0,1,Mike Hillyer,0.99
0.99,460,LEON BOSTIC,1,0,2,Jon Stephens,0.99
0.99,465,FLOYD GANDY,1,0,2,Jon Stephens,0.99
0.99,469,WESLEY BULL,1,0,2,Jon Stephens,0.99
0.99,470,GORDON ALLARD,1,0,1,Mike Hillyer,0.99
0.99,480,COREY HAUSER,2,0,1,Mike Hillyer,1.98
0.99,483,VERNON CHAPA,1,0,2,Jon Stephens,0.99
0.99,49,JOYCE EDWARDS,1,0,1,Mike Hillyer,0.99
0.99,498,GENE SANBORN,1,0,2,Jon Stephens,0.99
0.99,502,BRETT CORNWELL,1,0,1,Mike Hillyer,0.99
0.99,51,ALICE STEWART,1,0,1,Mike Hillyer,0.99
0.99,521,ROLAND SOUTH,1,0,1,Mike Hillyer,0.99
0.99,521,ROLAND SOUTH,1,0,2,Jon Stephens,0.99
0.99,527,CORY MEEHAN,1,0,2,Jon Stephens,0.99
0.99,529,ERIK GUILLEN,2,0,2,Jon Stephens,1.98
0.99,539,MATHEW BOLIN,1,0,1,Mike Hillyer,0.99
0.99,546,KELLY KNOTT,1,0,2,Jon Stephens,0.99
0.99,548,ALLAN CORNISH,1,0,2,Jon Stephens,0.99
0.99,572,SIDNEY BURLESON,2,0,1,Mike Hillyer,1.98
0.99,58,JEAN BELL,1,0,2,Jon Stephens,0.99
0.99,580,ROSS GREY,1,0,1,Mike Hillyer,0.99
0.99,582,ANDY VANHORN,1,0,2,Jon Stephens,0.99
0.99,586,KIRK STCLAIR,1,0,2,Jon Stephens,0.99
0.99,591,KENT ARSENAULT,1,0,1,Mike Hillyer,0.99
0.99,63,ASHLEY RICHARDSON,1,0,2,Jon Stephens,0.99
0.99,64,JUDITH COX,1,0,2,Jon Stephens,0.99
0.99,67,KELLY TORRES,1,0,2,Jon Stephens,0.99
0.99,7,MARIA MILLER,1,0,2,Jon Stephens,0.99
0.99,73,BEVERLY BROOKS,1,0,1,Mike Hillyer,0.99
0.99,82,KATHRYN COLEMAN,2,0,2,Jon Stephens,1.98
0.99,93,PHYLLIS FOSTER,1,0,1,Mike Hillyer,0.99
0.99,97,ANNIE RUSSELL,1,0,1,Mike Hillyer,0.99
1.24,76,IRENE PRICE,4,0,2,Jon Stephens,4.96
1.49,172,BERNICE WILLIS,2,0,2,Jon Stephens,2.98
1.49,227,COLLEEN BURTON,2,0,2,Jon Stephens,2.98
1.49,273,PRISCILLA LOWE,2,0,1,Mike Hillyer,2.98
1.49,366,BRANDON HUEY,2,0,2,Jon Stephens,2.98
1.49,455,JON WILES,2,0,2,Jon Stephens,2.98
1.49,559,EVERETT BANDA,2,0,1,Mike Hillyer,2.98
1.66,218,VERA MCCOY,3,0,1,Mike Hillyer,4.97
1.66,385,PHILLIP HOLM,3,0,1,Mike Hillyer,4.97
1.66,391,CLARENCE GAMEZ,3,0,2,Jon Stephens,4.97
1.66,4,BARBARA JONES,3,0,2,Jon Stephens,4.97
1.79,84,SARA PERRY,5,1,2,Jon Stephens,8.95
1.99,115,WENDY HARRISON,2,0,2,Jon Stephens,3.98
1.99,123,SHANNON FREEMAN,2,0,1,Mike Hillyer,3.98
1.99,124,SHEILA WELLS,1,0,2,Jon Stephens,1.99
1.99,135,JUANITA MASON,3,0,2,Jon Stephens,5.97
1.99,139,AMBER DIXON,2,0,1,Mike Hillyer,3.98
1.99,148,ELEANOR HUNT,1,0,1,Mike Hillyer,1.99
1.99,150,DANIELLE DANIELS,1,0,2,Jon Stephens,1.99
1.99,182,RENEE LANE,2,0,1,Mike Hillyer,3.98
1.99,189,LORETTA CARPENTER,1,0,2,Jon Stephens,1.99
1.99,210,ELLA OLIVER,2,0,2,Jon Stephens,3.98
1.99,212,WILMA RICHARDS,2,0,1,Mike Hillyer,3.98
1.99,237,TANYA GILBERT,2,0,2,Jon Stephens,3.98
1.99,246,MARIAN MENDOZA,2,0,2,Jon Stephens,3.98
1.99,283,FELICIA SUTTON,2,0,1,Mike Hillyer,3.98
1.99,323,MATTHEW MAHAN,2,0,2,Jon Stephens,3.98
1.99,350,JUAN FRALEY,2,0,1,Mike Hillyer,3.98
1.99,351,JACK FOUST,2,0,1,Mike Hillyer,3.98
1.99,357,KEITH RICO,1,0,1,Mike Hillyer,1.99
1.99,374,JEREMY HURTADO,1,0,1,Mike Hillyer,1.99
1.99,377,HOWARD FORTNER,1,0,1,Mike Hillyer,1.99
1.99,38,MARTHA GONZALEZ,1,0,1,Mike Hillyer,1.99
1.99,380,RUSSELL BRINSON,2,0,2,Jon Stephens,3.98
1.99,397,JIMMY SCHRADER,1,0,2,Jon Stephens,1.99
1.99,406,NATHAN RUNYON,3,0,2,Jon Stephens,5.97
1.99,411,NORMAN CURRIER,2,0,2,Jon Stephens,3.98
1.99,416,JEFFERY PINSON,4,0,2,Jon Stephens,7.96
1.99,42,CAROLYN PEREZ,2,0,2,Jon Stephens,3.98
1.99,428,HERBERT KRUGER,2,0,2,Jon Stephens,3.98
1.99,482,MAURICE CRAWLEY,2,0,2,Jon Stephens,3.98
1.99,50,DIANE COLLINS,2,0,2,Jon Stephens,3.98
1.99,51,ALICE STEWART,1,0,2,Jon Stephens,1.99
1.99,514,FRANKLIN TROUTMAN,3,0,1,Mike Hillyer,5.97
1.99,524,JARED ELY,1,0,1,Mike Hillyer,1.99
1.99,529,ERIK GUILLEN,1,0,1,Mike Hillyer,1.99
1.99,53,HEATHER MORRIS,2,0,2,Jon Stephens,3.98
1.99,530,DARRYL ASHCRAFT,1,0,2,Jon Stephens,1.99
1.99,530,DARRYL ASHCRAFT,2,0,1,Mike Hillyer,3.98
1.99,534,CHRISTIAN JUNG,1,0,2,Jon Stephens,1.99
1.99,544,CODY NOLEN,3,0,1,Mike Hillyer,5.97
1.99,555,DWIGHT LOMBARDI,1,0,2,Jon Stephens,1.99
1.99,558,JIMMIE EGGLESTON,1,0,1,Mike Hillyer,1.99
1.99,560,JORDAN ARCHULETA,1,0,2,Jon Stephens,1.99
1.99,585,PERRY SWAFFORD,3,0,1,Mike Hillyer,5.97
1.99,596,ENRIQUE FORSYTHE,2,0,1,Mike Hillyer,3.98
1.99,6,JENNIFER DAVIS,3,0,1,Mike Hillyer,5.97
1.99,74,DENISE KELLY,2,0,1,Mike Hillyer,3.98
1.99,96,DIANA ALEXANDER,3,0,1,Mike Hillyer,5.97
10.99,33,ANNA HILL,1,0,1,Mike Hillyer,10.99
10.99,542,LONNIE TIRADO,1,0,2,Jon Stephens,10.99
10.99,544,CODY NOLEN,1,0,2,Jon Stephens,10.99
10.99,572,SIDNEY BURLESON,1,0,2,Jon Stephens,10.99
2.24,95,PAULA BRYANT,4,0,2,Jon Stephens,8.96
2.32,122,THELMA MURRAY,3,0,1,Mike Hillyer,6.97
2.32,129,CARRIE PORTER,3,0,2,Jon Stephens,6.97
2.32,162,LAUREN HUDSON,3,0,1,Mike Hillyer,6.97
2.32,177,SAMANTHA DUNCAN,3,0,1,Mike Hillyer,6.97
2.32,345,CARL ARTIS,3,0,2,Jon Stephens,6.97
2.32,386,TODD TAN,3,0,1,Mike Hillyer,6.97
2.32,527,CORY MEEHAN,3,0,1,Mike Hillyer,6.97
2.32,53,HEATHER MORRIS,3,0,1,Mike Hillyer,6.97
2.32,56,GLORIA COOK,3,0,1,Mike Hillyer,6.97
2.39,533,JESSIE MILAM,5,1,1,Mike Hillyer,11.95
2.49,121,JOSEPHINE GOMEZ,2,0,1,Mike Hillyer,4.98
2.49,142,APRIL BURNS,2,0,1,Mike Hillyer,4.98
2.49,151,MEGAN PALMER,4,0,2,Jon Stephens,9.96
2.49,176,JUNE CARROLL,2,0,2,Jon Stephens,4.98
2.49,219,WILLIE HOWELL,2,0,2,Jon Stephens,4.98
2.49,254,MAXINE SILVA,2,0,2,Jon Stephens,4.98
2.49,268,NINA SOTO,4,0,1,Mike Hillyer,9.96
2.49,275,CAROLE BARNETT,2,0,2,Jon Stephens,4.98
2.49,312,MARK RINEHART,2,0,2,Jon Stephens,4.98
2.49,329,FRANK WAGGONER,4,0,2,Jon Stephens,9.96
2.49,344,HENRY BILLINGSLEY,2,0,1,Mike Hillyer,4.98
2.49,350,JUAN FRALEY,2,0,2,Jon Stephens,4.98
2.49,427,JESUS MCCARTNEY,2,0,2,Jon Stephens,4.98
2.49,455,JON WILES,2,0,1,Mike Hillyer,4.98
2.49,476,DERRICK BOURQUE,2,0,1,Mike Hillyer,4.98
2.49,548,ALLAN CORNISH,2,0,1,Mike Hillyer,4.98
2.49,557,FELIX GAFFNEY,2,0,1,Mike Hillyer,4.98
2.49,574,JULIAN VEST,4,0,1,Mike Hillyer,9.96
2.49,7,MARIA MILLER,4,0,1,Mike Hillyer,9.96
2.49,85,ANNE POWELL,2,0,2,Jon Stephens,4.98
2.59,31,BRENDA WRIGHT,5,1,1,Mike Hillyer,12.95
2.59,35,VIRGINIA GREEN,5,1,1,Mike Hillyer,12.95
2.59,456,RONNIE RICKETTS,5,1,1,Mike Hillyer,12.95
2.59,62,JOAN COOPER,5,1,1,Mike Hillyer,12.95
2.66,104,RITA GRAHAM,3,0,2,Jon Stephens,7.97
2.66,216,NATALIE MEYER,3,0,1,Mike Hillyer,7.97
2.66,28,CYNTHIA YOUNG,3,0,2,Jon Stephens,7.97
2.66,393,PHILIP CAUSEY,3,0,2,Jon Stephens,7.97
2.66,597,FREDDIE DUGGAN,3,0,1,Mike Hillyer,7.97
2.74,241,HEIDI LARSON,4,0,2,Jon Stephens,10.96
2.74,371,BILLY POULIN,4,0,2,Jon Stephens,10.96
2.74,382,VICTOR BARKLEY,4,0,1,Mike Hillyer,10.96
2.99,10,DOROTHY TAYLOR,4,0,1,Mike Hillyer,11.96
2.99,112,ROSA REYNOLDS,2,0,2,Jon Stephens,5.98
2.99,113,CINDY FISHER,2,0,2,Jon Stephens,5.98
2.99,114,GRACE ELLIS,2,0,1,Mike Hillyer,5.98
2.99,116,VICTORIA GIBSON,4,0,2,Jon Stephens,11.96
2.99,117,EDITH MCDONALD,1,0,1,Mike Hillyer,2.99
2.99,117,EDITH MCDONALD,1,0,2,Jon Stephens,2.99
2.99,118,KIM CRUZ,2,0,2,Jon Stephens,5.98
2.99,120,SYLVIA ORTIZ,1,0,2,Jon Stephens,2.99
2.99,126,ELLEN SIMPSON,1,0,1,Mike Hillyer,2.99
2.99,130,CHARLOTTE HUNTER,3,0,2,Jon Stephens,8.97
2.99,132,ESTHER CRAWFORD,4,0,1,Mike Hillyer,11.96
2.99,136,ANITA MORALES,1,0,2,Jon Stephens,2.99
2.99,143,LESLIE GORDON,2,0,2,Jon Stephens,5.98
2.99,145,LUCILLE HOLMES,2,0,2,Jon Stephens,5.98
2.99,154,MICHELE GRANT,3,0,1,Mike Hillyer,8.97
2.99,156,BERTHA FERGUSON,2,0,1,Mike Hillyer,5.98
2.99,160,ERIN DUNN,1,0,1,Mike Hillyer,2.99
2.99,162,LAUREN HUDSON,2,0,2,Jon Stephens,5.98
2.99,165,LORRAINE STEPHENS,1,0,2,Jon Stephens,2.99
2.99,166,LYNN PAYNE,1,0,2,Jon Stephens,2.99
2.99,173,AUDREY RAY,3,0,2,Jon Stephens,8.97
2.99,175,ANNETTE OLSON,2,0,2,Jon Stephens,5.98
2.99,180,STACY CUNNINGHAM,1,0,1,Mike Hillyer,2.99
2.99,180,STACY CUNNINGHAM,1,0,2,Jon Stephens,2.99
2.99,184,VIVIAN RUIZ,1,0,2,Jon Stephens,2.99
2.99,187,BRITTANY RILEY,5,1,2,Jon Stephens,14.95
2.99,188,MELANIE ARMSTRONG,3,0,2,Jon Stephens,8.97
2.99,189,LORETTA CARPENTER,4,0,1,Mike Hillyer,11.96
2.99,19,RUTH MARTINEZ,1,0,2,Jon Stephens,2.99
2.99,19,RUTH MARTINEZ,2,0,1,Mike Hillyer,5.98
2.99,191,JEANETTE GREENE,3,0,1,Mike Hillyer,8.97
2.99,191,JEANETTE GREENE,3,0,2,Jon Stephens,8.97
2.99,197,SUE PETERS,4,0,1,Mike Hillyer,11.96
2.99,199,BETH FRANKLIN,3,0,1,Mike Hillyer,8.97
2.99,2,PATRICIA JOHNSON,1,0,1,Mike Hillyer,2.99
2.99,202,CARLA GUTIERREZ,3,0,1,Mike Hillyer,8.97
2.99,205,EILEEN CARR,3,0,1,Mike Hillyer,8.97
2.99,215,JESSIE BANKS,1,0,1,Mike Hillyer,2.99
2.99,22,LAURA RODRIGUEZ,1,0,1,Mike Hillyer,2.99
2.99,221,BESSIE MORRISON,1,0,2,Jon Stephens,2.99
2.99,226,MAUREEN LITTLE,1,0,2,Jon Stephens,2.99
2.99,230,JOY GEORGE,2,0,1,Mike Hillyer,5.98
2.99,233,LILLIE KIM,1,0,1,Mike Hillyer,2.99
2.99,236,MARCIA DEAN,3,0,1,Mike Hillyer,8.97
2.99,237,TANYA GILBERT,3,0,1,Mike Hillyer,8.97
2.99,245,COURTNEY DAY,3,0,1,Mike Hillyer,8.97
2.99,246,MARIAN MENDOZA,3,0,1,Mike Hillyer,8.97
2.99,254,MAXINE SILVA,3,0,1,Mike Hillyer,8.97
2.99,255,IRMA PEARSON,2,0,2,Jon Stephens,5.98
2.99,258,MYRTLE FLEMING,1,0,1,Mike Hillyer,2.99
2.99,265,JENNIE TERRY,1,0,1,Mike Hillyer,2.99
2.99,271,PENNY NEAL,1,0,2,Jon Stephens,2.99
2.99,278,BILLIE HORTON,2,0,1,Mike Hillyer,5.98
2.99,278,BILLIE HORTON,2,0,2,Jon Stephens,5.98
2.99,28,CYNTHIA YOUNG,2,0,1,Mike Hillyer,5.98
2.99,280,TRACEY BARRETT,2,0,2,Jon Stephens,5.98
2.99,282,JENNY CASTRO,2,0,1,Mike Hillyer,5.98
2.99,29,ANGELA HERNANDEZ,2,0,2,Jon Stephens,5.98
2.99,291,TONI HOLT,1,0,2,Jon Stephens,2.99
2.99,291,TONI HOLT,2,0,1,Mike Hillyer,5.98
2.99,294,SHELLY WATTS,1,0,1,Mike Hillyer,2.99
2.99,294,SHELLY WATTS,1,0,2,Jon Stephens,2.99
2.99,295,DAISY BATES,7,1,1,Mike Hillyer,20.93
2.99,296,RAMONA HALE,2,0,2,Jon Stephens,5.98
2.99,300,JOHN FARNSWORTH,1,0,1,Mike Hillyer,2.99
2.99,301,ROBERT BAUGHMAN,1,0,2,Jon Stephens,2.99
2.99,301,ROBERT BAUGHMAN,2,0,1,Mike Hillyer,5.98
2.99,302,MICHAEL SILVERMAN,1,0,1,Mike Hillyer,2.99
2.99,315,KENNETH GOODEN,1,0,1,Mike Hillyer,2.99
2.99,318,BRIAN WYMAN,2,0,1,Mike Hillyer,5.98
2.99,324,GARY COY,1,0,2,Jon Stephens,2.99
2.99,326,JOSE ANDREW,2,0,2,Jon Stephens,5.98
2.99,328,JEFFREY SPEAR,2,0,1,Mike Hillyer,5.98
2.99,331,ERIC ROBERT,2,0,1,Mike Hillyer,5.98
2.99,334,RAYMOND MCWHORTER,2,0,2,Jon Stephens,5.98
2.99,336,JOSHUA MARK,3,0,1,Mike Hillyer,8.97
2.99,34,REBECCA SCOTT,2,0,1,Mike Hillyer,5.98
2.99,346,ARTHUR SIMPKINS,1,0,2,Jon Stephens,2.99
2.99,355,TERRY GRISSOM,1,0,1,Mike Hillyer,2.99
2.99,356,GERALD FULTZ,3,0,1,Mike Hillyer,8.97
2.99,359,WILLIE MARKHAM,2,0,1,Mike Hillyer,5.98
2.99,361,LAWRENCE LAWTON,1,0,1,Mike Hillyer,2.99
2.99,362,NICHOLAS BARFIELD,2,0,2,Jon Stephens,5.98
2.99,362,NICHOLAS BARFIELD,3,0,1,Mike Hillyer,8.97
2.99,364,BENJAMIN VARNEY,1,0,1,Mike Hillyer,2.99
2.99,37,PAMELA BAKER,2,0,2,Jon Stephens,5.98
2.99,375,AARON SELBY,1,0,2,Jon Stephens,2.99
2.99,381,BOBBY BOUDREAU,2,0,2,Jon Stephens,5.98
2.99,383,MARTIN BALES,2,0,2,Jon Stephens,5.98
2.99,39,DEBRA NELSON,2,0,2,Jon Stephens,5.98
2.99,391,CLARENCE GAMEZ,2,0,1,Mike Hillyer,5.98
2.99,395,JOHNNY TURPIN,5,1,1,Mike Hillyer,14.95
2.99,399,DANNY ISOM,1,0,2,Jon Stephens,2.99
2.99,40,AMANDA CARTER,2,0,1,Mike Hillyer,5.98
2.99,407,DALE RATCLIFF,1,0,1,Mike Hillyer,2.99
2.99,408,MANUEL MURRELL,1,0,1,Mike Hillyer,2.99
2.99,412,ALLEN BUTTERFIELD,1,0,1,Mike Hillyer,2.99
2.99,415,GLENN PULLEN,1,0,1,Mike Hillyer,2.99
2.99,418,JEFF EAST,1,0,1,Mike Hillyer,2.99
2.99,418,JEFF EAST,2,0,2,Jon Stephens,5.98
2.99,419,CHAD CARBONE,1,0,2,Jon Stephens,2.99
2.99,421,LEE HAWKS,1,0,2,Jon Stephens,2.99
2.99,422,MELVIN ELLINGTON,1,0,2,Jon Stephens,2.99
2.99,424,KYLE SPURLOCK,2,0,2,Jon Stephens,5.98
2.99,429,FREDERICK ISBELL,1,0,1,Mike Hillyer,2.99
2.99,434,EDDIE TOMLIN,4,0,1,Mike Hillyer,11.96
2.99,437,RANDALL NEUMANN,1,0,1,Mike Hillyer,2.99
2.99,439,ALEXANDER FENNELL,2,0,2,Jon Stephens,5.98
2.99,443,FRANCISCO SKIDMORE,1,0,1,Mike Hillyer,2.99
2.99,444,MARCUS HIDALGO,2,0,1,Mike Hillyer,5.98
2.99,447,CLIFFORD BOWENS,3,0,2,Jon Stephens,8.97
2.99,45,JANET PHILLIPS,3,0,2,Jon Stephens,8.97
2.99,450,JAY ROBB,3,0,2,Jon Stephens,8.97
2.99,452,TOM MILNER,4,0,1,Mike Hillyer,11.96
2.99,457,BILL GAVIN,4,0,2,Jon Stephens,11.96
2.99,464,JEROME KENYON,1,0,1,Mike Hillyer,2.99
2.99,473,JORGE OLIVARES,1,0,1,Mike Hillyer,2.99
2.99,479,ZACHARY HITE,1,0,1,Mike Hillyer,2.99
2.99,485,CLYDE TOBIAS,1,0,2,Jon Stephens,2.99
2.99,486,GLEN TALBERT,2,0,2,Jon Stephens,5.98
2.99,493,BRENT HARKINS,3,0,1,Mike Hillyer,8.97
2.99,494,RAMON CHOATE,1,0,1,Mike Hillyer,2.99
2.99,495,CHARLIE BESS,1,0,2,Jon Stephens,2.99
2.99,496,TYLER WREN,1,0,1,Mike Hillyer,2.99
2.99,499,MARC OUTLAW,1,0,1,Mike Hillyer,2.99
2.99,503,ANGEL BARCLAY,1,0,1,Mike Hillyer,2.99
2.99,503,ANGEL BARCLAY,2,0,2,Jon Stephens,5.98
2.99,509,RAUL FORTIER,1,0,1,Mike Hillyer,2.99
2.99,511,CHESTER BENNER,1,0,1,Mike Hillyer,2.99
2.99,513,DUANE TUBBS,1,0,1,Mike Hillyer,2.99
2.99,514,FRANKLIN TROUTMAN,3,0,2,Jon Stephens,8.97
2.99,516,ELMER NOE,2,0,2,Jon Stephens,5.98
2.99,519,RON DELUCA,1,0,1,Mike Hillyer,2.99
2.99,52,JULIE SANCHEZ,2,0,2,Jon Stephens,5.98
2.99,520,MITCHELL WESTMORELAND,2,0,1,Mike Hillyer,5.98
2.99,525,ADRIAN CLARY,1,0,2,Jon Stephens,2.99
2.99,528,CLAUDE HERZOG,1,0,2,Jon Stephens,2.99
2.99,531,JAMIE WAUGH,1,0,2,Jon Stephens,2.99
2.99,536,FERNANDO CHURCHILL,2,0,2,Jon Stephens,5.98
2.99,538,TED BREAUX,1,0,2,Jon Stephens,2.99
2.99,541,DARREN WINDHAM,1,0,2,Jon Stephens,2.99
2.99,543,LANCE PEMBERTON,2,0,1,Mike Hillyer,5.98
2.99,545,JULIO NOLAND,1,0,1,Mike Hillyer,2.99
2.99,549,NELSON CHRISTENSON,1,0,1,Mike Hillyer,2.99
2.99,55,DORIS REED,2,0,2,Jon Stephens,5.98
2.99,552,HUGH WALDROP,2,0,2,Jon Stephens,5.98
2.99,554,DWAYNE OLVERA,1,0,2,Jon Stephens,2.99
2.99,563,KEN PREWITT,2,0,2,Jon Stephens,5.98
2.99,564,BOB PFEIFFER,1,0,2,Jon Stephens,2.99
2.99,567,ALFREDO MCADAMS,1,0,1,Mike Hillyer,2.99
2.99,575,ISAAC OGLESBY,1,0,1,Mike Hillyer,2.99
2.99,578,WILLARD LUMPKIN,1,0,1,Mike Hillyer,2.99
2.99,58,JEAN BELL,2,0,1,Mike Hillyer,5.98
2.99,586,KIRK STCLAIR,1,0,1,Mike Hillyer,2.99
2.99,588,MARION OCAMPO,1,0,1,Mike Hillyer,2.99
2.99,594,EDUARDO HIATT,3,0,2,Jon Stephens,8.97
2.99,598,WADE DELVALLE,1,0,1,Mike Hillyer,2.99
2.99,6,JENNIFER DAVIS,1,0,2,Jon Stephens,2.99
2.99,64,JUDITH COX,1,0,1,Mike Hillyer,2.99
2.99,68,NICOLE PETERSON,1,0,1,Mike Hillyer,2.99
2.99,78,LORI WOOD,1,0,1,Mike Hillyer,2.99
