customer_id,first_name,last_name,payment_month,country,city,payment_sum,payment_count,deviation_from_previous_avg,country_deviation_rank
381,BOBBY,BOUDREAU,2005-06,Anguilla,South Hill,16.95,5,9.98,1
381,BOBBY,BOUDREAU,2005-07,Anguilla,South Hill,37.86,14,25.9,1
381,BOBBY,BOUDREAU,2005-08,Anguilla,South Hill,44.87,13,24.28,1
445,MICHEAL,FORMAN,2005-07,Argentina,Escobar,29.9,10,23.92,1
445,MICHEAL,FORMAN,2005-08,Argentina,Escobar,66.86,14,48.92,1
527,CORY,MEEHAN,2005-07,Belarus,Mogiljov,26.91,9,18.95,1
527,CORY,MEEHAN,2005-08,Belarus,Mogiljov,43.9,10,26.47,1
362,NICHOLAS,BARFIELD,2005-06,Brazil,Belm,14.95,5,9.96,1
362,NICHOLAS,BARFIELD,2005-07,Brazil,Belm,61.85,15,51.88,1
342,HAROLD,MARTINO,2005-07,Brazil,Boa Vista,45.88,12,30.91,2
342,HAROLD,MARTINO,2005-08,Brazil,Boa Vista,69.83,17,39.41,1
362,NICHOLAS,BARFIELD,2005-08,Brazil,Belm,63.89,11,36.63,2
410,CURTIS,IRBY,2005-07,Canada,Richmond Hill,54.86,14,31.92,1
410,CURTIS,IRBY,2005-08,Canada,Richmond Hill,86.83,17,47.93,1
45,JANET,PHILLIPS,2005-06,Chile,Antofagasta,17.95,5,14.96,1
45,JANET,PHILLIPS,2005-07,Chile,Antofagasta,37.91,9,27.44,1
45,JANET,PHILLIPS,2005-08,Chile,Antofagasta,68.88,12,49.26,1
521,ROLAND,SOUTH,2005-07,China,Yingkou,31.91,9,29.93,1
521,ROLAND,SOUTH,2005-08,China,Yingkou,41.89,11,24.95,1
559,EVERETT,BANDA,2005-07,Egypt,Bilbays,41.88,12,28.92,1
559,EVERETT,BANDA,2005-08,Egypt,Bilbays,55.88,12,28.46,1
448,MIGUEL,BETANCOURT,2005-06,Germany,Erlangen,24.95,5,16.97,1
448,MIGUEL,BETANCOURT,2005-07,Germany,Erlangen,43.9,10,27.44,1
448,MIGUEL,BETANCOURT,2005-08,Germany,Erlangen,54.9,10,29.29,1
534,CHRISTIAN,JUNG,2005-06,India,Amroha,15.95,5,8.97,1
78,LORI,WOOD,2005-07,India,Rae Bareli,52.86,14,34.89,1
15,HELEN,HARRIS,2005-07,India,Bhopal,40.91,9,30.94,2
370,WAYNE,TRUONG,2005-07,India,Gulbarga,27.92,8,20.93,3
534,CHRISTIAN,JUNG,2005-07,India,Amroha,25.93,7,14.47,4
15,HELEN,HARRIS,2005-08,India,Bhopal,79.82,18,54.38,1
78,LORI,WOOD,2005-08,India,Rae Bareli,70.86,14,35.45,2
534,CHRISTIAN,JUNG,2005-08,India,Amroha,36.91,9,20.62,3
370,WAYNE,TRUONG,2005-08,India,Gulbarga,35.9,10,18.45,4
328,JEFFREY,SPEAR,2005-06,Indonesia,Ciparay,21.95,5,18.96,1
328,JEFFREY,SPEAR,2005-07,Indonesia,Ciparay,24.94,6,12.47,1
328,JEFFREY,SPEAR,2005-08,Indonesia,Ciparay,40.89,11,24.26,1
279,DIANNE,SHELTON,2005-06,Iran,Tabriz,16.95,5,12.97,1
279,DIANNE,SHELTON,2005-07,Iran,Tabriz,42.91,9,32.45,1
279,DIANNE,SHELTON,2005-08,Iran,Tabriz,66.86,14,45.58,1
29,ANGELA,HERNANDEZ,2005-06,Japan,Shimonoseki,21.93,7,19.94,1
29,ANGELA,HERNANDEZ,2005-07,Japan,Shimonoseki,46.89,11,34.93,1
29,ANGELA,HERNANDEZ,2005-08,Japan,Shimonoseki,68.84,16,45.24,1
76,IRENE,PRICE,2005-06,Kazakstan,Pavlodar,12.94,6,9.96,1
76,IRENE,PRICE,2005-07,Kazakstan,Pavlodar,25.91,9,17.95,1
76,IRENE,PRICE,2005-08,Kazakstan,Pavlodar,35.94,6,22.0,1
451,JIM,REA,2005-06,Mexico,El Fuerte,22.93,7,15.96,1
451,JIM,REA,2005-07,Mexico,El Fuerte,37.93,7,22.98,1
451,JIM,REA,2005-08,Mexico,El Fuerte,60.84,16,38.23,1
