country,city,customer_id,first_name,last_name,payment_month,payment_count,total_amount,average_check,same_staff_payment_share,distinct_store_count,distinct_category_count,country_risk_rank
Argentina,Escobar,445,MICHEAL,FORMAN,2005-08-01,14,66.86,4.78,0.5714,2,7,1
Austria,Salzburg,266,NORA,HERRERA,2005-08-01,17,71.83,4.23,0.7059,2,12,1
Bahrain,al-Manama,590,SETH,HANNON,2006-02-01,1,2.99,2.99,1.0,1,1,1
Bangladesh,Tangail,21,MICHELLE,CLARK,2005-08-01,17,79.83,4.7,0.5294,2,12,1
Bolivia,Sucre,431,JOEL,FRANCISCO,2006-02-01,1,2.99,2.99,1.0,1,1,1
Brazil,Boa Vista,342,HAROLD,MARTINO,2005-08-01,17,69.83,4.11,0.5294,2,10,1
Canada,Richmond Hill,410,CURTIS,IRBY,2005-08-01,17,86.83,5.11,0.6471,2,9,1
Chile,Antofagasta,45,JANET,PHILLIPS,2005-08-01,12,68.88,5.74,0.5833,2,10,1
China,Leshan,569,DAVE,GARDINER,2005-08-01,18,75.82,4.21,0.5556,2,10,1
China,Daxian,64,JUDITH,COX,2006-02-01,1,4.99,4.99,1.0,1,1,2
China,Fuyu,211,STACEY,MONTGOMERY,2006-02-01,1,4.99,4.99,1.0,1,1,2
Colombia,Florencia,460,LEON,BOSTIC,2005-08-01,12,54.88,4.57,0.5833,2,9,1
Egypt,Shubra al-Khayma,119,SHERRY,MARSHALL,2005-08-01,18,77.82,4.32,0.6667,2,12,1
Ethiopia,Addis Abeba,392,SEAN,DOUGLASS,2005-08-01,11,49.89,4.54,0.5455,2,10,1
Germany,Duisburg,114,GRACE,ELLIS,2006-02-01,1,4.99,4.99,1.0,1,1,1
Germany,Saarbrcken,227,COLLEEN,BURTON,2006-02-01,1,4.99,4.99,1.0,1,1,1
India,Bhopal,15,HELEN,HARRIS,2005-08-01,18,79.82,4.43,0.5556,2,10,1
India,Firozabad,192,LAURIE,LAWRENCE,2006-02-01,1,4.99,4.99,1.0,1,1,2
Indonesia,Cianjur,411,NORMAN,CURRIER,2006-02-01,1,4.99,4.99,1.0,1,1,1
Israel,Bat Yam,315,KENNETH,GOODEN,2006-02-01,1,2.99,2.99,1.0,1,1,1
Japan,Urawa,147,JOANNE,ROBERTSON,2005-08-01,15,76.85,5.12,0.6,2,9,1
Japan,Nagareyama,53,HEATHER,MORRIS,2006-02-01,2,7.98,3.99,0.5,2,2,2
Japan,Kakamigahara,163,CATHY,SPENCER,2006-02-01,2,7.98,3.99,0.5,1,2,2
Latvia,Liepaja,23,SARAH,LEWIS,2006-02-01,1,2.99,2.99,1.0,1,1,1
Lithuania,Vilnius,557,FELIX,GAFFNEY,2006-02-01,1,4.99,4.99,1.0,1,1,1
Madagascar,Mahajanga,81,ANDREA,HENDERSON,2005-08-01,12,55.88,4.66,0.5833,2,9,1
Malaysia,Kuching,58,JEAN,BELL,2006-02-01,1,0.99,0.99,1.0,1,1,1
Mexico,Hidalgo,150,DANIELLE,DANIELS,2005-08-01,16,68.84,4.3,0.6875,2,10,1
Mexico,Nezahualcyotl,115,WENDY,HARRISON,2006-02-01,1,2.99,2.99,1.0,1,1,2
Mexico,Huejutla de Reyes,582,ANDY,VANHORN,2006-02-01,1,2.99,2.99,1.0,1,1,2
Morocco,Sal,22,LAURA,RODRIGUEZ,2005-08-01,10,54.9,5.49,0.8,2,8,1
Morocco,Sal,22,LAURA,RODRIGUEZ,2006-02-01,1,4.99,4.99,1.0,1,1,2
Nigeria,Ikerre,198,ELSIE,KELLEY,2005-08-01,16,70.84,4.43,0.6875,2,11,1
