average_payment,customer_id,first_name,large_payment_count,last_name,payment_count,store_id,total_amount
2.16,76,IRENE,0,PRICE,6,2,12.94
2.19,391,CLARENCE,0,GAMEZ,5,1,10.95
2.19,53,HEATHER,0,MORRIS,5,1,10.95
2.19,7,MARIA,0,MILLER,5,1,10.95
2.39,208,LUCY,0,WHEELER,5,1,11.95
2.39,241,HEIDI,0,LARSON,5,2,11.95
2.49,387,JESSE,0,SCHILLING,6,2,14.94
2.49,514,FRANKLIN,0,TROUTMAN,6,2,14.94
2.49,84,SARA,0,PERRY,6,2,14.94
2.59,162,LAUREN,0,HUDSON,5,2,12.95
2.59,237,TANYA,0,GILBERT,5,1,12.95
2.59,246,MARIAN,0,MENDOZA,5,1,12.95
2.59,416,JEFFERY,0,PINSON,5,2,12.95
2.66,395,JOHNNY,0,TURPIN,6,2,15.94
2.66,430,RAY,0,HOULE,6,1,15.94
2.79,151,MEGAN,0,PALMER,5,2,13.95
2.79,189,LORETTA,0,CARPENTER,5,1,13.95
2.79,254,MAXINE,0,SILVA,5,2,13.95
2.79,28,CYNTHIA,0,YOUNG,5,1,13.95
2.82,4,BARBARA,0,JONES,6,2,16.94
2.99,123,SHANNON,0,FREEMAN,5,2,14.95
2.99,177,SAMANTHA,0,DUNCAN,5,2,14.95
2.99,191,JEANETTE,0,GREENE,6,1,17.94
2.99,35,VIRGINIA,0,GREEN,6,2,17.94
2.99,362,NICHOLAS,0,BARFIELD,5,1,14.95
2.99,377,HOWARD,0,FORTNER,5,1,14.95
2.99,428,HERBERT,0,KRUGER,5,2,14.95
2.99,438,BARRY,0,LOVELACE,6,1,17.94
3.13,29,ANGELA,1,HERNANDEZ,7,2,21.93
3.13,96,DIANA,1,ALEXANDER,7,1,21.93
3.16,358,SAMUEL,0,MARLOW,6,2,18.94
3.16,533,JESSIE,0,MILAM,6,1,18.94
3.19,10,DOROTHY,0,TAYLOR,5,1,15.95
3.19,216,NATALIE,0,MEYER,5,1,15.95
3.19,38,MARTHA,0,GONZALEZ,5,1,15.95
3.19,382,VICTOR,0,BARKLEY,5,2,15.95
3.19,534,CHRISTIAN,0,JUNG,5,1,15.95
3.19,574,JULIAN,0,VEST,5,2,15.95
3.21,329,FRANK,0,WAGGONER,9,2,28.91
3.24,336,JOSHUA,0,MARK,8,1,25.92
3.26,31,BRENDA,1,WRIGHT,11,2,35.89
3.28,450,JAY,0,ROBB,7,1,22.93
3.28,451,JIM,0,REA,7,1,22.93
3.28,452,TOM,0,MILNER,7,1,22.93
3.32,129,CARRIE,0,PORTER,6,1,19.94
3.32,132,ESTHER,0,CRAWFORD,6,2,19.94
3.32,498,GENE,0,SANBORN,6,1,19.94
3.32,85,ANNE,0,POWELL,6,2,19.94
3.37,268,NINA,0,SOTO,8,1,26.92
3.39,143,LESLIE,0,GORDON,5,1,16.95
3.39,173,AUDREY,0,RAY,5,1,16.95
3.39,23,SARAH,0,LEWIS,5,2,16.95
3.39,279,DIANNE,0,SHELTON,5,2,16.95
3.39,381,BOBBY,0,BOUDREAU,5,2,16.95
3.39,386,TODD,0,TAN,5,1,16.95
3.42,187,BRITTANY,0,RILEY,7,2,23.93
3.42,371,BILLY,0,POULIN,7,1,23.93
3.43,457,BILL,1,GAVIN,9,2,30.91
3.49,116,VICTORIA,0,GIBSON,6,1,20.94
3.49,230,JOY,1,GEORGE,6,2,20.94
3.49,380,RUSSELL,0,BRINSON,8,1,27.92
3.49,446,THEODORE,0,CULP,6,2,20.94
3.56,107,FLORENCE,0,WOODS,7,1,24.93
3.56,62,JOAN,0,COOPER,7,1,24.93
3.56,86,JACQUELINE,0,LONG,7,2,24.93
3.59,283,FELICIA,1,SUTTON,5,1,17.95
3.59,365,BRUCE,0,SCHWARZ,5,2,17.95
3.59,45,JANET,0,PHILLIPS,5,1,17.95
3.59,568,ALBERTO,0,HENNING,5,2,17.95
3.66,130,CHARLOTTE,0,HUNTER,6,1,21.94
3.66,295,DAISY,1,BATES,9,1,32.91
3.66,319,RONALD,0,WEINER,6,2,21.94
3.7,122,THELMA,1,MURRAY,7,1,25.93
3.7,146,JAMIE,1,RICE,7,1,25.93
3.7,456,RONNIE,0,RICKETTS,7,2,25.93
3.7,459,TOMMY,1,COLLAZO,7,1,25.93
3.77,561,IAN,0,STILL,9,2,33.91
3.79,427,JESUS,0,MCCARTNEY,5,2,18.95
3.79,540,TYRONE,0,ASHER,5,1,18.95
3.79,55,DORIS,0,REED,5,2,18.95
3.82,111,CARMEN,0,OWENS,6,1,22.94
3.82,144,CLARA,0,SHAW,6,1,22.94
3.82,307,JOSEPH,0,JOY,6,2,22.94
3.82,410,CURTIS,0,IRBY,6,2,22.94
3.82,516,ELMER,1,NOE,6,2,22.94
3.85,406,NATHAN,1,RUNYON,7,1,26.93
3.87,27,SHIRLEY,0,ALLEN,8,2,30.92
3.99,190,YOLANDA,0,WEAVER,5,2,19.95
3.99,194,KRISTEN,1,CHAVEZ,5,2,19.95
3.99,196,ALMA,0,AUSTIN,8,1,31.92
3.99,197,SUE,1,PETERS,8,2,31.92
3.99,213,GINA,0,WILLIAMSON,9,1,35.91
3.99,215,JESSIE,0,BANKS,6,2,23.94
3.99,249,DORA,1,MEDINA,5,2,19.95
3.99,261,DEANNA,1,BYRD,6,1,23.94
3.99,308,THOMAS,1,GRIGSBY,5,1,19.95
