average_payment_amount,first_name,last_name,payment_count,risk_level,total_payment_amount
2.444545454545455,DEREK,BLAKELY,11,средний,26.89
2.4515384615384614,JOANNE,ROBERTSON,13,средний,31.87
2.7042857142857146,BOBBY,BOUDREAU,14,средний,37.86000000000001
2.717272727272727,LEONARD,SCHOFIELD,11,средний,29.889999999999997
2.74,NORMAN,CURRIER,12,средний,32.88
2.9899999999999998,FELICIA,SUTTON,17,средний,50.83
2.9900000000000007,SUSAN,WILSON,12,средний,35.88000000000001
3.0669230769230773,CHAD,CARBONE,13,средний,39.870000000000005
3.0669230769230773,NANCY,THOMAS,13,средний,39.870000000000005
3.073333333333333,CHRISTY,VARGAS,12,средний,36.879999999999995
3.10764705882353,DARLENE,ROSE,17,средний,52.83000000000001
3.1438461538461544,KATHLEEN,ADAMS,13,средний,40.870000000000005
3.147894736842106,JUDITH,COX,19,средний,59.81000000000002
3.1478947368421064,LOIS,BUTLER,19,средний,59.810000000000024
3.171818181818182,IDA,ANDREWS,11,средний,34.89
3.171818181818182,JAIME,NETTLES,11,средний,34.89
3.1718181818181823,TRACEY,BARRETT,11,средний,34.89000000000001
3.190000000000001,HAZEL,WARREN,15,средний,47.850000000000016
3.2042857142857146,ESTHER,CRAWFORD,14,средний,44.86000000000001
3.204285714285715,IVAN,CROMWELL,14,средний,44.860000000000014
3.2566666666666677,SALLY,PIERCE,15,средний,48.850000000000016
3.2627272727272727,CHESTER,BENNER,11,средний,35.89
3.2627272727272736,CRAIG,MORRELL,11,средний,35.89000000000001
3.3233333333333337,DEBORAH,WALKER,12,средний,39.88
3.3233333333333337,EDGAR,RHOADS,15,средний,49.85000000000001
3.3233333333333337,RENEE,LANE,12,средний,39.88
3.323333333333334,EARL,SHANKS,12,средний,39.88000000000001
3.3233333333333346,EVELYN,MORGAN,15,средний,49.850000000000016
3.3233333333333346,ROSS,GREY,15,средний,49.850000000000016
3.3471428571428574,HECTOR,POINDEXTER,14,средний,46.86000000000001
3.3536363636363635,GEORGIA,JACOBS,11,средний,36.89
3.374615384615385,HILDA,HOPKINS,13,средний,43.870000000000005
3.3900000000000006,WENDY,HARRISON,15,средний,50.85000000000001
3.4066666666666676,ANNIE,RUSSELL,12,средний,40.88000000000001
3.4066666666666676,CLINTON,BUFORD,12,средний,40.88000000000001
3.4445454545454552,CLARENCE,GAMEZ,11,средний,37.89000000000001
3.4445454545454552,KIM,CRUZ,11,средний,37.89000000000001
3.4566666666666674,GENE,SANBORN,15,средний,51.85000000000001
3.49,EVERETT,BANDA,12,средний,41.88
