customer_id,first_name,last_name,payment_count,suspicious_large_payments,total_amount
1,MARY,SMITH,12,0,50.88000000000002
10,DOROTHY,TAYLOR,11,0,45.89000000000001
100,ROBIN,HAYES,13,2,69.87
101,PEGGY,MYERS,12,1,53.88000000000002
102,CRYSTAL,FORD,21,0,84.78999999999999
103,GLADYS,HAMILTON,15,0,68.85000000000001
104,RITA,GRAHAM,10,0,44.900000000000006
105,DAWN,SULLIVAN,10,1,48.90000000000001
106,CONNIE,WALLACE,10,0,41.900000000000006
107,FLORENCE,WOODS,14,0,61.860000000000014
108,TRACY,COLE,13,0,51.870000000000005
11,LISA,ANDERSON,11,1,53.890000000000015
112,ROSA,REYNOLDS,11,0,50.890000000000015
113,CINDY,FISHER,11,0,43.89000000000001
114,GRACE,ELLIS,15,1,61.850000000000016
115,WENDY,HARRISON,15,0,50.85000000000001
116,VICTORIA,GIBSON,10,0,41.900000000000006
118,KIM,CRUZ,11,0,37.89000000000001
119,SHERRY,MARSHALL,10,1,44.900000000000006
12,NANCY,THOMAS,13,0,39.870000000000005
120,SYLVIA,ORTIZ,13,1,48.87
121,JOSEPHINE,GOMEZ,9,1,31.910000000000004
122,THELMA,MURRAY,15,0,61.85000000000001
123,SHANNON,FREEMAN,10,1,45.900000000000006
125,ETHEL,WEBB,16,1,65.84000000000002
126,ELLEN,SIMPSON,13,0,48.87
127,ELAINE,STEVENS,7,0,36.93000000000001
128,MARJORIE,TUCKER,16,0,65.84000000000002
129,CARRIE,PORTER,15,0,55.850000000000016
13,KAREN,JACKSON,13,3,61.87000000000002
130,CHARLOTTE,HUNTER,8,0,31.92
131,MONICA,HICKS,12,1,49.88000000000001
132,ESTHER,CRAWFORD,14,0,44.86000000000001
133,PAULINE,HENRY,13,0,47.87000000000002
135,JUANITA,MASON,14,0,57.860000000000014
137,RHONDA,KENNEDY,19,1,96.80999999999999
138,HAZEL,WARREN,15,1,47.850000000000016
139,AMBER,DIXON,12,0,51.88000000000002
14,BETTY,WHITE,12,0,50.88000000000002
141,DEBBIE,REYES,11,0,41.89000000000001
142,APRIL,BURNS,10,0,41.90000000000001
143,LESLIE,GORDON,9,0,33.910000000000004
144,CLARA,SHAW,18,2,93.81999999999998
145,LUCILLE,HOLMES,15,1,55.85000000000002
146,JAMIE,RICE,7,0,36.93000000000001
147,JOANNE,ROBERTSON,13,0,31.87
148,ELEANOR,HUNT,22,3,100.77999999999997
149,VALERIE,BLACK,11,1,54.890000000000015
15,HELEN,HARRIS,9,0,40.910000000000004
153,SUZANNE,NICHOLS,10,1,39.900000000000006
154,MICHELE,GRANT,14,0,55.86000000000001
155,GAIL,KNIGHT,10,0,42.90000000000001
156,BERTHA,FERGUSON,9,0,34.91000000000001
157,DARLENE,ROSE,17,0,52.83000000000001
158,VERONICA,STONE,13,1,45.87000000000001
159,JILL,HAWKINS,10,0,38.9
161,GERALDINE,PERKINS,10,0,41.90000000000001
162,LAUREN,HUDSON,7,0,32.93
163,CATHY,SPENCER,11,1,40.88999999999999
164,JOANN,GARDNER,10,0,38.900000000000006
165,LORRAINE,STEPHENS,12,0,49.88000000000002
166,LYNN,PAYNE,13,1,56.87000000000002
167,SALLY,PIERCE,15,0,48.850000000000016
168,REGINA,BERRY,17,0,70.83
17,DONNA,THOMPSON,9,3,43.91000000000001
170,BEATRICE,ARNOLD,12,1,56.88000000000001
171,DOLORES,WAGNER,9,0,33.910000000000004
172,BERNICE,WILLIS,14,0,70.86
173,AUDREY,RAY,14,1,57.86000000000002
174,YVONNE,WATKINS,7,0,32.93000000000001
175,ANNETTE,OLSON,11,0,46.89000000000001
176,JUNE,CARROLL,12,0,55.88000000000002
178,MARION,SNYDER,18,1,85.82
179,DANA,HART,14,1,68.86000000000001
18,CAROL,GARCIA,9,0,33.910000000000004
180,STACY,CUNNINGHAM,10,1,40.900000000000006
181,ANA,BRADLEY,12,3,72.88
182,RENEE,LANE,12,1,39.88
183,IDA,ANDREWS,11,0,34.89
184,VIVIAN,RUIZ,9,0,36.91000000000001
185,ROBERTA,HARPER,12,2,50.88000000000001
187,BRITTANY,RILEY,11,2,63.890000000000015
188,MELANIE,ARMSTRONG,8,0,31.92
189,LORETTA,CARPENTER,10,0,37.90000000000001
19,RUTH,MARTINEZ,6,1,34.940000000000005
191,JEANETTE,GREENE,9,0,39.910000000000004
192,LAURIE,LAWRENCE,10,0,35.900000000000006
195,VANESSA,SIMS,11,0,47.89000000000001
196,ALMA,AUSTIN,14,1,63.860000000000014
197,SUE,PETERS,8,1,35.919999999999995
198,ELSIE,KELLEY,15,0,52.850000000000016
199,BETH,FRANKLIN,12,1,52.88000000000002
2,PATRICIA,JOHNSON,14,1,75.86
20,SHARON,ROBINSON,10,0,42.90000000000001
200,JEANNE,LAWSON,10,0,37.90000000000001
202,CARLA,GUTIERREZ,13,2,52.87000000000002
203,TARA,RYAN,7,1,40.93000000000001
204,ROSEMARY,SCHMIDT,14,0,48.860000000000014
205,EILEEN,CARR,8,0,45.92000000000001
206,TERRI,VASQUEZ,13,0,60.87000000000002
