average_check,customer_id,first_name,last_name,payment_count,share_payments_above_5,total_amount
2.16,76,IRENE,PRICE,6,0.1667,12.94
2.19,391,CLARENCE,GAMEZ,5,0.0,10.95
2.19,53,HEATHER,MORRIS,5,0.0,10.95
2.19,7,MARIA,MILLER,5,0.0,10.95
2.39,208,LUCY,WHEELER,5,0.2,11.95
2.39,241,HEIDI,LARSON,5,0.2,11.95
2.49,387,JESSE,SCHILLING,6,0.1667,14.94
2.49,514,FRANKLIN,TROUTMAN,6,0.0,14.94
2.49,84,SARA,PERRY,6,0.1667,14.94
2.59,162,LAUREN,HUDSON,5,0.0,12.95
2.59,237,TANYA,GILBERT,5,0.0,12.95
2.59,246,MARIAN,MENDOZA,5,0.0,12.95
2.59,416,JEFFERY,PINSON,5,0.0,12.95
2.66,395,JOHNNY,TURPIN,6,0.1667,15.94
2.66,430,RAY,HOULE,6,0.1667,15.94
2.79,151,MEGAN,PALMER,5,0.0,13.95
2.79,189,LORETTA,CARPENTER,5,0.2,13.95
2.79,254,MAXINE,SILVA,5,0.0,13.95
2.79,28,CYNTHIA,YOUNG,5,0.0,13.95
2.82,4,BARBARA,JONES,6,0.1667,16.94
2.99,123,SHANNON,FREEMAN,5,0.0,14.95
2.99,177,SAMANTHA,DUNCAN,5,0.0,14.95
2.99,191,JEANETTE,GREENE,6,0.0,17.94
2.99,35,VIRGINIA,GREEN,6,0.0,17.94
2.99,362,NICHOLAS,BARFIELD,5,0.0,14.95
2.99,377,HOWARD,FORTNER,5,0.0,14.95
2.99,428,HERBERT,KRUGER,5,0.0,14.95
2.99,438,BARRY,LOVELACE,6,0.0,17.94
3.13,29,ANGELA,HERNANDEZ,7,0.1429,21.93
3.13,96,DIANA,ALEXANDER,7,0.2857,21.93
3.16,358,SAMUEL,MARLOW,6,0.1667,18.94
3.16,533,JESSIE,MILAM,6,0.3333,18.94
3.19,10,DOROTHY,TAYLOR,5,0.0,15.95
3.19,216,NATALIE,MEYER,5,0.2,15.95
3.19,38,MARTHA,GONZALEZ,5,0.0,15.95
3.19,382,VICTOR,BARKLEY,5,0.0,15.95
3.19,534,CHRISTIAN,JUNG,5,0.0,15.95
3.19,574,JULIAN,VEST,5,0.4,15.95
3.21,329,FRANK,WAGGONER,9,0.2222,28.91
3.24,336,JOSHUA,MARK,8,0.0,25.92
3.26,31,BRENDA,WRIGHT,11,0.1818,35.89
3.28,450,JAY,ROBB,7,0.0,22.93
3.28,451,JIM,REA,7,0.2857,22.93
3.28,452,TOM,MILNER,7,0.1429,22.93
3.32,129,CARRIE,PORTER,6,0.0,19.94
3.32,132,ESTHER,CRAWFORD,6,0.0,19.94
3.32,498,GENE,SANBORN,6,0.1667,19.94
3.32,85,ANNE,POWELL,6,0.1667,19.94
3.37,268,NINA,SOTO,8,0.0,26.92
3.39,143,LESLIE,GORDON,5,0.0,16.95
3.39,173,AUDREY,RAY,5,0.0,16.95
3.39,23,SARAH,LEWIS,5,0.2,16.95
3.39,279,DIANNE,SHELTON,5,0.0,16.95
3.39,381,BOBBY,BOUDREAU,5,0.0,16.95
3.39,386,TODD,TAN,5,0.2,16.95
3.42,187,BRITTANY,RILEY,7,0.2857,23.93
3.42,371,BILLY,POULIN,7,0.2857,23.93
3.43,457,BILL,GAVIN,9,0.1111,30.91
3.49,116,VICTORIA,GIBSON,6,0.0,20.94
3.49,230,JOY,GEORGE,6,0.1667,20.94
3.49,380,RUSSELL,BRINSON,8,0.0,27.92
3.49,446,THEODORE,CULP,6,0.1667,20.94
3.56,107,FLORENCE,WOODS,7,0.1429,24.93
3.56,62,JOAN,COOPER,7,0.2857,24.93
3.56,86,JACQUELINE,LONG,7,0.0,24.93
3.59,283,FELICIA,SUTTON,5,0.2,17.95
3.59,365,BRUCE,SCHWARZ,5,0.2,17.95
3.59,45,JANET,PHILLIPS,5,0.0,17.95
3.59,568,ALBERTO,HENNING,5,0.0,17.95
3.66,130,CHARLOTTE,HUNTER,6,0.1667,21.94
3.66,295,DAISY,BATES,9,0.2222,32.91
3.66,319,RONALD,WEINER,6,0.0,21.94
3.7,122,THELMA,MURRAY,7,0.1429,25.93
3.7,146,JAMIE,RICE,7,0.1429,25.93
3.7,456,RONNIE,RICKETTS,7,0.2857,25.93
3.7,459,TOMMY,COLLAZO,7,0.1429,25.93
3.77,561,IAN,STILL,9,0.1111,33.91
3.79,427,JESUS,MCCARTNEY,5,0.4,18.95
3.79,540,TYRONE,ASHER,5,0.0,18.95
3.79,55,DORIS,REED,5,0.0,18.95
3.82,111,CARMEN,OWENS,6,0.1667,22.94
3.82,144,CLARA,SHAW,6,0.1667,22.94
3.82,307,JOSEPH,JOY,6,0.1667,22.94
3.82,410,CURTIS,IRBY,6,0.1667,22.94
3.82,516,ELMER,NOE,6,0.1667,22.94
3.85,406,NATHAN,RUNYON,7,0.1429,26.93
3.87,27,SHIRLEY,ALLEN,8,0.0,30.92
