first_name,last_name,payment_count,total_payment_amount,average_payment_amount,suspicious_activity
ELEANOR,HUNT,22,100.78,4.58,1
GORDON,ALLARD,17,96.83,5.7,1
ARNOLD,HAVENS,18,96.82,5.38,1
RHONDA,KENNEDY,19,96.81,5.1,1
CLARA,SHAW,18,93.82,5.21,1
TOMMY,COLLAZO,18,89.82,4.99,1
MARSHA,DOUGLAS,18,88.82,4.93,1
DAISY,BATES,18,87.82,4.88,1
TERRENCE,GUNDERSON,19,86.81,4.57,1
KARL,SEAL,19,86.81,4.57,1
MARION,SNYDER,18,85.82,4.77,1
CRYSTAL,FORD,21,84.79,4.04,1
ARTHUR,SIMPKINS,15,83.85,5.59,1
TONYA,CHAPMAN,17,82.83,4.87,1
BRANDON,HUEY,19,82.81,4.36,1
DIANE,COLLINS,17,80.83,4.75,1
ARLENE,HARVEY,17,80.83,4.75,1
WESLEY,BULL,18,80.82,4.49,1
RAMON,CHOATE,18,80.82,4.49,1
ZACHARY,HITE,15,79.85,5.32,1
TINA,SIMMONS,15,78.85,5.26,1
STEPHEN,QUALLS,17,78.83,4.64,1
ROBERTO,VU,15,77.85,5.19,1
STEVE,MACKENZIE,16,77.84,4.87,1
CHRISTOPHER,GRECO,16,76.84,4.8,1
VELMA,LUCAS,17,76.83,4.52,1
PATRICIA,JOHNSON,14,75.86,5.42,1
KENT,ARSENAULT,15,75.85,5.06,1
MILTON,HOWLAND,14,74.86,5.35,1
MISTY,LAMBERT,16,74.84,4.68,1
WARREN,SHERROD,16,74.84,4.68,1
BRETT,CORNWELL,15,73.85,4.92,1
DEBRA,NELSON,15,73.85,4.92,1
ELLA,OLIVER,18,73.82,4.1,1
MELISSA,KING,19,73.81,3.88,1
MARCIA,DEAN,20,73.8,3.69,1
ANA,BRADLEY,12,72.88,6.07,1
COURTNEY,DAY,16,72.84,4.55,1
PEDRO,CHESTNUT,15,71.85,4.79,1
THEODORE,CULP,17,71.83,4.23,1
CASEY,MENA,18,71.82,3.99,1
PERRY,SWAFFORD,13,70.87,5.45,1
BERNICE,WILLIS,14,70.86,5.06,1
BYRON,BOX,15,70.85,4.72,1
JIMMIE,EGGLESTON,15,70.85,4.72,1
STEPHANIE,MITCHELL,15,70.85,4.72,1
ROGER,QUINTANILLA,16,70.84,4.43,1
JENNIE,TERRY,16,70.84,4.43,1
REGINA,BERRY,17,70.83,4.17,1
KATHY,JAMES,18,70.82,3.93,1
TAMMY,SANDERS,20,70.8,3.54,1
MAURICE,CRAWLEY,12,69.88,5.82,1
JOYCE,EDWARDS,13,69.87,5.37,1
ROBIN,HAYES,13,69.87,5.37,1
NEIL,RENNER,14,69.86,4.99,1
RANDY,GAITHER,15,69.85,4.66,1
ROY,WHITING,15,69.85,4.66,1
RALPH,MADRIGAL,17,69.83,4.11,1
MARSHALL,THORN,12,68.88,5.74,1
MIRIAM,MCKINNEY,13,68.87,5.3,1
LINDA,WILLIAMS,13,68.87,5.3,1
DANA,HART,14,68.86,4.92,1
GLADYS,HAMILTON,15,68.85,4.59,1
VIRGINIA,GREEN,16,68.84,4.3,1
LOUIS,LEONE,16,68.84,4.3,1
MAX,PITT,16,68.84,4.3,1
JULIA,FLORES,17,68.83,4.05,1
NATHAN,RUNYON,18,68.82,3.82,1
GILBERT,SLEDGE,14,67.86,4.85,1
PRISCILLA,LOWE,15,67.85,4.52,1
MICHAEL,SILVERMAN,15,67.85,4.52,1
FRANCIS,SIKES,17,67.83,3.99,1
GEORGE,LINTON,18,67.82,3.77,1
JUSTIN,NGO,19,67.81,3.57,1
ALVIN,DELOACH,13,66.87,5.14,1
MARIO,CHEATHAM,17,66.83,3.93,1
BRADLEY,MOTLEY,11,65.89,5.99,1
DON,BONE,14,65.86,4.7,1
EDUARDO,HIATT,14,65.86,4.7,1
DARYL,LARUE,14,65.86,4.7,1
MARJORIE,TUCKER,16,65.84,4.12,1
ETHEL,WEBB,16,65.84,4.12,1
RYAN,SALISBURY,17,65.83,3.87,1
MARTHA,GONZALEZ,18,65.82,3.66,1
KATHRYN,COLEMAN,11,64.89,5.9,1
JACQUELINE,LONG,12,64.88,5.41,1
SARA,PERRY,12,64.88,5.41,1
SAM,MCDUFFIE,14,64.86,4.63,1
ASHLEY,RICHARDSON,14,64.86,4.63,1
JAMIE,WAUGH,14,64.86,4.63,1
JENNY,CASTRO,15,64.85,4.32,1
TANYA,GILBERT,15,64.85,4.32,1
WILLIE,HOWELL,15,64.85,4.32,1
JULIAN,VEST,15,64.85,4.32,1
WADE,DELVALLE,16,64.84,4.05,1
BRITTANY,RILEY,11,63.89,5.81,1
ERIC,ROBERT,12,63.88,5.32,1
ALMA,AUSTIN,14,63.86,4.56,1
MORRIS,MCCARTER,15,63.85,4.26,1
CLYDE,TOBIAS,18,63.82,3.55,1
JERRY,JORDON,12,62.88,5.24,1
JOSEPH,JOY,13,62.87,4.84,1
JACKIE,LYNCH,15,62.85,4.19,1
STACEY,MONTGOMERY,16,62.84,3.93,1
MARILYN,ROSS,12,61.88,5.16,1
MIKE,WAY,12,61.88,5.16,1
KAREN,JACKSON,13,61.87,4.76,1
FLORENCE,WOODS,14,61.86,4.42,1
NICHOLAS,BARFIELD,15,61.85,4.12,1
GRACE,ELLIS,15,61.85,4.12,1
THELMA,MURRAY,15,61.85,4.12,1
TERRANCE,ROUSH,15,61.85,4.12,1
CAROLYN,PEREZ,16,61.84,3.87,1
RICK,MATTOX,11,60.89,5.54,1
CHERYL,MURPHY,11,60.89,5.54,1
SONIA,GREGORY,12,60.88,5.07,1
PHILIP,CAUSEY,13,60.87,4.68,1
SARAH,LEWIS,13,60.87,4.68,1
DUANE,TUBBS,13,60.87,4.68,1
TERRI,VASQUEZ,13,60.87,4.68,1
JANICE,WARD,13,60.87,4.68,1
MITCHELL,WESTMORELAND,14,60.86,4.35,1
LEROY,BUSTAMANTE,16,60.84,3.8,1
KEN,PREWITT,16,60.84,3.8,1
MARIA,MILLER,11,59.89,5.44,1
CHARLENE,ALVAREZ,12,59.88,4.99,1
JORDAN,ARCHULETA,14,59.86,4.28,1
JOHN,FARNSWORTH,14,59.86,4.28,1
STANLEY,SCROGGINS,14,59.86,4.28,1
ELIZABETH,BROWN,16,59.84,3.74,1
LOIS,BUTLER,19,59.81,3.15,1
JUDITH,COX,19,59.81,3.15,1
DAN,PAINE,10,58.9,5.89,1
BESSIE,MORRISON,12,58.88,4.91,1
ALICE,STEWART,12,58.88,4.91,1
GLEN,TALBERT,12,58.88,4.91,1
ALFRED,CASILLAS,13,58.87,4.53,1
JESSIE,MILAM,13,58.87,4.53,1
RUSSELL,BRINSON,14,58.86,4.2,1
TIM,CARY,14,58.86,4.2,1
GERTRUDE,CASTILLO,15,58.85,3.92,1
JOY,GEORGE,15,58.85,3.92,1
AMY,LOPEZ,15,58.85,3.92,1
MATTHEW,MAHAN,15,58.85,3.92,1
RODNEY,MOELLER,15,58.85,3.92,1
KYLE,SPURLOCK,16,58.84,3.68,1
NATHANIEL,ADAM,11,57.89,5.26,1
LEE,HAWKS,12,57.88,4.82,1
HERMAN,DEVORE,13,57.87,4.45,1
JORGE,OLIVARES,13,57.87,4.45,1
JUANITA,MASON,14,57.86,4.13,1
AUDREY,RAY,14,57.86,4.13,1
CONSTANCE,REID,14,57.86,4.13,1
VIRGIL,WOFFORD,14,57.86,4.13,1
CHARLIE,BESS,11,56.89,5.17,1
CLAUDE,HERZOG,11,56.89,5.17,1
WANDA,PATTERSON,11,56.89,5.17,1
BEATRICE,ARNOLD,12,56.88,4.74,1
EDWIN,BURK,12,56.88,4.74,1
LYNN,PAYNE,13,56.87,4.37,1
SETH,HANNON,14,56.86,4.06,1
SHAWN,HEATON,14,56.86,4.06,1
EMILY,DIAZ,15,56.85,3.79,1
MATHEW,BOLIN,12,55.88,4.66,1
JUNE,CARROLL,12,55.88,4.66,1
STEVEN,CURLEY,12,55.88,4.66,1
GABRIEL,HARDER,13,55.87,4.3,1
LILLIE,KIM,13,55.87,4.3,1
MAXINE,SILVA,13,55.87,4.3,1
MICHELE,GRANT,14,55.86,3.99,1
LUCILLE,HOLMES,15,55.85,3.72,1
GREGORY,MAULDIN,15,55.85,3.72,1
CARRIE,PORTER,15,55.85,3.72,1
DOUGLAS,GRAF,9,54.91,6.1,1
FRANCISCO,SKIDMORE,10,54.9,5.49,1
VALERIE,BLACK,11,54.89,4.99,1
RAMONA,HALE,12,54.88,4.57,1
TODD,TAN,13,54.87,4.22,1
VIOLA,HANSON,14,54.86,3.92,1
CURTIS,IRBY,14,54.86,3.92,1
BARRY,LOVELACE,14,54.86,3.92,1
ALLISON,STANLEY,15,54.85,3.66,1
LENA,JENSEN,10,53.9,5.39,1
MARIE,TURNER,10,53.9,5.39,1
ANDY,VANHORN,10,53.9,5.39,1
LISA,ANDERSON,11,53.89,4.9,1
RAYMOND,MCWHORTER,11,53.89,4.9,1
PEGGY,MYERS,12,53.88,4.49,1
NINA,SOTO,12,53.88,4.49,1
RACHEL,BARNES,13,53.87,4.14,1
ERIK,GUILLEN,13,53.87,4.14,1
CHARLES,KOWALSKI,14,53.86,3.85,1
HEIDI,LARSON,15,53.85,3.59,1
TERRY,GRISSOM,11,52.89,4.81,1
CLIFTON,MALCOLM,11,52.89,4.81,1
BETH,FRANKLIN,12,52.88,4.41,1
TONI,HOLT,12,52.88,4.41,1
JOSHUA,MARK,12,52.88,4.41,1
TROY,QUIGLEY,12,52.88,4.41,1
DAVID,ROYAL,12,52.88,4.41,1
RONALD,WEINER,12,52.88,4.41,1
LUIS,YANEZ,12,52.88,4.41,1
CARLA,GUTIERREZ,13,52.87,4.07,1
WALTER,PERRYMAN,13,52.87,4.07,1
FRANK,WAGGONER,13,52.87,4.07,1
MARION,OCAMPO,14,52.86,3.78,1
LORI,WOOD,14,52.86,3.78,1
ELSIE,KELLEY,15,52.85,3.52,1
DARLENE,ROSE,17,52.83,3.11,1
BRYAN,HARDISON,10,51.9,5.19,1
HARRY,ARCE,12,51.88,4.32,1
FERNANDO,CHURCHILL,12,51.88,4.32,1
AMBER,DIXON,12,51.88,4.32,1
GWENDOLYN,MAY,12,51.88,4.32,1
RUBY,WASHINGTON,12,51.88,4.32,1
MARLENE,WELCH,12,51.88,4.32,1
GINA,WILLIAMSON,12,51.88,4.32,1
TRACY,COLE,13,51.87,3.99,1
RON,DELUCA,13,51.87,3.99,1
ANDREW,PURDY,13,51.87,3.99,1
TED,BREAUX,14,51.86,3.7,1
KRISTINA,CHAMBERS,14,51.86,3.7,1
CYNTHIA,YOUNG,14,51.86,3.7,1
GENE,SANBORN,15,51.85,3.46,1
KEVIN,SCHULER,10,50.9,5.09,1
CLIFFORD,BOWENS,11,50.89,4.63,1
ALAN,KAHN,11,50.89,4.63,1
SHANE,MILLARD,11,50.89,4.63,1
ROSA,REYNOLDS,11,50.89,4.63,1
EDWARD,BAUGH,12,50.88,4.24,1
GARY,COY,12,50.88,4.24,1
ROBERTA,HARPER,12,50.88,4.24,1
BRAD,MCCURDY,12,50.88,4.24,1
MARY,SMITH,12,50.88,4.24,1
BETTY,WHITE,12,50.88,4.24,1
JACK,FOUST,13,50.87,3.91,1
GERALD,FULTZ,13,50.87,3.91,1
JIMMY,SCHRADER,13,50.87,3.91,1
WENDY,HARRISON,15,50.85,3.39,1
FELICIA,SUTTON,17,50.83,2.99,1
ADRIAN,CLARY,11,49.89,4.54,1
HERBERT,KRUGER,11,49.89,4.54,1
DALE,RATCLIFF,11,49.89,4.54,1
DIANA,ALEXANDER,12,49.88,4.16,1
MONICA,HICKS,12,49.88,4.16,1
VIOLET,RODRIQUEZ,12,49.88,4.16,1
LORRAINE,STEPHENS,12,49.88,4.16,1
TAMARA,NGUYEN,13,49.87,3.84,1
ROSS,GREY,15,49.85,3.32,1
EVELYN,MORGAN,15,49.85,3.32,1
EDGAR,RHOADS,15,49.85,3.32,1
JAVIER,ELROD,11,48.89,4.44,1
