customer_id,customer_name,store_id,city,country,payment_month,monthly_amount,payment_count,avg_monthly_amount_2005,deviation_from_avg,store_month_rank,store_month_customer_count,last_staff_id,last_staff_name
246,MARIAN MENDOZA,1,Maring,Brazil,2005-05,30.95,5,8.98,21.97,1,281,1,Mike Hillyer
245,COURTNEY DAY,1,Uijongbu,South Korea,2005-05,28.94,6,10.81,18.13,2,281,2,Jon Stephens
105,DAWN SULLIVAN,1,Funafuti,Tuvalu,2005-05,26.96,4,10.06,16.9,3,281,1,Mike Hillyer
19,RUTH MARTINEZ,1,Kimberley,South Africa,2005-05,26.94,6,10.48,16.46,4,281,2,Jon Stephens
53,HEATHER MORRIS,1,Nagareyama,Japan,2005-05,26.94,6,8.98,17.96,4,281,1,Mike Hillyer
371,BILLY POULIN,1,Cabuyao,Philippines,2005-05,25.94,6,12.47,13.47,6,281,1,Mike Hillyer
391,CLARENCE GAMEZ,1,Izumisano,Japan,2005-05,24.95,5,8.73,16.23,7,281,1,Mike Hillyer
432,EDWIN BURK,1,Newcastle,South Africa,2005-05,22.97,3,9.73,13.24,10,281,1,Mike Hillyer
596,ENRIQUE FORSYTHE,1,Patras,Greece,2005-05,22.94,6,7.98,14.96,12,281,1,Mike Hillyer
231,GEORGIA JACOBS,1,Uttarpara-Kotrung,India,2005-05,21.97,3,9.23,12.74,13,281,1,Mike Hillyer
288,BOBBIE CRAIG,1,Valle de Santiago,Mexico,2005-05,21.96,4,6.73,15.23,14,281,2,Jon Stephens
594,EDUARDO HIATT,1,Jining,China,2005-05,21.96,4,10.89,11.07,14,281,1,Mike Hillyer
239,MINNIE ROMERO,2,Ciomas,Indonesia,2005-05,33.94,6,11.89,22.05,1,239,2,Jon Stephens
506,LESLIE SEWARD,2,Pontianak,Indonesia,2005-05,28.93,7,12.72,16.21,2,239,2,Jon Stephens
109,EDNA WEST,2,Klerksdorp,South Africa,2005-05,27.93,7,8.98,18.95,3,239,1,Mike Hillyer
311,PAUL TROUT,2,Kursk,Russian Federation,2005-05,26.95,5,10.06,16.89,4,239,2,Jon Stephens
429,FREDERICK ISBELL,2,Tsuyama,Japan,2005-05,26.95,5,8.82,18.13,4,239,2,Jon Stephens
375,AARON SELBY,2,Mwene-Ditu,"Congo, The Democratic Republic of the",2005-05,21.96,4,9.23,12.73,6,239,1,Mike Hillyer
