customer_first_name,customer_last_name,payment_count,total_amount,average_payment_amount,payments_above_5_count
ALEX,GRESHAM,10,52.9,5.29,4
MARION,SNYDER,8,44.92,5.62,4
JUNE,CARROLL,8,42.92,5.37,4
JESSICA,HALL,7,41.93,5.99,3
KARL,SEAL,9,41.91,4.66,3
JASON,MORRISSEY,7,40.93,5.85,4
GUY,BROWNLEE,6,39.94,6.66,3
MARGIE,WADE,9,38.91,4.32,2
VIOLET,RODRIQUEZ,6,37.94,6.32,4
PETER,MENARD,7,37.93,5.42,4
MARCIA,DEAN,8,37.92,4.74,3
CLAUDIA,FULLER,8,36.92,4.62,3
KATIE,ELLIOTT,6,35.94,5.99,3
MIKE,WAY,6,35.94,5.99,3
STEVEN,CURLEY,7,35.93,5.13,1
MAE,FLETCHER,7,35.93,5.13,2
JOEL,FRANCISCO,7,35.93,5.13,2
PATRICK,NEWSOM,8,35.92,4.49,3
GINA,WILLIAMSON,9,35.91,3.99,2
BRENDA,WRIGHT,11,35.89,3.26,2
DENNIS,GILMAN,7,34.93,4.99,3
ERNEST,STEPP,7,34.93,4.99,3
CHRISTY,VARGAS,8,34.92,4.37,2
DEBORAH,WALKER,6,33.94,5.66,2
MORRIS,MCCARTER,7,33.93,4.85,2
BEN,EASTER,8,33.92,4.24,4
IAN,STILL,9,33.91,3.77,1
JOHNNIE,CHISHOLM,6,32.94,5.49,1
VALERIE,BLACK,7,32.93,4.7,3
CATHERINE,CAMPBELL,7,32.93,4.7,1
IVAN,CROMWELL,7,32.93,4.7,2
DOLORES,WAGNER,7,32.93,4.7,3
DAISY,BATES,9,32.91,3.66,2
MICHELLE,CLARK,5,31.95,6.39,2
RYAN,SALISBURY,5,31.95,6.39,3
LEWIS,LYMAN,6,31.94,5.32,2
ROSEMARY,SCHMIDT,6,31.94,5.32,2
JAMES,GANNON,7,31.93,4.56,2
JEANNE,LAWSON,7,31.93,4.56,1
RICK,MATTOX,7,31.93,4.56,0
MARY,SMITH,7,31.93,4.56,2
ALMA,AUSTIN,8,31.92,3.99,2
SUE,PETERS,8,31.92,3.99,1
JULIA,FLORES,5,30.95,6.19,3
SETH,HANNON,5,30.95,6.19,3
TRACY,HERRMANN,5,30.95,6.19,2
HARRY,ARCE,6,30.94,5.16,1
LARRY,THRASHER,6,30.94,5.16,2
DOUGLAS,GRAF,7,30.93,4.42,3
MABEL,HOLLAND,7,30.93,4.42,1
SHIRLEY,ALLEN,8,30.92,3.87,0
BILL,GAVIN,9,30.91,3.43,1
