customer_id,customer_name,country,city,suspicious_activity_date,day_payment_amount,payment_count,staff_count,avg_daily_amount_prev_30_days,suspicious_rank
480,COREY HAUSER,Turkey,Gaziantep,2005-05-29,16.98,2,2,0.03,1
124,SHEILA WELLS,Turkey,Ktahya,2005-05-31,14.97,3,1,0.03,2
231,GEORGIA JACOBS,India,Uttarpara-Kotrung,2005-07-06,12.98,2,2,0.03,3
442,LEROY BUSTAMANTE,China,Tongliao,2005-05-28,12.98,2,2,0.03,4
424,KYLE SPURLOCK,China,Shanwei,2005-06-20,11.98,2,2,0.03,5
100,ROBIN HAYES,Russian Federation,Jelets,2005-06-15,11.97,3,2,0.03,6
378,EUGENE CULPEPPER,China,Shenzhen,2005-06-16,10.98,2,2,0.03,7
129,CARRIE PORTER,China,Liaocheng,2005-06-19,9.97,3,2,0.03,8
5,ELIZABETH BROWN,Taiwan,Nantou,2005-05-31,8.98,2,1,0.03,9
406,NATHAN RUNYON,"Virgin Islands, U.S.",Charlotte Amalie,2005-06-17,8.98,2,2,0.03,10
549,NELSON CHRISTENSON,Spain,Santiago de Compostela,2005-05-30,8.98,2,2,0.03,11
81,ANDREA HENDERSON,Madagascar,Mahajanga,2005-06-19,7.98,2,1,0.03,12
198,ELSIE KELLEY,Nigeria,Ikerre,2005-05-28,7.98,2,2,0.03,13
591,KENT ARSENAULT,Brazil,Juiz de Fora,2005-06-21,7.98,2,1,0.03,14
574,JULIAN VEST,Japan,Akishima,2005-06-16,7.97,3,2,0.03,15
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-06-19,15.95,5,2,0.07,16
290,KRISTINA CHAMBERS,Venezuela,Valle de la Pascua,2005-06-15,20.97,3,2,0.1,17
412,ALLEN BUTTERFIELD,India,Hoshiarpur,2005-07-29,18.97,3,2,0.1,18
126,ELLEN SIMPSON,Brazil,Po,2005-07-06,18.97,3,2,0.1,19
36,KATHLEEN ADAMS,Iran,Arak,2005-07-08,9.98,2,1,0.07,20
157,DARLENE ROSE,North Korea,Pyongyang,2005-07-07,9.98,2,2,0.07,21
435,RICKY SHELBY,China,Junan,2005-07-06,9.98,2,1,0.07,22
545,JULIO NOLAND,Ukraine,Konotop,2005-07-06,14.98,2,2,0.1,23
501,RUBEN GEARY,Poland,Lublin,2005-06-21,13.98,2,2,0.1,24
172,BERNICE WILLIS,Turkey,Batman,2005-07-08,17.97,3,2,0.13,25
598,WADE DELVALLE,Switzerland,Lausanne,2005-07-06,12.97,3,2,0.1,26
1,MARY SMITH,Japan,Sasebo,2005-06-15,16.97,3,2,0.13,27
147,JOANNE ROBERTSON,Japan,Urawa,2005-06-18,7.98,2,1,0.07,28
374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2005-05-30,3.98,2,1,0.03,29
580,ROSS GREY,Philippines,Iligan,2005-07-06,3.98,2,1,0.03,30
485,CLYDE TOBIAS,China,Shaoguan,2005-06-16,11.98,2,2,0.1,31
352,ALBERT CROUSE,Cameroon,Bamenda,2005-06-16,14.97,3,1,0.13,32
437,RANDALL NEUMANN,Dominican Republic,La Romana,2005-05-28,10.98,2,2,0.1,33
233,LILLIE KIM,Egypt,Idfu,2005-06-18,10.97,3,2,0.1,34
423,ALFRED CASILLAS,Egypt,Sawhaj,2005-07-27,24.95,5,2,0.23,35
403,MIKE WAY,India,Valparai,2005-06-15,13.98,2,2,0.13,36
564,BOB PFEIFFER,China,Xintai,2005-07-27,13.98,2,2,0.13,37
478,LEWIS LYMAN,Israel,Ashqelon,2005-06-19,20.97,3,2,0.2,38
563,KEN PREWITT,Romania,Bucuresti,2005-07-08,29.93,7,2,0.3,39
27,SHIRLEY ALLEN,Philippines,Davao,2005-06-15,9.98,2,2,0.1,40
162,LAUREN HUDSON,France,Le Mans,2005-07-29,9.98,2,2,0.1,41
355,TERRY GRISSOM,Japan,Matsue,2005-07-06,12.98,2,1,0.13,42
3,LINDA WILLIAMS,Greece,Athenai,2005-06-16,15.98,2,1,0.17,43
345,CARL ARTIS,Paraguay,San Lorenzo,2005-06-15,5.98,2,2,0.07,44
530,DARRYL ASHCRAFT,Argentina,Ezeiza,2005-06-15,2.98,2,2,0.03,45
180,STACY CUNNINGHAM,Colombia,Pereira,2005-07-08,17.98,2,2,0.2,46
335,GREGORY MAULDIN,Tunisia,Sousse,2005-07-07,17.96,4,2,0.2,47
20,SHARON ROBINSON,Pakistan,Mardan,2005-05-28,8.98,2,1,0.1,48
582,ANDY VANHORN,Mexico,Huejutla de Reyes,2005-07-27,20.96,4,2,0.23,49
177,SAMANTHA DUNCAN,Mexico,Matamoros,2005-06-16,8.97,3,2,0.1,50
459,TOMMY COLLAZO,Iran,Qomsheh,2005-06-17,8.97,3,1,0.1,51
376,RANDY GAITHER,Russian Federation,Kurgan,2005-07-07,13.97,3,2,0.17,52
423,ALFRED CASILLAS,Egypt,Sawhaj,2005-06-19,13.98,2,2,0.17,53
517,BRAD MCCURDY,Taiwan,Chungho,2005-06-16,13.98,2,2,0.17,54
380,RUSSELL BRINSON,Poland,Tychy,2005-06-17,10.97,3,1,0.13,55
186,HOLLY FOX,India,Haldia,2005-06-15,7.98,2,1,0.1,56
366,BRANDON HUEY,Turkey,Balikesir,2005-07-06,7.98,2,2,0.1,57
471,DEAN SAUER,South Africa,Johannesburg,2005-06-15,7.98,2,2,0.1,58
549,NELSON CHRISTENSON,Spain,Santiago de Compostela,2005-07-06,7.98,2,1,0.1,59
329,FRANK WAGGONER,Bangladesh,Jamalpur,2005-06-17,7.97,3,2,0.1,60
235,JACKIE LYNCH,Colombia,Buenaventura,2005-07-06,14.97,3,2,0.2,61
350,JUAN FRALEY,Russian Federation,Teboksary,2005-08-17,14.97,3,2,0.2,62
31,BRENDA WRIGHT,India,Kamarhati,2005-06-18,16.96,4,2,0.23,63
569,DAVE GARDINER,China,Leshan,2005-05-28,11.97,3,1,0.17,64
300,JOHN FARNSWORTH,India,Parbhani,2005-07-10,13.98,2,2,0.2,65
15,HELEN HARRIS,India,Bhopal,2005-06-20,6.98,2,2,0.1,66
184,VIVIAN RUIZ,Netherlands,s-Hertogenbosch,2005-05-28,6.98,2,2,0.1,67
396,EARL SHANKS,Japan,Iwatsuki,2005-06-15,13.97,3,1,0.2,68
321,KEVIN SCHULER,Nepal,Birgunj,2005-08-17,17.97,3,2,0.27,69
497,GILBERT SLEDGE,United Kingdom,York,2005-06-18,17.97,3,2,0.27,70
55,DORIS REED,Russian Federation,Balaiha,2005-05-31,10.98,2,1,0.17,71
152,ALICIA MILLS,India,Nagaon,2005-07-06,10.98,2,2,0.17,72
163,CATHY SPENCER,Japan,Kakamigahara,2005-06-17,10.98,2,1,0.17,73
247,STELLA MORENO,Mexico,Coacalco de Berriozbal,2005-05-27,10.98,2,2,0.17,74
75,TAMMY SANDERS,Taiwan,Changhwa,2005-06-17,12.98,2,1,0.2,75
544,CODY NOLEN,Brazil,So Bernardo do Campo,2005-06-15,12.98,2,2,0.2,76
246,MARIAN MENDOZA,Brazil,Maring,2005-05-27,14.98,2,1,0.23,77
352,ALBERT CROUSE,Cameroon,Bamenda,2005-07-27,22.96,4,2,0.37,78
521,ROLAND SOUTH,China,Yingkou,2005-07-07,3.98,2,1,0.07,79
529,ERIK GUILLEN,India,Bhimavaram,2005-07-07,7.97,3,1,0.13,80
491,RICK MATTOX,Egypt,Mit Ghamr,2005-06-15,7.98,2,2,0.13,81
76,IRENE PRICE,Kazakstan,Pavlodar,2005-07-29,13.97,3,1,0.23,82
315,KENNETH GOODEN,Israel,Bat Yam,2005-07-09,11.98,2,2,0.2,83
262,PATSY DAVIDSON,Ecuador,Portoviejo,2005-06-19,15.98,2,2,0.27,84
180,STACY CUNNINGHAM,Colombia,Pereira,2005-06-19,5.98,2,2,0.1,85
336,JOSHUA MARK,India,Rampur,2005-06-18,5.98,2,1,0.1,86
575,ISAAC OGLESBY,Mexico,Cuernavaca,2005-05-27,5.98,2,2,0.1,87
249,DORA MEDINA,China,Tianjin,2005-05-27,9.98,2,2,0.17,88
134,EMMA BOYD,Egypt,Qalyub,2005-05-29,7.98,2,2,0.13,89
395,JOHNNY TURPIN,Sudan,al-Qadarif,2005-06-16,1.98,2,2,0.03,90
229,TAMARA NGUYEN,Brazil,Anpolis,2005-06-21,9.97,3,2,0.17,91
504,NATHANIEL ADAM,United States,Joliet,2005-07-06,16.98,2,2,0.3,92
319,RONALD WEINER,Mexico,San Felipe del Progreso,2005-08-17,16.95,5,2,0.3,93
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-28,29.95,5,2,0.53,94
410,CURTIS IRBY,Canada,Richmond Hill,2005-06-18,10.98,2,2,0.2,95
72,THERESA WATSON,Philippines,Taguig,2005-07-09,10.97,3,2,0.2,96
