month_start,country_name,customer_id,customer_name,monthly_amount,prev3_avg_monthly_amount,amount_to_prev3_avg_ratio,country_p95_monthly_amount,payment_count,distinct_staff_count,distinct_store_count,action_or_new_payment_share,country_month_rank
2005-08-01,Austria,266,NORA HERRERA,71.83,15.63,4.6,68.34,17,2,2,0.1176,1
2005-08-01,Bangladesh,21,MICHELLE CLARK,79.83,24.28,3.29,76.44,17,2,2,0.1176,1
2005-08-01,Brazil,362,NICHOLAS BARFIELD,63.89,27.26,2.34,62.14,11,2,2,0.0909,2
2005-08-01,Cameroon,361,LAWRENCE LAWTON,42.87,17.95,2.39,42.17,13,2,2,0.3846,1
2005-08-01,Chile,45,JANET PHILLIPS,68.88,19.62,3.51,67.38,12,2,2,0.1667,1
2005-08-01,China,569,DAVE GARDINER,75.82,19.62,3.86,63.26,18,2,2,0.1667,1
2005-08-01,China,197,SUE PETERS,65.84,29.59,2.23,63.26,16,2,2,0.125,2
2005-08-01,China,550,GUY BROWNLEE,63.87,30.94,2.06,63.26,13,2,2,0.1538,3
2005-08-01,Colombia,460,LEON BOSTIC,54.88,18.29,3.0,53.89,12,2,2,0.0,1
2005-08-01,"Congo, The Democratic Republic of the",375,AARON SELBY,51.88,19.63,2.64,51.43,12,2,2,0.0833,1
2005-08-01,Egypt,119,SHERRY MARSHALL,77.82,25.28,3.08,72.34,18,2,2,0.2222,1
2005-08-01,French Polynesia,56,GLORIA COOK,58.88,23.94,2.46,57.58,12,2,2,0.1667,1
2005-08-01,Germany,448,MIGUEL BETANCOURT,54.9,25.61,2.14,53.09,10,2,2,0.0,1
2005-08-01,Greece,596,ENRIQUE FORSYTHE,46.87,16.29,2.88,46.32,13,2,2,0.0,1
2005-08-01,India,259,LENA JENSEN,75.84,31.61,2.4,70.91,16,2,2,0.25,2
2005-08-01,India,468,TIM CARY,71.86,34.58,2.08,70.91,14,2,2,0.1429,3
2005-08-01,Israel,161,GERALDINE PERKINS,45.88,22.27,2.06,43.94,12,2,2,0.1667,1
2005-08-01,Italy,439,ALEXANDER FENNELL,67.85,27.93,2.43,66.06,15,2,2,0.2,1
2005-08-01,Japan,147,JOANNE ROBERTSON,76.85,16.94,4.54,66.85,15,2,2,0.3333,1
2005-08-01,Japan,29,ANGELA HERNANDEZ,68.84,23.6,2.92,66.85,16,2,2,0.125,2
2005-08-01,Kazakstan,76,IRENE PRICE,35.94,13.94,2.58,35.44,6,2,2,0.0,1
2005-08-01,Malaysia,306,CHARLES KOWALSKI,65.86,24.27,2.71,65.16,14,2,2,0.0714,1
2005-08-01,Mexico,150,DANIELLE DANIELS,68.84,12.3,5.6,62.42,16,2,2,0.25,1
2005-08-01,Morocco,22,LAURA RODRIGUEZ,54.9,17.96,3.06,54.2,10,2,2,0.2,1
2005-08-01,Myanmar,256,MABEL HOLLAND,53.88,19.61,2.75,53.33,12,2,2,0.1667,1
2005-08-01,Nigeria,198,ELSIE KELLEY,70.84,23.6,3.0,69.66,16,2,2,0.0625,1
2005-08-01,Pakistan,416,JEFFERY PINSON,63.87,19.27,3.31,60.27,13,2,2,0.0769,1
2005-08-01,Paraguay,345,CARL ARTIS,42.93,21.28,2.02,42.43,7,2,2,0.1429,1
2005-08-01,Peru,565,JAIME NETTLES,66.87,19.95,3.35,64.02,13,2,2,0.0,1
2005-08-01,Philippines,373,LOUIS LEONE,76.85,27.94,2.75,65.49,15,2,2,0.1333,1
2005-08-01,Saudi Arabia,417,TRAVIS ESTEP,48.87,19.63,2.49,47.88,13,2,2,0.4615,1
2005-08-01,South Africa,471,DEAN SAUER,55.88,17.95,3.11,55.4,12,2,2,0.0833,1
2005-08-01,South Korea,237,TANYA GILBERT,60.89,27.93,2.18,58.1,11,2,2,0.0909,1
2005-08-01,Taiwan,348,ROGER QUINTANILLA,60.85,28.6,2.13,57.71,15,2,2,0.2,1
2005-08-01,Tanzania,190,YOLANDA WEAVER,49.88,18.62,2.68,49.78,12,2,2,0.0833,1
2005-08-01,Turkey,172,BERNICE WILLIS,58.87,28.93,2.03,58.87,13,2,2,0.2308,1
2005-08-01,Ukraine,187,BRITTANY RILEY,63.91,31.94,2.0,59.9,9,2,2,0.2222,1
2005-08-01,United States,181,ANA BRADLEY,71.84,33.28,2.16,65.86,16,2,2,0.0625,2
2005-08-01,Vietnam,532,NEIL RENNER,69.86,27.28,2.56,65.86,14,2,2,0.3571,1
2005-08-01,Yemen,210,ELLA OLIVER,56.9,26.93,2.11,56.0,10,2,2,0.2,1
