customer_id,customer_first_name,customer_last_name,country,city,store_id,suspicious_month_count,payment_count,total_amount,max_single_payment,action_new_payment_share,country_suspicious_amount_rank
441,MARIO,CHEATHAM,Algeria,Batna,1,1,17,66.83,10.99,0.2353,1
528,CLAUDE,HERZOG,Angola,Benguela,1,1,11,56.89,9.99,0.1818,1
89,JULIA,FLORES,Argentina,La Plata,1,2,22,99.78,8.99,0.1364,1
585,PERRY,SWAFFORD,Argentina,Quilmes,1,1,13,70.87,9.99,0.0769,2
445,MICHEAL,FORMAN,Argentina,Escobar,1,1,14,66.86,9.99,0.0,3
219,WILLIE,HOWELL,Argentina,Vicente Lpez,2,1,15,64.85,7.99,0.0667,4
107,FLORENCE,WOODS,Argentina,Merlo,1,1,14,61.86,7.99,0.0,5
560,JORDAN,ARCHULETA,Argentina,Avellaneda,1,1,14,59.86,9.99,0.2857,6
243,LYDIA,BURKE,Argentina,San Miguel de Tucumn,1,1,13,45.87,5.99,0.0769,7
322,JASON,MORRISSEY,Argentina,Baha Blanca,1,1,7,40.93,8.99,0.0,8
405,LEONARD,SCHOFIELD,Argentina,Tandil,1,1,6,26.94,5.99,0.0,9
266,NORA,HERRERA,Austria,Salzburg,2,1,17,71.83,8.99,0.1176,1
173,AUDREY,RAY,Austria,Graz,1,1,14,57.86,8.99,0.2143,2
333,ANDREW,PURDY,Azerbaijan,Baku,2,1,13,51.87,10.99,0.0769,1
21,MICHELLE,CLARK,Bangladesh,Tangail,1,1,17,79.83,9.99,0.1176,1
332,STEPHEN,QUALLS,Bangladesh,Dhaka,1,1,17,78.83,8.99,0.1176,2
144,CLARA,SHAW,Belarus,Molodetno,1,2,24,116.76,9.99,0.1667,1
455,JON,WILES,Bolivia,El Alto,2,1,9,45.91,8.99,0.2222,1
431,JOEL,FRANCISCO,Bolivia,Sucre,2,1,7,35.93,8.99,0.2857,2
92,TINA,SIMMONS,Brazil,Goinia,2,1,15,78.85,8.99,0.1333,1
591,KENT,ARSENAULT,Brazil,Juiz de Fora,1,1,15,75.85,11.99,0.0667,2
314,GEORGE,LINTON,Brazil,Sorocaba,1,1,18,67.82,6.99,0.2222,3
354,JUSTIN,NGO,Brazil,Santo Andr,2,1,19,67.81,8.99,0.0526,4
307,JOSEPH,JOY,Brazil,Angra dos Reis,2,1,13,62.87,10.99,0.2308,5
362,NICHOLAS,BARFIELD,Brazil,Belm,1,1,15,61.85,8.99,0.0667,6
206,TERRI,VASQUEZ,Brazil,Blumenau,1,1,13,60.87,6.99,0.2308,7
254,MAXINE,SILVA,Brazil,Poos de Caldas,2,1,13,55.87,7.99,0.0769,8
229,TAMARA,NGUYEN,Brazil,Anpolis,1,1,13,49.87,7.99,0.3077,9
126,ELLEN,SIMPSON,Brazil,Po,1,1,13,48.87,7.99,0.3846,10
342,HAROLD,MARTINO,Brazil,Boa Vista,1,1,12,45.88,8.99,0.0,11
183,IDA,ANDREWS,Brazil,Luzinia,2,1,11,34.89,5.99,0.0,12
310,DANIEL,CABRAL,Brazil,Ibirit,2,1,6,27.94,6.99,0.0,13
130,CHARLOTTE,HUNTER,Brazil,guas Lindas de Gois,1,1,6,21.94,6.99,0.0,14
216,NATALIE,MEYER,Brazil,Aparecida de Goinia,1,1,5,15.95,6.99,0.2,15
228,ALLISON,STANLEY,Cambodia,Phnom Penh,2,1,15,54.85,8.99,0.1333,1
516,ELMER,NOE,Cambodia,Battambang,2,1,6,22.94,10.99,0.1667,2
352,ALBERT,CROUSE,Cameroon,Bamenda,1,1,5,20.95,4.99,0.0,1
436,TROY,QUIGLEY,Canada,Vancouver,1,1,12,52.88,9.99,0.0833,1
45,JANET,PHILLIPS,Chile,Antofagasta,1,1,9,37.91,9.99,0.1111,1
595,TERRENCE,GUNDERSON,China,Jinzhou,1,1,19,86.81,10.99,0.1053,1
339,WALTER,PERRYMAN,China,Xinxiang,2,2,18,78.82,7.99,0.1111,2
484,ROBERTO,VU,China,Yinchuan,1,1,15,77.85,9.99,0.1333,3
588,MARION,OCAMPO,China,Weifang,1,2,19,77.81,7.99,0.2632,4
569,DAVE,GARDINER,China,Leshan,2,1,18,75.82,9.99,0.1667,5
168,REGINA,BERRY,China,Jinchang,1,1,17,70.83,6.99,0.1765,6
302,MICHAEL,SILVERMAN,China,Tiefa,1,1,15,67.85,8.99,0.2,7
485,CLYDE,TOBIAS,China,Shaoguan,1,1,18,63.82,6.99,0.0556,8
211,STACEY,MONTGOMERY,China,Fuyu,1,1,16,62.84,8.99,0.0625,9
442,LEROY,BUSTAMANTE,China,Tongliao,1,1,16,60.84,5.99,0.1875,10
64,JUDITH,COX,China,Daxian,2,1,19,59.81,6.99,0.1053,11
533,JESSIE,MILAM,China,Binzhou,1,1,13,58.87,9.99,0.0769,12
424,KYLE,SPURLOCK,China,Shanwei,2,1,16,58.84,8.99,0.1875,13
422,MELVIN,ELLINGTON,China,Laohekou,1,1,13,56.87,9.99,0.0,14
154,MICHELE,GRANT,China,Yuncheng,2,1,14,55.86,7.99,0.0714,15
241,HEIDI,LARSON,China,Xiangfan,2,1,15,53.85,6.99,0.2,16
90,RUBY,WASHINGTON,China,Meixian,2,1,12,51.88,9.99,0.0833,17
538,TED,BREAUX,China,Baicheng,2,1,14,51.86,8.99,0.2143,18
324,GARY,COY,China,Yuzhou,2,1,12,50.88,7.99,0.0833,19
165,LORRAINE,STEPHENS,China,Hami,2,1,12,49.88,7.99,0.0833,20
93,PHYLLIS,FOSTER,China,Zalantun,1,1,12,48.88,8.99,0.1667,21
138,HAZEL,WARREN,China,Hohhot,1,1,15,47.85,9.99,0.0667,22
550,GUY,BROWNLEE,China,Zhoushan,2,1,6,39.94,10.99,0.1667,23
260,CHRISTY,VARGAS,China,Datong,1,1,8,34.92,10.99,0.25,24
466,LEO,EBERT,China,Dongying,1,1,5,28.95,8.99,0.0,25
490,SAM,MCDUFFIE,Colombia,Sogamoso,1,1,14,64.86,8.99,0.0714,1
235,JACKIE,LYNCH,Colombia,Buenaventura,1,1,15,62.85,6.99,0.2,2
460,LEON,BOSTIC,Colombia,Florencia,1,1,12,54.88,10.99,0.0,3
120,SYLVIA,ORTIZ,Colombia,Dos Quebradas,2,1,6,29.94,9.99,0.1667,4
87,WANDA,PATTERSON,Colombia,Sincelejo,1,1,5,25.95,9.99,0.2,5
494,RAMON,CHOATE,Ecuador,Robamba,2,1,18,80.82,8.99,0.1111,1
119,SHERRY,MARSHALL,Egypt,Shubra al-Khayma,1,1,18,77.82,6.99,0.2222,1
233,LILLIE,KIM,Egypt,Idfu,2,1,13,55.87,8.99,0.0769,2
559,EVERETT,BANDA,Egypt,Bilbays,2,1,12,41.88,7.99,0.25,3
491,RICK,MATTOX,Egypt,Mit Ghamr,2,1,7,31.93,4.99,0.1429,4
35,VIRGINIA,GREEN,France,Toulouse,2,1,16,68.84,6.99,0.25,1
402,LUIS,YANEZ,France,Brest,1,1,12,52.88,7.99,0.25,2
43,CHRISTINE,ROBERTS,French Polynesia,Faaa,2,1,12,47.88,4.99,0.25,1
114,GRACE,ELLIS,Germany,Duisburg,2,1,15,61.85,10.99,0.2,1
227,COLLEEN,BURTON,Germany,Saarbrcken,1,1,12,44.88,7.99,0.0833,2
448,MIGUEL,BETANCOURT,Germany,Erlangen,1,1,5,24.95,7.99,0.2,3
3,LINDA,WILLIAMS,Greece,Athenai,1,2,17,94.83,10.99,0.2353,1
403,MIKE,WAY,India,Valparai,1,2,18,97.82,8.99,0.0,1
446,THEODORE,CULP,India,Uluberia,2,2,23,92.77,9.99,0.1304,2
209,TONYA,CHAPMAN,India,Bhilwara,2,1,17,82.83,8.99,0.1176,3
186,HOLLY,FOX,India,Haldia,2,2,20,81.8,8.99,0.05,4
225,ARLENE,HARVEY,India,Ambattur,1,1,17,80.83,7.99,0.0588,5
15,HELEN,HARRIS,India,Bhopal,1,1,18,79.82,8.99,0.0556,6
554,DWAYNE,OLVERA,India,Rajkot,1,2,16,78.84,9.99,0.125,7
508,MILTON,HOWLAND,India,Vijayawada,2,1,14,74.86,9.99,0.2857,8
502,BRETT,CORNWELL,India,Siliguri (Shiliguri),1,1,15,73.85,8.99,0.1333,9
297,SHERRI,RHODES,India,Ahmadnagar,1,2,18,72.82,8.99,0.1111,10
121,JOSEPHINE,GOMEZ,India,Etawah,1,1,14,67.86,9.99,0.1429,11
300,JOHN,FARNSWORTH,India,Parbhani,1,1,14,59.86,10.99,0.2143,12
32,AMY,LOPEZ,India,Jhansi,1,1,15,58.85,9.99,0.0,13
421,LEE,HAWKS,India,Pudukkottai,1,1,12,57.88,8.99,0.0,14
135,JUANITA,MASON,India,Pune,2,1,14,57.86,7.99,0.0714,15
170,BEATRICE,ARNOLD,India,Udaipur,1,1,12,56.88,9.99,0.0833,16
296,RAMONA,HALE,India,Patiala,2,1,12,54.88,7.99,0.0833,17
529,ERIK,GUILLEN,India,Bhimavaram,2,1,13,53.87,7.99,0.1538,18
202,CARLA,GUTIERREZ,India,Bhusawal,2,1,13,52.87,8.99,0.0,19
28,CYNTHIA,YOUNG,India,Munger (Monghyr),1,1,14,51.86,9.99,0.1429,20
356,GERALD,FULTZ,India,Satna,2,1,13,50.87,6.99,0.0769,21
167,SALLY,PIERCE,India,Chandrapur,2,1,15,48.85,4.99,0.1333,22
440,BERNARD,COLBY,India,Dhule (Dhulia),1,1,12,47.88,9.99,0.0,23
208,LUCY,WHEELER,India,Balurghat,1,1,13,46.87,6.99,0.2308,24
419,CHAD,CARBONE,India,Katihar,1,1,13,39.87,5.99,0.0769,25
287,BECKY,MILES,India,Tambaram,2,1,4,27.96,9.99,0.25,26
492,LESTER,KRAUS,India,Kanchrapara,2,1,4,21.96,9.99,0.0,27
426,BRADLEY,MOTLEY,India,Purnea (Purnia),1,1,5,19.95,7.99,0.2,28
358,SAMUEL,MARLOW,India,Ranchi,2,1,6,18.94,5.99,0.0,29
123,SHANNON,FREEMAN,India,Varanasi (Benares),2,1,5,14.95,4.99,0.2,30
372,STEVE,MACKENZIE,Indonesia,Probolinggo,2,1,16,77.84,8.99,0.1875,1
473,JORGE,OLIVARES,Indonesia,Lhokseumawe,2,1,13,57.87,8.99,0.1538,2
411,NORMAN,CURRIER,Indonesia,Cianjur,1,1,12,32.88,5.99,0.0833,3
450,JAY,ROBB,Indonesia,Surakarta,1,1,7,22.93,4.99,0.0,4
328,JEFFREY,SPEAR,Indonesia,Ciparay,2,1,5,21.95,6.99,0.2,5
116,VICTORIA,GIBSON,Indonesia,Pemalang,1,1,6,20.94,4.99,0.0,6
459,TOMMY,COLLAZO,Iran,Qomsheh,1,2,25,115.75,10.99,0.12,1
36,KATHLEEN,ADAMS,Iran,Arak,2,2,24,89.76,9.99,0.125,2
279,DIANNE,SHELTON,Iran,Tabriz,2,1,14,66.86,7.99,0.1429,3
185,ROBERTA,HARPER,Iran,Shahr-e Kord,1,1,12,50.88,9.99,0.0,4
102,CRYSTAL,FORD,Israel,Ashdod,1,1,21,84.79,6.99,0.1429,1
161,GERALDINE,PERKINS,Israel,Tel Aviv-Jaffa,1,1,10,41.9,6.99,0.1,2
309,CHRISTOPHER,GRECO,Italy,Brescia,1,1,16,76.84,8.99,0.25,1
499,MARC,OUTLAW,Italy,Brindisi,2,1,13,61.87,8.99,0.3077,2
221,BESSIE,MORRISON,Italy,Syrakusa,1,1,5,23.95,10.99,0.2,3
147,JOANNE,ROBERTSON,Japan,Urawa,2,2,28,108.72,8.99,0.25,1
574,JULIAN,VEST,Japan,Akishima,2,2,20,80.8,7.99,0.1,2
285,MIRIAM,MCKINNEY,Japan,Otsu,1,1,13,68.87,9.99,0.0769,3
54,TERESA,ROGERS,Japan,Iwakuni,1,1,14,64.86,10.99,0.0714,4
531,JAMIE,WAUGH,Japan,Kuwana,2,1,14,64.86,6.99,0.0714,4
337,JERRY,JORDON,Japan,Onomichi,1,1,12,62.88,8.99,0.1667,6
404,STANLEY,SCROGGINS,Japan,Omiya,2,1,14,59.86,8.99,0.1429,7
79,RACHEL,BARNES,Japan,Kamakura,1,1,13,53.87,9.99,0.1538,8
240,MARLENE,WELCH,Japan,Iwaki,1,1,12,51.88,8.99,0.4167,9
264,GWENDOLYN,MAY,Japan,Higashiosaka,1,1,12,51.88,8.99,0.0,9
519,RON,DELUCA,Japan,Isesaki,2,1,13,51.87,7.99,0.3846,11
396,EARL,SHANKS,Japan,Iwatsuki,1,1,12,39.88,6.99,0.0833,12
1,MARY,SMITH,Japan,Sasebo,1,1,7,31.93,9.99,0.0,13
29,ANGELA,HERNANDEZ,Japan,Shimonoseki,2,1,7,21.93,7.99,0.2857,14
573,BYRON,BOX,Kazakstan,Zhezqazghan,1,1,15,70.85,10.99,0.0667,1
76,IRENE,PRICE,Kazakstan,Pavlodar,2,1,6,12.94,6.99,0.1667,2
363,ROY,WHITING,Kenya,Nyeri,2,1,15,69.85,8.99,0.2,1
