suspicion_rank,customer_id,customer_name,customer_email,customer_country,customer_city,customer_store_id,last_payment_store_id,window_start,window_end,window_payment_count,window_payment_sum,hist_payment_count,hist_payment_sum_30d,avg_daily_payment_count_30d,avg_daily_payment_sum_30d,count_ratio_to_norm,sum_ratio_to_norm,deviation_score,last_payment_id,last_payment_date,last_payment_amount,last_payment_staff_id,last_payment_staff_name
1,29,ANGELA HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,Japan,Shimonoseki,2,2,2005-06-19 10:38:42.000,2005-06-20 10:38:42,6,18.94,1,1.99,0.0333,0.0663,180.0,285.5276,180.0,788,2005-06-20 04:16:07.000,2.99,2,Jon Stephens
2,406,NATHAN RUNYON,NATHAN.RUNYON@sakilacustomer.org,"Virgin Islands, U.S.",Charlotte Amalie,1,2,2005-06-17 19:57:46.000,2005-06-18 19:57:46,4,12.96,1,0.99,0.0333,0.033,120.0,392.7273,120.0,10977,2005-06-18 10:08:07.000,0.99,2,Jon Stephens
3,290,KRISTINA CHAMBERS,KRISTINA.CHAMBERS@sakilacustomer.org,Venezuela,Valle de la Pascua,1,2,2005-06-15 03:26:15.000,2005-06-16 03:26:15,4,21.96,1,2.99,0.0333,0.0997,120.0,220.3344,120.0,7848,2005-06-16 00:41:31.000,0.99,2,Jon Stephens
4,352,ALBERT CROUSE,ALBERT.CROUSE@sakilacustomer.org,Cameroon,Bamenda,1,1,2005-06-15 21:58:00.000,2005-06-16 21:58:00,4,15.96,1,2.99,0.0333,0.0997,120.0,160.1338,120.0,9514,2005-06-16 19:11:45.000,4.99,1,Mike Hillyer
5,161,GERALDINE PERKINS,GERALDINE.PERKINS@sakilacustomer.org,Israel,Tel Aviv-Jaffa,1,1,2005-05-27 22:33:33.000,2005-05-28 22:33:33,4,13.96,1,2.99,0.0333,0.0997,120.0,140.0669,120.0,4376,2005-05-28 15:24:54.000,2.99,1,Mike Hillyer
6,308,THOMAS GRIGSBY,THOMAS.GRIGSBY@sakilacustomer.org,United States,Kansas City,1,1,2005-06-17 13:54:20.000,2005-06-18 13:54:20,4,14.96,1,3.99,0.0333,0.133,120.0,112.4812,112.4812,8360,2005-06-18 12:08:16.000,7.99,1,Mike Hillyer
7,329,FRANK WAGGONER,FRANK.WAGGONER@sakilacustomer.org,Bangladesh,Jamalpur,2,1,2005-06-17 11:54:15.000,2005-06-18 11:54:15,4,10.96,1,2.99,0.0333,0.0997,120.0,109.9666,109.9666,8879,2005-06-18 08:27:59.000,2.99,1,Mike Hillyer
8,350,JUAN FRALEY,JUAN.FRALEY@sakilacustomer.org,Russian Federation,Teboksary,1,1,2005-08-16 23:16:46.000,2005-08-17 23:16:46,4,15.96,1,4.99,0.0333,0.1663,120.0,95.9519,95.9519,9480,2005-08-17 11:29:52.000,0.99,1,Mike Hillyer
9,478,LEWIS LYMAN,LEWIS.LYMAN@sakilacustomer.org,Israel,Ashqelon,1,2,2005-06-18 13:00:51.000,2005-06-19 13:00:51,3,20.97,1,0.99,0.0333,0.033,90.0,635.4545,90.0,12910,2005-06-19 07:33:00.000,8.99,2,Jon Stephens
10,124,SHEILA WELLS,SHEILA.WELLS@sakilacustomer.org,Turkey,Ktahya,1,2,2005-05-31 05:32:29.000,2005-06-01 05:32:29,3,14.97,1,0.99,0.0333,0.033,90.0,453.6364,90.0,3339,2005-05-31 18:13:57.000,5.99,2,Jon Stephens
11,100,ROBIN HAYES,ROBIN.HAYES@sakilacustomer.org,Russian Federation,Jelets,1,1,2005-06-15 03:23:48.000,2005-06-16 03:23:48,3,11.97,1,0.99,0.0333,0.033,90.0,362.7273,90.0,2691,2005-06-15 18:17:28.000,2.99,1,Mike Hillyer
11,153,SUZANNE NICHOLS,SUZANNE.NICHOLS@sakilacustomer.org,Indonesia,Jakarta,2,1,2005-06-19 10:20:09.000,2005-06-20 10:20:09,3,11.97,1,0.99,0.0333,0.033,90.0,362.7273,90.0,4160,2005-06-20 05:49:27.000,5.99,1,Mike Hillyer
13,129,CARRIE PORTER,CARRIE.PORTER@sakilacustomer.org,China,Liaocheng,1,2,2005-06-19 15:02:39.000,2005-06-20 15:02:39,3,9.97,1,0.99,0.0333,0.033,90.0,302.1212,90.0,3473,2005-06-19 18:58:53.000,4.99,2,Jon Stephens
14,574,JULIAN VEST,JULIAN.VEST@sakilacustomer.org,Japan,Akishima,2,1,2005-06-16 02:35:03.000,2005-06-17 02:35:03,3,7.97,1,0.99,0.0333,0.033,90.0,241.5152,90.0,15369,2005-06-16 21:20:52.000,0.99,1,Mike Hillyer
15,126,ELLEN SIMPSON,ELLEN.SIMPSON@sakilacustomer.org,Brazil,Po,1,1,2005-07-06 00:15:06.000,2005-07-07 00:15:06,3,18.97,1,2.99,0.0333,0.0997,90.0,190.3344,90.0,3392,2005-07-06 15:08:08.000,7.99,1,Mike Hillyer
16,410,CURTIS IRBY,CURTIS.IRBY@sakilacustomer.org,Canada,Richmond Hill,2,2,2005-06-17 16:33:59.000,2005-06-18 16:33:59,3,13.97,1,2.99,0.0333,0.0997,90.0,140.1672,90.0,11088,2005-06-18 16:10:46.000,5.99,2,Jon Stephens
17,86,JACQUELINE LONG,JACQUELINE.LONG@sakilacustomer.org,Thailand,Songkhla,2,2,2005-06-16 08:35:39.000,2005-06-17 08:35:39,3,8.97,1,1.99,0.0333,0.0663,90.0,135.2261,90.0,2328,2005-06-17 06:13:34.000,2.99,2,Jon Stephens
18,371,BILLY POULIN,BILLY.POULIN@sakilacustomer.org,Philippines,Cabuyao,1,1,2005-05-26 19:44:51.000,2005-05-27 19:44:51,3,17.97,1,3.99,0.0333,0.133,90.0,135.1128,90.0,10022,2005-05-27 10:18:20.000,5.99,1,Mike Hillyer
18,288,BOBBIE CRAIG,BOBBIE.CRAIG@sakilacustomer.org,Mexico,Valle de Santiago,1,2,2005-05-27 16:10:04.000,2005-05-28 16:10:04,3,17.97,1,3.99,0.0333,0.133,90.0,135.1128,90.0,7793,2005-05-28 09:26:31.000,5.99,2,Jon Stephens
20,508,MILTON HOWLAND,MILTON.HOWLAND@sakilacustomer.org,India,Vijayawada,2,1,2005-07-10 07:33:43.000,2005-07-11 07:33:43,3,21.97,1,4.99,0.0333,0.1663,90.0,132.0842,90.0,13691,2005-07-11 06:50:33.000,4.99,1,Mike Hillyer
21,598,WADE DELVALLE,WADE.DELVALLE@sakilacustomer.org,Switzerland,Lausanne,1,1,2005-07-06 07:30:41.000,2005-07-07 07:30:41,3,12.97,1,2.99,0.0333,0.0997,90.0,130.1338,90.0,16012,2005-07-06 22:53:57.000,4.99,1,Mike Hillyer
22,492,LESTER KRAUS,LESTER.KRAUS@sakilacustomer.org,India,Kanchrapara,2,2,2005-06-16 12:24:28.000,2005-06-17 12:24:28,3,11.97,1,2.99,0.0333,0.0997,90.0,120.1003,90.0,13263,2005-06-17 08:43:32.000,4.99,2,Jon Stephens
22,101,PEGGY MYERS,PEGGY.MYERS@sakilacustomer.org,Saudi Arabia,Abha,1,2,2005-07-09 06:16:03.000,2005-07-10 06:16:03,3,11.97,1,2.99,0.0333,0.0997,90.0,120.1003,90.0,2716,2005-07-09 10:49:10.000,2.99,2,Jon Stephens
24,506,LESLIE SEWARD,LESLIE.SEWARD@sakilacustomer.org,Indonesia,Pontianak,2,1,2005-05-27 10:35:27.000,2005-05-28 10:35:27,3,15.97,1,3.99,0.0333,0.133,90.0,120.0752,90.0,13629,2005-05-28 07:24:28.000,8.99,1,Mike Hillyer
24,207,GERTRUDE CASTILLO,GERTRUDE.CASTILLO@sakilacustomer.org,Greenland,Nuuk,1,1,2005-07-06 04:16:43.000,2005-07-07 04:16:43,3,15.97,1,3.99,0.0333,0.133,90.0,120.0752,90.0,5605,2005-07-07 01:10:33.000,2.99,1,Mike Hillyer
26,517,BRAD MCCURDY,BRAD.MCCURDY@sakilacustomer.org,Taiwan,Chungho,2,1,2005-06-16 09:34:45.000,2005-06-17 09:34:45,3,18.97,1,4.99,0.0333,0.1663,90.0,114.0481,90.0,13917,2005-06-17 00:31:35.000,4.99,1,Mike Hillyer
27,123,SHANNON FREEMAN,SHANNON.FREEMAN@sakilacustomer.org,India,Varanasi (Benares),2,2,2005-06-15 21:42:17.000,2005-06-16 21:42:17,3,10.97,1,2.99,0.0333,0.0997,90.0,110.0669,90.0,3315,2005-06-16 18:28:19.000,4.99,2,Jon Stephens
27,233,LILLIE KIM,LILLIE.KIM@sakilacustomer.org,Egypt,Idfu,2,2,2005-06-18 04:46:33.000,2005-06-19 04:46:33,3,10.97,1,2.99,0.0333,0.0997,90.0,110.0669,90.0,6273,2005-06-18 18:52:30.000,4.99,2,Jon Stephens
29,470,GORDON ALLARD,GORDON.ALLARD@sakilacustomer.org,Yemen,Hodeida,1,2,2005-06-15 06:13:57.000,2005-06-16 06:13:57,3,9.97,1,2.99,0.0333,0.0997,90.0,100.0334,90.0,12693,2005-06-16 05:15:12.000,7.99,2,Jon Stephens
30,239,MINNIE ROMERO,MINNIE.ROMERO@sakilacustomer.org,Indonesia,Ciomas,2,1,2005-05-27 18:39:15.000,2005-05-28 18:39:15,3,14.97,1,4.99,0.0333,0.1663,90.0,90.0,90.0,6443,2005-05-28 17:47:58.000,6.99,1,Mike Hillyer
31,177,SAMANTHA DUNCAN,SAMANTHA.DUNCAN@sakilacustomer.org,Mexico,Matamoros,2,1,2005-06-16 00:25:52.000,2005-06-17 00:25:52,3,8.97,1,2.99,0.0333,0.0997,90.0,90.0,90.0,4803,2005-06-16 16:07:27.000,0.99,1,Mike Hillyer
31,459,TOMMY COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,Iran,Qomsheh,1,2,2005-06-17 02:50:51.000,2005-06-18 02:50:51,3,8.97,1,2.99,0.0333,0.0997,90.0,90.0,90.0,12380,2005-06-17 16:40:33.000,4.99,2,Jon Stephens
33,398,ANTONIO MEEK,ANTONIO.MEEK@sakilacustomer.org,Brazil,Bag,1,1,2005-07-28 19:23:15.000,2005-07-29 19:23:15,3,16.97,1,5.99,0.0333,0.1997,90.0,84.9917,84.9917,10776,2005-07-29 07:10:14.000,7.99,1,Mike Hillyer
34,380,RUSSELL BRINSON,RUSSELL.BRINSON@sakilacustomer.org,Poland,Tychy,1,1,2005-06-17 02:03:22.000,2005-06-18 02:03:22,3,10.97,1,3.99,0.0333,0.133,90.0,82.4812,82.4812,10274,2005-06-17 12:35:58.000,3.99,1,Mike Hillyer
35,563,KEN PREWITT,KEN.PREWITT@sakilacustomer.org,Romania,Bucuresti,2,1,2005-07-07 22:52:04.000,2005-07-08 22:52:04,8,30.92,3,7.97,0.1,0.2657,80.0,116.3864,80.0,15085,2005-07-08 19:46:58.000,0.99,1,Mike Hillyer
36,29,ANGELA HERNANDEZ,ANGELA.HERNANDEZ@sakilacustomer.org,Japan,Shimonoseki,2,2,2005-06-19 11:42:20.000,2005-06-20 11:42:20,5,17.95,2,2.98,0.0667,0.0993,75.0,180.7047,75.0,788,2005-06-20 04:16:07.000,2.99,2,Jon Stephens
37,31,BRENDA WRIGHT,BRENDA.WRIGHT@sakilacustomer.org,India,Kamarhati,2,1,2005-06-18 03:57:36.000,2005-06-19 03:57:36,5,17.95,2,6.98,0.0667,0.2327,75.0,77.149,75.0,858,2005-06-19 01:20:00.000,0.99,1,Mike Hillyer
38,454,ALEX GRESHAM,ALEX.GRESHAM@sakilacustomer.org,Mexico,Uruapan,2,1,2005-06-16 09:14:58.000,2005-06-17 09:14:58,4,19.96,1,7.99,0.0333,0.2663,120.0,74.9437,74.9437,12252,2005-06-17 07:18:36.000,4.99,1,Mike Hillyer
39,569,DAVE GARDINER,DAVE.GARDINER@sakilacustomer.org,China,Leshan,2,1,2005-05-28 00:00:30.000,2005-05-29 00:00:30,3,11.97,1,4.99,0.0333,0.1663,90.0,71.9639,71.9639,15233,2005-05-28 19:22:52.000,1.99,1,Mike Hillyer
39,216,NATALIE MEYER,NATALIE.MEYER@sakilacustomer.org,Brazil,Aparecida de Goinia,1,1,2005-06-15 20:32:08.000,2005-06-16 20:32:08,3,11.97,1,4.99,0.0333,0.1663,90.0,71.9639,71.9639,5861,2005-06-16 10:37:34.000,3.99,1,Mike Hillyer
41,396,EARL SHANKS,EARL.SHANKS@sakilacustomer.org,Japan,Iwatsuki,1,2,2005-06-15 14:31:05.000,2005-06-16 14:31:05,3,13.97,1,5.99,0.0333,0.1997,90.0,69.9666,69.9666,10716,2005-06-15 16:57:58.000,6.99,2,Jon Stephens
41,339,WALTER PERRYMAN,WALTER.PERRYMAN@sakilacustomer.org,China,Xinxiang,2,2,2005-06-15 18:27:24.000,2005-06-16 18:27:24,3,13.97,1,5.99,0.0333,0.1997,90.0,69.9666,69.9666,9157,2005-06-16 07:53:47.000,4.99,2,Jon Stephens
