customer_id,customer_first_name,customer_last_name,payment_month,total_amount,payment_count,foreign_store_payment_share,largest_payment,month_amount_rank,major_categories
1,MARY,SMITH,2005-06,31.93,7,1.0,9.99,2,"Comedy (14.98), Classics (6.98)"
2,PATRICIA,JOHNSON,2005-07,75.86,14,1.0,10.99,1,"Sports (19.97), Travel (15.98), Classics (9.98)"
3,LINDA,WILLIAMS,2005-07,68.87,13,1.0,10.99,1,"Action (18.97), Games (10.98), Animation (7.99)"
5,ELIZABETH,BROWN,2005-07,59.84,16,1.0,8.99,1,"New (14.97), Classics (14.96)"
6,JENNIFER,DAVIS,2005-07,26.91,9,1.0,7.99,2,"New (7.99), Music (5.99)"
6,JENNIFER,DAVIS,2005-08,48.88,12,1.0,7.99,1,"Sports (11.98), Drama (10.98), Comedy (6.99)"
7,MARIA,MILLER,2005-07,59.89,11,1.0,8.99,1,"Horror (16.98), Sports (16.97)"
8,SUSAN,WILSON,2005-07,35.88,12,1.0,5.99,2,"Classics (8.97), Drama (7.97), Foreign (4.99)"
10,DOROTHY,TAYLOR,2005-06,15.95,5,1.0,4.99,3,Games (9.97)
10,DOROTHY,TAYLOR,2005-07,45.89,11,1.0,7.99,1,"Sports (12.98), Action (7.98), Foreign (7.98)"
11,LISA,ANDERSON,2005-07,53.89,11,1.0,9.99,1,"Games (10.97), Drama (9.99), Children (9.98)"
13,KAREN,JACKSON,2005-07,61.87,13,1.0,11.99,1,"Drama (12.98), Sci-Fi (12.98), Animation (9.99)"
14,BETTY,WHITE,2005-07,50.88,12,1.0,7.99,1,"Drama (8.98), Games (7.99), Action (6.99), Children (4.99)"
15,HELEN,HARRIS,2005-07,40.91,9,1.0,7.99,2,"Comedy (8.98), Classics (8.97), Horror (7.99)"
15,HELEN,HARRIS,2005-08,79.82,18,1.0,8.99,1,"Travel (13.97), Children (12.98), Sports (12.97)"
20,SHARON,ROBINSON,2005-07,42.9,10,1.0,6.99,2,"New (11.98), Documentary (9.98)"
21,MICHELLE,CLARK,2005-06,31.95,5,1.0,10.99,2,Foreign (15.98)
21,MICHELLE,CLARK,2005-08,79.83,17,1.0,9.99,1,"Documentary (16.97), Sci-Fi (15.96), Horror (9.99)"
22,LAURA,RODRIGUEZ,2005-08,54.9,10,1.0,9.99,1,"Foreign (17.98), Sports (11.98)"
23,SARAH,LEWIS,2005-07,60.87,13,1.0,9.99,1,"Sci-Fi (19.96), Animation (8.98), Classics (7.99)"
25,DEBORAH,WALKER,2005-06,33.94,6,1.0,8.99,2,"Games (11.98), Sci-Fi (6.99)"
26,JESSICA,HALL,2005-06,41.93,7,1.0,9.99,3,"Sci-Fi (9.99), Drama (6.99), Foreign (5.99)"
27,SHIRLEY,ALLEN,2005-06,30.92,8,1.0,4.99,3,"Comedy (4.99), Documentary (4.99), Sports (4.99), Foreign (4.98)"
28,CYNTHIA,YOUNG,2005-07,51.86,14,1.0,9.99,1,"Music (9.99), Action (7.98), Travel (7.97)"
29,ANGELA,HERNANDEZ,2005-06,21.93,7,1.0,7.99,3,Children (13.97)
29,ANGELA,HERNANDEZ,2005-07,46.89,11,1.0,10.99,2,"Comedy (10.99), New (6.99), Sports (6.99)"
30,MELISSA,KING,2005-07,73.81,19,1.0,9.99,1,"Drama (12.97), Comedy (11.97), Games (9.99), Family (7.98)"
32,AMY,LOPEZ,2005-07,58.85,15,1.0,9.99,1,"Comedy (12.97), Games (9.99), Family (8.97)"
35,VIRGINIA,GREEN,2005-07,68.84,16,1.0,6.99,1,"Sports (13.97), Action (10.97), Drama (6.99), Animation (5.99)"
36,KATHLEEN,ADAMS,2005-07,40.87,13,1.0,6.99,2,"Music (14.97), Family (6.99)"
