customer_id,customer_name,country_name,pay_month,monthly_amount,payment_count,prev_avg_monthly_amount,prev_avg_payment_count,personal_amount_ratio,personal_count_ratio,country_avg_monthly_amount,country_amount_deviation,country_amount_ratio,share_multi_staff_same_day,share_multi_store_same_day,share_multi_staff_or_store_same_day,country_month_amount_rank,country_month_customer_count,has_multi_staff_24h_series,max_payments_in_24h_series
441,MARIO CHEATHAM,Algeria,2005-07,66.83,17,7.49,1.5,8.93,11.33,56.87,9.96,1.18,0.5294,0.5294,0.5294,1,3,1,5
69,JUDY GRAY,Algeria,2005-07,47.89,11,7.48,2.0,6.4,5.5,56.87,-8.98,0.84,0.3636,0.3636,0.3636,3,3,1,3
528,CLAUDE HERZOG,Angola,2005-07,56.89,11,12.97,3.5,4.39,3.14,41.9,14.99,1.36,0.1818,0.1818,0.1818,1,2,1,3
381,BOBBY BOUDREAU,Anguilla,2005-07,37.86,14,11.96,4.0,3.17,3.5,37.86,0.0,1.0,0.1429,0.1429,0.1429,1,1,1,3
322,JASON MORRISSEY,Argentina,2005-06,40.93,7,5.98,2.0,6.84,3.5,18.29,22.64,2.24,0.2857,0.2857,0.2857,1,12,0,0
585,PERRY SWAFFORD,Argentina,2005-07,70.87,13,13.96,4.0,5.08,3.25,49.19,21.68,1.44,0.3846,0.3846,0.3846,1,13,1,3
89,JULIA FLORES,Argentina,2005-07,68.83,17,20.46,4.0,3.36,4.25,49.19,19.64,1.4,0.5294,0.5294,0.5294,2,13,1,4
219,WILLIE HOWELL,Argentina,2005-07,64.85,15,2.99,1.5,21.73,10.0,49.19,15.66,1.32,0.3333,0.3333,0.3333,3,13,1,3
331,ERIC ROBERT,Argentina,2005-07,63.88,12,8.48,2.5,7.54,4.8,49.19,14.69,1.3,0.6667,0.6667,0.6667,4,13,1,4
560,JORDAN ARCHULETA,Argentina,2005-07,59.86,14,4.99,1.5,12.01,9.33,49.19,10.67,1.22,0.5,0.5,0.5,6,13,1,4
530,DARRYL ASHCRAFT,Argentina,2005-07,30.91,9,3.48,2.0,8.88,4.5,49.19,-18.28,0.63,0.3333,0.3333,0.3333,10,13,1,3
445,MICHEAL FORMAN,Argentina,2005-07,29.9,10,5.98,2.0,5.0,5.0,49.19,-19.29,0.61,0.2,0.2,0.2,11,13,1,3
41,STEPHANIE MITCHELL,Armenia,2005-07,70.85,15,12.98,2.0,5.46,7.5,70.85,0.0,1.0,0.4667,0.4667,0.4667,1,1,1,4
