customer_id,first_name,last_name,country_name,city_name,store_id,anomaly_month,month_payment_amount,month_payment_count,avg_amount_prev_3_months,staff_diversity_share,country_month_amount_rank
381,BOBBY,BOUDREAU,Anguilla,South Hill,2,2005-08,44.87,13,20.59,0.1538,1
445,MICHEAL,FORMAN,Argentina,Escobar,1,2005-08,66.86,14,11.96,0.1429,1
560,JORDAN,ARCHULETA,Argentina,Avellaneda,1,2005-08,56.89,11,23.28,0.1818,2
405,LEONARD,SCHOFIELD,Argentina,Tandil,1,2005-08,43.88,12,21.6,0.1667,3
266,NORA,HERRERA,Austria,Salzburg,2,2005-08,71.83,17,15.63,0.1176,1
21,MICHELLE,CLARK,Bangladesh,Tangail,1,2005-08,79.83,17,24.28,0.1176,1
527,CORY,MEEHAN,Belarus,Mogiljov,1,2005-08,43.9,10,11.62,0.2,2
342,HAROLD,MARTINO,Brazil,Boa Vista,1,2005-08,69.83,17,20.28,0.1176,1
362,NICHOLAS,BARFIELD,Brazil,Belm,1,2005-08,63.89,11,27.26,0.1818,2
206,TERRI,VASQUEZ,Brazil,Blumenau,1,2005-08,53.89,11,24.28,0.1818,4
126,ELLEN,SIMPSON,Brazil,Po,1,2005-08,50.89,11,22.28,0.1818,5
77,JANE,BENNETT,Brazil,Araatuba,2,2005-08,47.89,11,17.61,0.1818,7
544,CODY,NOLEN,Brazil,So Bernardo do Campo,2,2005-08,45.9,10,17.63,0.2,8
374,JEREMY,HURTADO,Brazil,Vitria de Santo Anto,2,2005-08,44.9,10,18.61,0.2,10
540,TYRONE,ASHER,Bulgaria,Ruse,1,2005-08,53.9,10,19.62,0.2,1
361,LAWRENCE,LAWTON,Cameroon,Yaound,2,2005-08,42.87,13,17.95,0.1538,1
410,CURTIS,IRBY,Canada,Richmond Hill,2,2005-08,86.83,17,25.93,0.1176,1
436,TROY,QUIGLEY,Canada,Vancouver,1,2005-08,63.86,14,26.95,0.1429,2
463,DARRELL,POWER,Canada,Halifax,2,2005-08,42.9,10,16.28,0.2,3
535,JAVIER,ELROD,Chad,NDjamna,1,2005-08,63.85,15,23.94,0.1333,1
45,JANET,PHILLIPS,Chile,Antofagasta,1,2005-08,68.88,12,19.62,0.1667,1
515,ANDRE,RAPP,Chile,Coquimbo,1,2005-08,53.88,12,24.28,0.1667,2
569,DAVE,GARDINER,China,Leshan,2,2005-08,75.82,18,19.62,0.1111,1
197,SUE,PETERS,China,Changzhou,2,2005-08,65.84,16,29.59,0.125,2
550,GUY,BROWNLEE,China,Zhoushan,2,2005-08,63.87,13,30.94,0.1538,3
211,STACEY,MONTGOMERY,China,Fuyu,1,2005-08,62.86,14,27.94,0.1429,4
242,GLENDA,FRAZIER,China,Qinhuangdao,1,2005-08,59.86,14,26.94,0.1429,5
422,MELVIN,ELLINGTON,China,Laohekou,1,2005-08,56.87,13,12.63,0.1538,6
389,ALAN,KAHN,China,Emeishan,1,2005-08,54.89,11,23.28,0.1818,7
90,RUBY,WASHINGTON,China,Meixian,2,2005-08,49.87,13,20.28,0.1538,11
466,LEO,EBERT,China,Dongying,1,2005-08,48.9,10,18.62,0.2,12
93,PHYLLIS,FOSTER,China,Zalantun,1,2005-08,48.88,12,14.3,0.1667,13
138,HAZEL,WARREN,China,Hohhot,1,2005-08,48.86,14,20.6,0.1429,15
37,PAMELA,BAKER,China,Nanyang,1,2005-08,43.88,12,17.3,0.1667,20
521,ROLAND,SOUTH,China,Yingkou,2,2005-08,41.89,11,11.3,0.1818,25
564,BOB,PFEIFFER,China,Xintai,2,2005-08,41.88,12,16.63,0.1667,26
151,MEGAN,PALMER,China,Laiwu,2,2005-08,37.9,10,18.28,0.2,30
514,FRANKLIN,TROUTMAN,China,Zaoyang,2,2005-08,36.89,11,12.63,0.1818,33
460,LEON,BOSTIC,Colombia,Florencia,1,2005-08,54.88,12,18.29,0.1667,1
375,AARON,SELBY,"Congo, The Democratic Republic of the",Mwene-Ditu,2,2005-08,51.88,12,19.63,0.1667,1
387,JESSE,SCHILLING,"Congo, The Democratic Republic of the",Lubumbashi,2,2005-08,42.89,11,19.62,0.1818,2
258,MYRTLE,FLEMING,Dominican Republic,Santiago de los Caballeros,1,2005-08,52.89,11,19.29,0.1818,1
418,JEFF,EAST,Dominican Republic,San Felipe de Puerto Plata,2,2005-08,52.83,17,18.29,0.1176,2
119,SHERRY,MARSHALL,Egypt,Shubra al-Khayma,1,2005-08,77.82,18,25.28,0.1111,1
