customer_id,customer_name,country,city,store_id,month,payment_sum,payment_count,distinct_staff_count,late_return_payment_share,store_month_amount_rank
322,JASON MORRISSEY,Argentina,Baha Blanca,1,2005-06-01,40.93,7,2,0.5714,2
236,MARCIA DEAN,Philippines,Tanza,1,2005-06-01,37.92,8,2,1.0,6
403,MIKE WAY,India,Valparai,1,2005-06-01,35.94,6,2,0.6667,8
213,GINA WILLIAMSON,Yemen,Taizz,1,2005-06-01,35.91,9,2,0.2222,11
338,DENNIS GILMAN,South Africa,Paarl,1,2005-06-01,34.93,7,2,0.5714,12
260,CHRISTY VARGAS,China,Datong,1,2005-06-01,34.92,8,2,0.75,13
25,DEBORAH WALKER,Pakistan,Shikarpur,1,2005-06-01,33.94,6,2,0.3333,14
149,VALERIE BLACK,United States,Brockton,1,2005-06-01,32.93,7,2,0.5714,15
295,DAISY BATES,Russian Federation,Kolpino,1,2005-06-01,32.91,9,2,0.7778,16
1,MARY SMITH,Japan,Sasebo,1,2005-06-01,31.93,7,2,0.4286,20
343,DOUGLAS GRAF,Mexico,Mexicali,1,2005-06-01,30.93,7,2,0.4286,25
155,GAIL KNIGHT,Switzerland,Bern,1,2005-06-01,27.95,5,2,0.6,32
3,LINDA WILLIAMS,Greece,Athenai,1,2005-06-01,25.96,4,2,1.0,41
309,CHRISTOPHER GRECO,Italy,Brescia,1,2005-06-01,25.96,4,2,0.75,41
87,WANDA PATTERSON,Colombia,Sincelejo,1,2005-06-01,25.95,5,2,0.2,44
290,KRISTINA CHAMBERS,Venezuela,Valle de la Pascua,1,2005-06-01,25.95,5,2,0.6,49
98,LILLIAN GRIFFIN,United Arab Emirates,al-Ayn,1,2005-06-01,25.94,6,2,0.5,50
122,THELMA MURRAY,Peru,Lima,1,2005-06-01,25.93,7,2,0.7143,52
144,CLARA SHAW,Belarus,Molodetno,1,2005-06-01,22.94,6,2,0.3333,74
553,MAX PITT,Yugoslavia,Novi Sad,1,2005-06-01,19.97,3,2,1.0,96
52,JULIE SANCHEZ,Spain,A Corua (La Corua),1,2005-06-01,13.96,4,2,0.0,168
402,LUIS YANEZ,France,Brest,1,2005-06-01,12.97,3,1,0.0,183
454,ALEX GRESHAM,Mexico,Uruapan,2,2005-06-01,52.9,10,2,0.5,1
526,KARL SEAL,United States,Cape Coral,2,2005-06-01,41.91,9,2,0.6667,4
550,GUY BROWNLEE,China,Zhoushan,2,2005-06-01,39.94,6,2,0.6667,5
193,KATIE ELLIOTT,Kenya,Kisumu,2,2005-06-01,35.94,6,2,0.5,6
431,JOEL FRANCISCO,Bolivia,Sucre,2,2005-06-01,35.93,7,2,0.5714,7
576,MORRIS MCCARTER,Taiwan,Fengshan,2,2005-06-01,33.93,7,2,0.5714,11
491,RICK MATTOX,Egypt,Mit Ghamr,2,2005-06-01,31.93,7,2,0.4286,19
327,LARRY THRASHER,Turkey,Adana,2,2005-06-01,30.94,6,2,0.6667,25
27,SHIRLEY ALLEN,Philippines,Davao,2,2005-06-01,30.92,8,2,0.5,27
120,SYLVIA ORTIZ,Colombia,Dos Quebradas,2,2005-06-01,29.94,6,2,0.3333,30
277,OLGA JIMENEZ,Nigeria,Ogbomosho,2,2005-06-01,28.93,7,2,0.2857,32
287,BECKY MILES,India,Tambaram,2,2005-06-01,27.96,4,2,0.75,34
113,CINDY FISHER,Venezuela,Cuman,2,2005-06-01,27.94,6,2,0.5,37
86,JACQUELINE LONG,Thailand,Songkhla,2,2005-06-01,24.93,7,2,0.1429,50
516,ELMER NOE,Cambodia,Battambang,2,2005-06-01,22.94,6,2,0.5,62
262,PATSY DAVIDSON,Ecuador,Portoviejo,2,2005-06-01,20.96,4,2,0.75,76
230,JOY GEORGE,Romania,Botosani,2,2005-06-01,20.94,6,2,0.3333,79
137,RHONDA KENNEDY,Netherlands,Apeldoorn,2,2005-06-01,19.96,4,2,0.75,81
360,RALPH MADRIGAL,Puerto Rico,Arecibo,2,2005-06-01,18.96,4,1,0.75,94
279,DIANNE SHELTON,Iran,Tabriz,2,2005-06-01,16.95,5,1,0.0,114
88,BONNIE HUGHES,South Korea,Cheju,2,2005-06-01,13.97,3,1,0.3333,153
470,GORDON ALLARD,Yemen,Hodeida,1,2005-07-01,96.83,17,2,0.5294,2
144,CLARA SHAW,Belarus,Molodetno,1,2005-07-01,93.82,18,2,0.7222,3
459,TOMMY COLLAZO,Iran,Qomsheh,1,2005-07-01,89.82,18,2,0.5,4
295,DAISY BATES,Russian Federation,Kolpino,1,2005-07-01,87.82,18,2,0.8333,5
595,TERRENCE GUNDERSON,China,Jinzhou,1,2005-07-01,86.81,19,2,0.4737,6
102,CRYSTAL FORD,Israel,Ashdod,1,2005-07-01,84.79,21,2,0.6667,7
366,BRANDON HUEY,Turkey,Balikesir,1,2005-07-01,82.81,19,2,0.7368,9
225,ARLENE HARVEY,India,Ambattur,1,2005-07-01,80.83,17,2,0.5882,10
479,ZACHARY HITE,United States,Akron,1,2005-07-01,79.85,15,2,0.6,12
332,STEPHEN QUALLS,Bangladesh,Dhaka,1,2005-07-01,78.83,17,2,0.5882,13
484,ROBERTO VU,China,Yinchuan,1,2005-07-01,77.85,15,2,0.7333,14
309,CHRISTOPHER GRECO,Italy,Brescia,1,2005-07-01,76.84,16,2,0.375,15
286,VELMA LUCAS,Nigeria,Effon-Alaiye,1,2005-07-01,76.83,17,2,0.5882,16
2,PATRICIA JOHNSON,United States,San Bernardino,1,2005-07-01,75.86,14,2,0.7143,17
591,KENT ARSENAULT,Brazil,Juiz de Fora,1,2005-07-01,75.85,15,2,0.7333,18
502,BRETT CORNWELL,India,Siliguri (Shiliguri),1,2005-07-01,73.85,15,2,0.4667,19
30,MELISSA KING,Taiwan,Lungtan,1,2005-07-01,73.81,19,2,0.4211,21
236,MARCIA DEAN,Philippines,Tanza,1,2005-07-01,73.8,20,2,0.45,22
245,COURTNEY DAY,South Korea,Uijongbu,1,2005-07-01,72.84,16,2,0.625,23
585,PERRY SWAFFORD,Argentina,Quilmes,1,2005-07-01,70.87,13,2,0.4615,25
482,MAURICE CRAWLEY,Mexico,Coatzacoalcos,1,2005-07-01,69.88,12,2,0.5833,32
3,LINDA WILLIAMS,Greece,Athenai,1,2005-07-01,68.87,13,2,0.6154,36
285,MIRIAM MCKINNEY,Japan,Otsu,1,2005-07-01,68.87,13,2,0.6923,37
553,MAX PITT,Yugoslavia,Novi Sad,1,2005-07-01,68.84,16,2,0.3125,40
441,MARIO CHEATHAM,Algeria,Batna,1,2005-07-01,66.83,17,2,0.4118,46
125,ETHEL WEBB,South Africa,Boksburg,1,2005-07-01,65.84,16,2,0.5,50
82,KATHRYN COLEMAN,Ukraine,Simferopol,1,2005-07-01,64.89,11,2,0.6364,53
490,SAM MCDUFFIE,Colombia,Sogamoso,1,2005-07-01,64.86,14,2,0.5,54
598,WADE DELVALLE,Switzerland,Lausanne,1,2005-07-01,64.84,16,2,0.625,57
122,THELMA MURRAY,Peru,Lima,1,2005-07-01,61.85,15,2,0.4,68
173,AUDREY RAY,Austria,Graz,1,2005-07-01,57.86,14,2,0.5,91
528,CLAUDE HERZOG,Angola,Benguela,1,2005-07-01,56.89,11,2,0.8182,94
539,MATHEW BOLIN,Venezuela,Valencia,1,2005-07-01,55.88,12,2,0.6667,99
101,PEGGY MYERS,Saudi Arabia,Abha,1,2005-07-01,53.88,12,2,0.6667,111
306,CHARLES KOWALSKI,Malaysia,Sungai Petani,1,2005-07-01,53.86,14,2,0.4286,114
402,LUIS YANEZ,France,Brest,1,2005-07-01,52.88,12,2,0.75,115
436,TROY QUIGLEY,Canada,Vancouver,1,2005-07-01,52.88,12,2,0.5,117
524,JARED ELY,Indonesia,Purwakarta,1,2005-07-01,48.92,8,2,0.625,145
52,JULIE SANCHEZ,Spain,A Corua (La Corua),1,2005-07-01,48.88,12,2,0.75,150
415,GLENN PULLEN,Netherlands,Amersfoort,1,2005-07-01,40.89,11,2,0.4545,216
45,JANET PHILLIPS,Chile,Antofagasta,1,2005-07-01,37.91,9,2,0.4444,236
