month,customer_full_name,customer_country,payment_count,payment_amount,deviation_from_historical_avg,distinct_staff_count,distinct_store_count,customer_rank_in_month
2005-06,ALEX GRESHAM,Mexico,10,52.9,44.91,2,2,1
2005-06,JESSICA HALL,Holy See (Vatican City State),7,41.93,35.95,2,2,2
2005-06,JASON MORRISSEY,Argentina,7,40.93,34.95,2,2,3
2005-06,GINA WILLIAMSON,Yemen,9,35.91,34.92,2,2,4
2005-06,DENNIS GILMAN,South Africa,7,34.93,33.94,2,2,5
2005-06,JOEL FRANCISCO,Bolivia,7,35.93,32.94,2,2,6
2005-06,KATIE ELLIOTT,Kenya,6,35.94,31.96,2,2,7
2005-06,MIKE WAY,India,6,35.94,31.96,2,2,7
2005-06,GUY BROWNLEE,China,6,39.94,31.95,2,2,9
2005-06,CLAUDIA FULLER,Kuwait,8,36.92,31.93,2,2,10
2005-06,MORRIS MCCARTER,Taiwan,7,33.93,29.95,2,2,11
2005-06,MARCIA DEAN,Philippines,8,37.92,28.95,2,2,12
2005-06,KARL SEAL,United States,9,41.91,28.94,2,2,13
2005-06,DAISY BATES,Russian Federation,9,32.91,28.92,2,2,14
2005-06,RICK MATTOX,Egypt,7,31.93,27.95,2,2,15
2005-06,MARY SMITH,Japan,7,31.93,27.95,2,2,16
2005-06,VALERIE BLACK,United States,7,32.93,27.94,2,2,17
2005-06,SHIRLEY ALLEN,Philippines,8,30.92,27.93,2,2,18
2005-06,SETH HANNON,Bahrain,5,30.95,26.96,2,2,19
2005-06,DANIEL CABRAL,Brazil,6,27.94,26.95,2,2,20
2005-06,CINDY FISHER,Venezuela,6,27.94,25.96,2,2,21
2005-06,LEO EBERT,China,5,28.95,25.96,2,2,22
2005-06,NATHAN RUNYON,"Virgin Islands, U.S.",7,26.93,25.94,2,2,23
2005-06,CHRISTY VARGAS,China,8,34.92,25.93,2,2,24
2005-06,GAIL KNIGHT,Switzerland,5,27.95,24.96,2,2,25
2005-06,IVAN CROMWELL,Mexico,7,32.93,24.94,2,2,26
2005-06,JANICE WARD,Sweden,7,29.93,24.94,2,2,26
2005-06,TAMMY SANDERS,Taiwan,5,29.95,23.97,2,2,28
2005-06,LARRY THRASHER,Turkey,6,30.94,23.95,2,2,29
2005-06,IAN STILL,United States,9,33.91,23.93,2,2,30
2005-06,RUSSELL BRINSON,Poland,8,27.92,23.93,2,2,31
2005-06,MICHELLE CLARK,Bangladesh,5,31.95,22.98,2,2,32
2005-06,ERNEST STEPP,China,7,34.93,22.97,2,2,33
2005-06,DEBORAH WALKER,Pakistan,6,33.94,22.96,2,2,34
2005-06,HOLLY FOX,India,6,25.94,22.96,2,2,34
2005-06,KRISTINA CHAMBERS,Venezuela,5,25.95,22.96,2,2,36
2005-06,DOUGLAS GRAF,Mexico,7,30.93,22.95,2,2,37
2005-06,DOLORES WAGNER,Malaysia,7,32.93,22.94,2,2,38
2005-06,EDDIE TOMLIN,Philippines,7,28.93,22.94,2,2,38
2005-06,JACQUELINE LONG,Thailand,7,24.93,22.94,2,2,40
2005-06,TOMMY COLLAZO,Iran,7,25.93,22.94,2,2,41
2005-06,BILL GAVIN,United States,9,30.91,22.92,2,2,42
2005-06,CATHERINE CAMPBELL,Russian Federation,7,32.93,21.96,2,2,43
