customer_id,customer_name,country_name,city_name,payment_month,monthly_payment_sum,monthly_payment_count,personal_avg_monthly_sum,deviation_from_personal_avg,country_avg_monthly_sum,country_avg_monthly_payment_count,country_rank,country_customer_count,staff_id,top_staff_name,staff_email,top_staff_payment_sum,top_staff_payment_count
441,MARIO CHEATHAM,Algeria,Batna,2005-07,66.83,17,26.93,39.9,56.87,13.33,1,3,2,Jon Stephens,Jon.Stephens@sakilastaff.com,34.9,10
528,CLAUDE HERZOG,Angola,Benguela,2005-07,56.89,11,27.94,28.95,41.9,10.0,1,2,2,Jon Stephens,Jon.Stephens@sakilastaff.com,33.94,6
89,JULIA FLORES,Argentina,La Plata,2005-07,68.83,17,33.67,35.16,49.19,12.15,2,13,2,Jon Stephens,Jon.Stephens@sakilastaff.com,46.89,11
590,SETH HANNON,Bahrain,al-Manama,2005-07,56.86,14,27.44,29.42,56.86,14.0,1,1,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,32.92,8
455,JON WILES,Bolivia,El Alto,2005-07,45.91,9,21.94,23.97,31.93,7.0,1,2,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,23.96,4
92,TINA SIMMONS,Brazil,Goinia,2005-07,78.85,15,33.43,45.42,49.85,11.39,2,28,2,Jon Stephens,Jon.Stephens@sakilastaff.com,45.93,7
91,LOIS BUTLER,Brunei,Bandar Seri Begawan,2005-07,59.81,19,27.17,32.65,59.81,19.0,1,1,2,Jon Stephens,Jon.Stephens@sakilastaff.com,30.88,12
228,ALLISON STANLEY,Cambodia,Phnom Penh,2005-07,54.85,15,22.19,32.66,50.88,12.0,1,2,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,31.91,9
595,TERRENCE GUNDERSON,China,Jinzhou,2005-07,86.81,19,29.43,57.39,44.91,11.23,1,53,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,58.88,12
484,ROBERTO VU,China,Yinchuan,2005-07,77.85,15,34.93,42.93,44.91,11.23,2,53,2,Jon Stephens,Jon.Stephens@sakilastaff.com,56.9,10
168,REGINA BERRY,China,Jinchang,2005-07,70.83,17,33.67,37.16,44.91,11.23,3,53,2,Jon Stephens,Jon.Stephens@sakilastaff.com,41.9,10
302,MICHAEL SILVERMAN,China,Tiefa,2005-07,67.85,15,31.93,35.92,44.91,11.23,4,53,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,34.94,6
594,EDUARDO HIATT,China,Jining,2005-07,65.86,14,32.68,33.18,44.91,11.23,5,53,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,47.91,9
485,CLYDE TOBIAS,China,Shaoguan,2005-07,63.82,18,28.93,34.89,44.91,11.23,6,53,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,32.9,10
490,SAM MCDUFFIE,Colombia,Sogamoso,2005-07,64.86,14,29.44,35.42,52.72,11.83,1,6,2,Jon Stephens,Jon.Stephens@sakilastaff.com,33.93,7
265,JENNIE TERRY,Czech Republic,Olomouc,2005-07,70.84,16,33.43,37.41,70.84,16.0,1,1,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,38.91,9
494,RAMON CHOATE,Ecuador,Robamba,2005-07,80.82,18,35.17,45.65,55.54,13.0,1,3,2,Jon Stephens,Jon.Stephens@sakilastaff.com,64.87,13
35,VIRGINIA GREEN,France,Toulouse,2005-07,68.84,16,32.42,36.42,49.89,11.25,1,4,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,55.89,11
3,LINDA WILLIAMS,Greece,Athenai,2005-07,68.87,13,33.94,34.94,45.41,9.5,1,2,2,Jon Stephens,Jon.Stephens@sakilastaff.com,39.94,6
209,TONYA CHAPMAN,India,Bhilwara,2005-07,82.83,17,40.42,42.41,45.74,10.85,1,60,2,Jon Stephens,Jon.Stephens@sakilastaff.com,48.91,9
225,ARLENE HARVEY,India,Ambattur,2005-07,80.83,17,30.19,50.65,45.74,10.85,2,60,1,Mike Hillyer,Mike.Hillyer@sakilastaff.com,50.91,9
