customer_id,first_name,last_name,payment_count,total_amount,average_check,large_payment_share,suspicious_customer
148,ELEANOR,HUNT,22,100.78,4.58,0.1818,Y
470,GORDON,ALLARD,17,96.83,5.7,0.4118,Y
522,ARNOLD,HAVENS,18,96.82,5.38,0.4444,Y
137,RHONDA,KENNEDY,19,96.81,5.1,0.3684,Y
144,CLARA,SHAW,18,93.82,5.21,0.5,Y
459,TOMMY,COLLAZO,18,89.82,4.99,0.3333,Y
257,MARSHA,DOUGLAS,18,88.82,4.93,0.3333,Y
295,DAISY,BATES,18,87.82,4.88,0.2778,Y
526,KARL,SEAL,19,86.81,4.57,0.3158,Y
595,TERRENCE,GUNDERSON,19,86.81,4.57,0.2105,Y
178,MARION,SNYDER,18,85.82,4.77,0.2778,Y
102,CRYSTAL,FORD,21,84.79,4.04,0.3333,Y
346,ARTHUR,SIMPKINS,15,83.85,5.59,0.4,Y
209,TONYA,CHAPMAN,17,82.83,4.87,0.4118,Y
366,BRANDON,HUEY,19,82.81,4.36,0.3158,Y
50,DIANE,COLLINS,17,80.83,4.75,0.3529,Y
225,ARLENE,HARVEY,17,80.83,4.75,0.2353,Y
469,WESLEY,BULL,18,80.82,4.49,0.2222,Y
494,RAMON,CHOATE,18,80.82,4.49,0.2778,Y
479,ZACHARY,HITE,15,79.85,5.32,0.5333,Y
92,TINA,SIMMONS,15,78.85,5.26,0.4,Y
332,STEPHEN,QUALLS,17,78.83,4.64,0.4118,Y
484,ROBERTO,VU,15,77.85,5.19,0.4667,Y
372,STEVE,MACKENZIE,16,77.84,4.87,0.375,Y
309,CHRISTOPHER,GRECO,16,76.84,4.8,0.25,Y
286,VELMA,LUCAS,17,76.83,4.52,0.2941,Y
2,PATRICIA,JOHNSON,14,75.86,5.42,0.5714,Y
591,KENT,ARSENAULT,15,75.85,5.06,0.4,Y
508,MILTON,HOWLAND,14,74.86,5.35,0.4286,Y
292,MISTY,LAMBERT,16,74.84,4.68,0.3125,Y
462,WARREN,SHERROD,16,74.84,4.68,0.3125,Y
39,DEBRA,NELSON,15,73.85,4.92,0.4,Y
502,BRETT,CORNWELL,15,73.85,4.92,0.2667,Y
210,ELLA,OLIVER,18,73.82,4.1,0.2778,Y
30,MELISSA,KING,19,73.81,3.88,0.1579,Y
236,MARCIA,DEAN,20,73.8,3.69,0.1,Y
181,ANA,BRADLEY,12,72.88,6.07,0.5,Y
245,COURTNEY,DAY,16,72.84,4.55,0.3125,Y
475,PEDRO,CHESTNUT,15,71.85,4.79,0.4,Y
446,THEODORE,CULP,17,71.83,4.23,0.2353,Y
566,CASEY,MENA,18,71.82,3.99,0.1667,Y
585,PERRY,SWAFFORD,13,70.87,5.45,0.3077,Y
