customer_id,customer_name,payment_date,customer_country,payment_count,daily_payment_amount,avg_prev_30_day_amount,staff_count,store_count,store_countries,suspicion_rank
441,MARIO CHEATHAM,2005-07-29,Algeria,5,18.95,5.32,2,2,"Australia,Canada",1
176,JUNE CARROLL,2005-06-18,Algeria,4,16.96,7.15,2,2,"Canada,Australia",2
331,ERIC ROBERT,2005-07-06,Argentina,3,18.97,6.49,2,2,"Canada,Australia",1
560,JORDAN ARCHULETA,2005-08-01,Argentina,3,17.97,5.99,2,2,"Australia,Canada",2
331,ERIC ROBERT,2005-07-07,Argentina,3,21.97,10.65,2,2,"Canada,Australia",3
560,JORDAN ARCHULETA,2005-07-07,Argentina,3,13.97,3.99,2,2,"Canada,Australia",4
530,DARRYL ASHCRAFT,2005-07-27,Argentina,3,10.97,4.49,2,2,"Canada,Australia",5
41,STEPHANIE MITCHELL,2005-07-28,Armenia,4,17.96,8.23,2,2,"Australia,Canada",1
266,NORA HERRERA,2005-08-02,Austria,3,16.97,4.32,2,2,"Australia,Canada",1
266,NORA HERRERA,2005-08-18,Austria,4,17.96,6.58,2,2,"Canada,Australia",2
173,AUDREY RAY,2005-08-23,Austria,3,12.97,6.24,2,2,"Australia,Canada",3
173,AUDREY RAY,2005-07-10,Austria,3,9.97,4.84,2,2,"Canada,Australia",4
21,MICHELLE CLARK,2005-08-20,Bangladesh,4,32.96,5.58,2,2,"Canada,Australia",1
21,MICHELLE CLARK,2005-06-18,Bangladesh,3,15.97,2.99,2,2,"Australia,Canada",2
21,MICHELLE CLARK,2005-08-19,Bangladesh,3,12.97,4.76,2,2,"Canada,Australia",3
329,FRANK WAGGONER,2005-06-17,Bangladesh,3,7.97,2.99,2,2,"Canada,Australia",4
527,CORY MEEHAN,2005-07-11,Belarus,3,11.97,1.99,2,2,"Australia,Canada",1
362,NICHOLAS BARFIELD,2005-08-21,Brazil,4,25.96,7.48,2,2,"Australia,Canada",1
374,JEREMY HURTADO,2005-08-22,Brazil,4,20.96,4.09,2,2,"Australia,Canada",2
126,ELLEN SIMPSON,2005-07-06,Brazil,3,18.97,2.99,2,2,"Australia,Canada",3
92,TINA SIMMONS,2005-07-10,Brazil,4,23.96,7.99,2,2,"Australia,Canada",4
342,HAROLD MARTINO,2005-07-12,Brazil,3,19.97,5.24,2,2,"Australia,Canada",5
254,MAXINE SILVA,2005-07-10,Brazil,4,19.96,5.78,2,2,"Canada,Australia",6
354,JUSTIN NGO,2005-07-29,Brazil,3,18.97,4.98,2,2,"Australia,Canada",7
544,CODY NOLEN,2005-08-21,Brazil,3,18.97,5.16,2,2,"Australia,Canada",8
206,TERRI VASQUEZ,2005-08-19,Brazil,3,18.97,5.49,2,2,"Canada,Australia",9
591,KENT ARSENAULT,2005-07-27,Brazil,4,20.96,8.24,2,2,"Canada,Australia",10
591,KENT ARSENAULT,2005-08-18,Brazil,4,21.96,9.58,2,2,"Australia,Canada",11
39,DEBRA NELSON,2005-07-29,Brazil,4,19.96,8.19,2,2,"Australia,Canada",12
39,DEBRA NELSON,2005-08-01,Brazil,4,20.96,9.23,2,2,"Canada,Australia",13
374,JEREMY HURTADO,2005-07-10,Brazil,3,13.97,3.16,2,2,"Canada,Australia",14
183,IDA ANDREWS,2005-07-31,Brazil,3,13.97,3.49,2,2,"Australia,Canada",15
427,JESUS MCCARTNEY,2005-08-01,Brazil,3,15.97,5.54,2,2,"Canada,Australia",16
47,FRANCES PARKER,2005-07-11,Brazil,3,14.97,4.99,2,2,"Australia,Canada",17
551,CLAYTON BARBEE,2005-08-22,Brazil,3,14.97,5.24,2,2,"Canada,Australia",18
254,MAXINE SILVA,2005-08-19,Brazil,4,13.96,4.86,2,2,"Canada,Australia",19
206,TERRI VASQUEZ,2005-07-06,Brazil,3,11.97,3.99,2,2,"Canada,Australia",20
314,GEORGE LINTON,2005-08-21,Brazil,3,14.97,7.36,2,2,"Australia,Canada",21
74,DENISE KELLY,2005-07-10,Brazil,3,10.97,3.39,2,2,"Canada,Australia",22
314,GEORGE LINTON,2005-07-28,Brazil,3,11.97,4.7,2,2,"Australia,Canada",23
254,MAXINE SILVA,2005-07-09,Brazil,3,9.97,4.74,2,2,"Australia,Canada",24
77,JANE BENNETT,2005-08-02,Brazil,4,7.96,2.99,2,2,"Canada,Australia",25
91,LOIS BUTLER,2005-07-07,Brunei,3,12.97,2.79,2,2,"Australia,Canada",1
91,LOIS BUTLER,2005-08-19,Brunei,3,10.97,3.82,2,2,"Canada,Australia",2
91,LOIS BUTLER,2005-08-22,Brunei,3,9.97,4.36,2,2,"Australia,Canada",3
540,TYRONE ASHER,2005-08-02,Bulgaria,4,24.96,7.98,2,2,"Canada,Australia",1
540,TYRONE ASHER,2005-07-11,Bulgaria,3,13.97,4.82,2,2,"Canada,Australia",2
215,JESSIE BANKS,2005-08-23,Bulgaria,4,9.96,3.24,2,2,"Canada,Australia",3
228,ALLISON STANLEY,2005-07-06,Cambodia,4,17.96,3.49,2,2,"Australia,Canada",1
