customer_id,first_name,last_name,payment_count,total_amount,avg_payment_amount,is_suspicious
148,ELEANOR,HUNT,22,100.78,4.58,1
470,GORDON,ALLARD,17,96.83,5.7,1
522,ARNOLD,HAVENS,18,96.82,5.38,1
137,RHONDA,KENNEDY,19,96.81,5.1,1
144,CLARA,SHAW,18,93.82,5.21,1
459,TOMMY,COLLAZO,18,89.82,4.99,1
257,MARSHA,DOUGLAS,18,88.82,4.93,0
295,DAISY,BATES,18,87.82,4.88,1
526,KARL,SEAL,19,86.81,4.57,0
595,TERRENCE,GUNDERSON,19,86.81,4.57,1
178,MARION,SNYDER,18,85.82,4.77,1
102,CRYSTAL,FORD,21,84.79,4.04,0
346,ARTHUR,SIMPKINS,15,83.85,5.59,1
209,TONYA,CHAPMAN,17,82.83,4.87,1
366,BRANDON,HUEY,19,82.81,4.36,0
50,DIANE,COLLINS,17,80.83,4.75,1
225,ARLENE,HARVEY,17,80.83,4.75,0
469,WESLEY,BULL,18,80.82,4.49,1
494,RAMON,CHOATE,18,80.82,4.49,1
479,ZACHARY,HITE,15,79.85,5.32,1
92,TINA,SIMMONS,15,78.85,5.26,1
332,STEPHEN,QUALLS,17,78.83,4.64,1
484,ROBERTO,VU,15,77.85,5.19,1
372,STEVE,MACKENZIE,16,77.84,4.87,1
309,CHRISTOPHER,GRECO,16,76.84,4.8,1
286,VELMA,LUCAS,17,76.83,4.52,1
2,PATRICIA,JOHNSON,14,75.86,5.42,1
591,KENT,ARSENAULT,15,75.85,5.06,1
508,MILTON,HOWLAND,14,74.86,5.35,1
292,MISTY,LAMBERT,16,74.84,4.68,1
462,WARREN,SHERROD,16,74.84,4.68,1
39,DEBRA,NELSON,15,73.85,4.92,1
502,BRETT,CORNWELL,15,73.85,4.92,1
210,ELLA,OLIVER,18,73.82,4.1,1
30,MELISSA,KING,19,73.81,3.88,1
236,MARCIA,DEAN,20,73.8,3.69,0
181,ANA,BRADLEY,12,72.88,6.07,1
245,COURTNEY,DAY,16,72.84,4.55,1
475,PEDRO,CHESTNUT,15,71.85,4.79,1
446,THEODORE,CULP,17,71.83,4.23,1
566,CASEY,MENA,18,71.82,3.99,1
585,PERRY,SWAFFORD,13,70.87,5.45,1
172,BERNICE,WILLIS,14,70.86,5.06,0
41,STEPHANIE,MITCHELL,15,70.85,4.72,1
558,JIMMIE,EGGLESTON,15,70.85,4.72,1
573,BYRON,BOX,15,70.85,4.72,1
265,JENNIE,TERRY,16,70.84,4.43,1
348,ROGER,QUINTANILLA,16,70.84,4.43,1
168,REGINA,BERRY,17,70.83,4.17,0
71,KATHY,JAMES,18,70.82,3.93,1
75,TAMMY,SANDERS,20,70.8,3.54,1
482,MAURICE,CRAWLEY,12,69.88,5.82,1
49,JOYCE,EDWARDS,13,69.87,5.37,1
100,ROBIN,HAYES,13,69.87,5.37,1
532,NEIL,RENNER,14,69.86,4.99,1
363,ROY,WHITING,15,69.85,4.66,1
376,RANDY,GAITHER,15,69.85,4.66,1
360,RALPH,MADRIGAL,17,69.83,4.11,1
583,MARSHALL,THORN,12,68.88,5.74,1
3,LINDA,WILLIAMS,13,68.87,5.3,1
285,MIRIAM,MCKINNEY,13,68.87,5.3,1
179,DANA,HART,14,68.86,4.92,1
103,GLADYS,HAMILTON,15,68.85,4.59,0
35,VIRGINIA,GREEN,16,68.84,4.3,0
373,LOUIS,LEONE,16,68.84,4.3,1
553,MAX,PITT,16,68.84,4.3,0
89,JULIA,FLORES,17,68.83,4.05,1
406,NATHAN,RUNYON,18,68.82,3.82,1
497,GILBERT,SLEDGE,14,67.86,4.85,1
273,PRISCILLA,LOWE,15,67.85,4.52,1
302,MICHAEL,SILVERMAN,15,67.85,4.52,1
425,FRANCIS,SIKES,17,67.83,3.99,1
314,GEORGE,LINTON,18,67.82,3.77,0
354,JUSTIN,NGO,19,67.81,3.57,1
467,ALVIN,DELOACH,13,66.87,5.14,1
441,MARIO,CHEATHAM,17,66.83,3.93,1
426,BRADLEY,MOTLEY,11,65.89,5.99,1
433,DON,BONE,14,65.86,4.7,1
579,DARYL,LARUE,14,65.86,4.7,1
594,EDUARDO,HIATT,14,65.86,4.7,1
125,ETHEL,WEBB,16,65.84,4.12,1
128,MARJORIE,TUCKER,16,65.84,4.12,0
347,RYAN,SALISBURY,17,65.83,3.87,0
38,MARTHA,GONZALEZ,18,65.82,3.66,0
82,KATHRYN,COLEMAN,11,64.89,5.9,1
84,SARA,PERRY,12,64.88,5.41,1
86,JACQUELINE,LONG,12,64.88,5.41,1
63,ASHLEY,RICHARDSON,14,64.86,4.63,1
490,SAM,MCDUFFIE,14,64.86,4.63,1
531,JAMIE,WAUGH,14,64.86,4.63,0
219,WILLIE,HOWELL,15,64.85,4.32,0
237,TANYA,GILBERT,15,64.85,4.32,1
282,JENNY,CASTRO,15,64.85,4.32,1
574,JULIAN,VEST,15,64.85,4.32,0
598,WADE,DELVALLE,16,64.84,4.05,0
187,BRITTANY,RILEY,11,63.89,5.81,1
331,ERIC,ROBERT,12,63.88,5.32,1
196,ALMA,AUSTIN,14,63.86,4.56,1
576,MORRIS,MCCARTER,15,63.85,4.26,1
485,CLYDE,TOBIAS,18,63.82,3.55,0
337,JERRY,JORDON,12,62.88,5.24,1
307,JOSEPH,JOY,13,62.87,4.84,1
235,JACKIE,LYNCH,15,62.85,4.19,0
211,STACEY,MONTGOMERY,16,62.84,3.93,1
80,MARILYN,ROSS,12,61.88,5.16,1
403,MIKE,WAY,12,61.88,5.16,0
13,KAREN,JACKSON,13,61.87,4.76,1
107,FLORENCE,WOODS,14,61.86,4.42,0
114,GRACE,ELLIS,15,61.85,4.12,1
122,THELMA,MURRAY,15,61.85,4.12,0
362,NICHOLAS,BARFIELD,15,61.85,4.12,1
592,TERRANCE,ROUSH,15,61.85,4.12,1
42,CAROLYN,PEREZ,16,61.84,3.87,0
59,CHERYL,MURPHY,11,60.89,5.54,1
491,RICK,MATTOX,11,60.89,5.54,1
284,SONIA,GREGORY,12,60.88,5.07,1
23,SARAH,LEWIS,13,60.87,4.68,1
66,JANICE,WARD,13,60.87,4.68,1
206,TERRI,VASQUEZ,13,60.87,4.68,0
393,PHILIP,CAUSEY,13,60.87,4.68,1
513,DUANE,TUBBS,13,60.87,4.68,1
520,MITCHELL,WESTMORELAND,14,60.86,4.35,1
442,LEROY,BUSTAMANTE,16,60.84,3.8,0
563,KEN,PREWITT,16,60.84,3.8,0
7,MARIA,MILLER,11,59.89,5.44,1
220,CHARLENE,ALVAREZ,12,59.88,4.99,1
300,JOHN,FARNSWORTH,14,59.86,4.28,1
404,STANLEY,SCROGGINS,14,59.86,4.28,1
560,JORDAN,ARCHULETA,14,59.86,4.28,1
5,ELIZABETH,BROWN,16,59.84,3.74,1
64,JUDITH,COX,19,59.81,3.15,0
91,LOIS,BUTLER,19,59.81,3.15,0
477,DAN,PAINE,10,58.9,5.89,1
51,ALICE,STEWART,12,58.88,4.91,1
221,BESSIE,MORRISON,12,58.88,4.91,1
486,GLEN,TALBERT,12,58.88,4.91,1
423,ALFRED,CASILLAS,13,58.87,4.53,1
533,JESSIE,MILAM,13,58.87,4.53,1
380,RUSSELL,BRINSON,14,58.86,4.2,1
468,TIM,CARY,14,58.86,4.2,0
32,AMY,LOPEZ,15,58.85,3.92,1
207,GERTRUDE,CASTILLO,15,58.85,3.92,1
230,JOY,GEORGE,15,58.85,3.92,1
323,MATTHEW,MAHAN,15,58.85,3.92,0
409,RODNEY,MOELLER,15,58.85,3.92,0
424,KYLE,SPURLOCK,16,58.84,3.68,1
504,NATHANIEL,ADAM,11,57.89,5.26,1
421,LEE,HAWKS,12,57.88,4.82,1
473,JORGE,OLIVARES,13,57.87,4.45,1
481,HERMAN,DEVORE,13,57.87,4.45,1
135,JUANITA,MASON,14,57.86,4.13,0
173,AUDREY,RAY,14,57.86,4.13,1
232,CONSTANCE,REID,14,57.86,4.13,1
581,VIRGIL,WOFFORD,14,57.86,4.13,1
87,WANDA,PATTERSON,11,56.89,5.17,1
495,CHARLIE,BESS,11,56.89,5.17,1
528,CLAUDE,HERZOG,11,56.89,5.17,1
170,BEATRICE,ARNOLD,12,56.88,4.74,1
432,EDWIN,BURK,12,56.88,4.74,0
166,LYNN,PAYNE,13,56.87,4.37,1
390,SHAWN,HEATON,14,56.86,4.06,0
590,SETH,HANNON,14,56.86,4.06,0
99,EMILY,DIAZ,15,56.85,3.79,0
176,JUNE,CARROLL,12,55.88,4.66,0
316,STEVEN,CURLEY,12,55.88,4.66,0
539,MATHEW,BOLIN,12,55.88,4.66,0
233,LILLIE,KIM,13,55.87,4.3,1
254,MAXINE,SILVA,13,55.87,4.3,0
518,GABRIEL,HARDER,13,55.87,4.3,0
154,MICHELE,GRANT,14,55.86,3.99,0
129,CARRIE,PORTER,15,55.85,3.72,0
145,LUCILLE,HOLMES,15,55.85,3.72,1
335,GREGORY,MAULDIN,15,55.85,3.72,1
343,DOUGLAS,GRAF,9,54.91,6.1,1
443,FRANCISCO,SKIDMORE,10,54.9,5.49,1
149,VALERIE,BLACK,11,54.89,4.99,1
296,RAMONA,HALE,12,54.88,4.57,0
386,TODD,TAN,13,54.87,4.22,1
244,VIOLA,HANSON,14,54.86,3.92,0
410,CURTIS,IRBY,14,54.86,3.92,0
438,BARRY,LOVELACE,14,54.86,3.92,1
228,ALLISON,STANLEY,15,54.85,3.66,1
44,MARIE,TURNER,10,53.9,5.39,1
259,LENA,JENSEN,10,53.9,5.39,0
582,ANDY,VANHORN,10,53.9,5.39,1
11,LISA,ANDERSON,11,53.89,4.9,1
334,RAYMOND,MCWHORTER,11,53.89,4.9,0
101,PEGGY,MYERS,12,53.88,4.49,1
268,NINA,SOTO,12,53.88,4.49,0
79,RACHEL,BARNES,13,53.87,4.14,1
529,ERIK,GUILLEN,13,53.87,4.14,0
306,CHARLES,KOWALSKI,14,53.86,3.85,0
241,HEIDI,LARSON,15,53.85,3.59,0
355,TERRY,GRISSOM,11,52.89,4.81,0
577,CLIFTON,MALCOLM,11,52.89,4.81,1
199,BETH,FRANKLIN,12,52.88,4.41,1
291,TONI,HOLT,12,52.88,4.41,0
304,DAVID,ROYAL,12,52.88,4.41,1
