customer_full_name,staff_full_name,payment_count,total_amount,high_attention_flag
GORDON ALLARD,Mike Hillyer,13,70.87,1
CLARA SHAW,Jon Stephens,12,68.88000000000001,1
RAMON CHOATE,Jon Stephens,13,64.87000000000002,1
ARNOLD HAVENS,Jon Stephens,11,63.890000000000015,1
MILTON HOWLAND,Jon Stephens,11,60.890000000000015,1
ELEANOR HUNT,Mike Hillyer,15,60.85000000000001,1
TOMMY COLLAZO,Mike Hillyer,12,58.88000000000001,1
TERRENCE GUNDERSON,Mike Hillyer,12,58.88000000000001,1
RHONDA KENNEDY,Mike Hillyer,11,57.890000000000015,1
ROBERTO VU,Jon Stephens,10,56.900000000000006,1
JULIAN VEST,Mike Hillyer,13,56.87000000000002,1
VIRGINIA GREEN,Mike Hillyer,11,55.890000000000015,1
DANA HART,Mike Hillyer,11,55.890000000000015,1
WARREN SHERROD,Mike Hillyer,12,55.88000000000002,1
JOSEPH JOY,Mike Hillyer,12,55.88000000000001,1
MARION SNYDER,Mike Hillyer,10,54.90000000000001,1
MISTY LAMBERT,Mike Hillyer,10,54.90000000000001,1
ARTHUR SIMPKINS,Jon Stephens,10,54.90000000000001,1
RANDY GAITHER,Mike Hillyer,12,54.88000000000002,1
ANA BRADLEY,Mike Hillyer,8,51.92000000000001,1
ALICE STEWART,Mike Hillyer,10,51.90000000000001,1
ARLENE HARVEY,Mike Hillyer,9,50.91000000000001,1
MARSHA DOUGLAS,Jon Stephens,10,50.90000000000001,1
PATRICIA JOHNSON,Jon Stephens,8,48.92000000000001,0
DEBRA NELSON,Jon Stephens,8,48.92000000000001,0
TONYA CHAPMAN,Jon Stephens,9,48.91000000000001,0
CHARLENE ALVAREZ,Jon Stephens,9,48.910000000000004,0
MIRIAM MCKINNEY,Mike Hillyer,7,47.93000000000001,0
STEPHEN QUALLS,Jon Stephens,9,47.91000000000001,0
EDUARDO HIATT,Mike Hillyer,9,47.91000000000001,0
JOHN FARNSWORTH,Mike Hillyer,10,47.90000000000001,0
WESLEY BULL,Jon Stephens,11,47.89000000000001,0
KARL SEAL,Jon Stephens,11,47.89000000000001,0
ZACHARY HITE,Jon Stephens,7,46.93000000000001,0
GWENDOLYN MAY,Mike Hillyer,9,46.910000000000004,0
ASHLEY RICHARDSON,Jon Stephens,10,46.90000000000001,0
KENT ARSENAULT,Mike Hillyer,10,46.90000000000001,0
DIANE COLLINS,Jon Stephens,10,46.900000000000006,0
JULIA FLORES,Jon Stephens,11,46.890000000000015,0
STANLEY SCROGGINS,Mike Hillyer,11,46.89000000000001,0
TINA SIMMONS,Jon Stephens,7,45.93000000000001,0
GLADYS HAMILTON,Jon Stephens,8,45.92000000000001,0
DAISY BATES,Mike Hillyer,8,45.92000000000001,0
CHRISTOPHER GRECO,Jon Stephens,8,45.92000000000001,0
MAURICE CRAWLEY,Jon Stephens,8,45.92000000000001,0
MONICA HICKS,Mike Hillyer,10,45.90000000000001,0
MARK RINEHART,Mike Hillyer,10,45.90000000000001,0
LOUIS LEONE,Mike Hillyer,10,45.900000000000006,0
ALVIN DELOACH,Jon Stephens,8,44.92000000000001,0
DARYL LARUE,Jon Stephens,8,44.92000000000001,0
KATHY JAMES,Mike Hillyer,10,44.900000000000006,0
