first_name,last_name,email,payment_count,total_amount,average_payment,suspicious_activity
ELEANOR,HUNT,ELEANOR.HUNT@sakilacustomer.org,22,100.78,4.58,1
GORDON,ALLARD,GORDON.ALLARD@sakilacustomer.org,17,96.83,5.7,1
ARNOLD,HAVENS,ARNOLD.HAVENS@sakilacustomer.org,18,96.82,5.38,1
RHONDA,KENNEDY,RHONDA.KENNEDY@sakilacustomer.org,19,96.81,5.1,1
CLARA,SHAW,CLARA.SHAW@sakilacustomer.org,18,93.82,5.21,1
TOMMY,COLLAZO,TOMMY.COLLAZO@sakilacustomer.org,18,89.82,4.99,1
MARSHA,DOUGLAS,MARSHA.DOUGLAS@sakilacustomer.org,18,88.82,4.93,1
DAISY,BATES,DAISY.BATES@sakilacustomer.org,18,87.82,4.88,1
TERRENCE,GUNDERSON,TERRENCE.GUNDERSON@sakilacustomer.org,19,86.81,4.57,1
KARL,SEAL,KARL.SEAL@sakilacustomer.org,19,86.81,4.57,1
MARION,SNYDER,MARION.SNYDER@sakilacustomer.org,18,85.82,4.77,1
CRYSTAL,FORD,CRYSTAL.FORD@sakilacustomer.org,21,84.79,4.04,1
ARTHUR,SIMPKINS,ARTHUR.SIMPKINS@sakilacustomer.org,15,83.85,5.59,1
TONYA,CHAPMAN,TONYA.CHAPMAN@sakilacustomer.org,17,82.83,4.87,1
BRANDON,HUEY,BRANDON.HUEY@sakilacustomer.org,19,82.81,4.36,1
DIANE,COLLINS,DIANE.COLLINS@sakilacustomer.org,17,80.83,4.75,1
ARLENE,HARVEY,ARLENE.HARVEY@sakilacustomer.org,17,80.83,4.75,1
WESLEY,BULL,WESLEY.BULL@sakilacustomer.org,18,80.82,4.49,1
RAMON,CHOATE,RAMON.CHOATE@sakilacustomer.org,18,80.82,4.49,1
ZACHARY,HITE,ZACHARY.HITE@sakilacustomer.org,15,79.85,5.32,1
TINA,SIMMONS,TINA.SIMMONS@sakilacustomer.org,15,78.85,5.26,1
STEPHEN,QUALLS,STEPHEN.QUALLS@sakilacustomer.org,17,78.83,4.64,1
ROBERTO,VU,ROBERTO.VU@sakilacustomer.org,15,77.85,5.19,1
STEVE,MACKENZIE,STEVE.MACKENZIE@sakilacustomer.org,16,77.84,4.87,1
CHRISTOPHER,GRECO,CHRISTOPHER.GRECO@sakilacustomer.org,16,76.84,4.8,1
VELMA,LUCAS,VELMA.LUCAS@sakilacustomer.org,17,76.83,4.52,1
PATRICIA,JOHNSON,PATRICIA.JOHNSON@sakilacustomer.org,14,75.86,5.42,1
