customer_id,customer_first_name,customer_last_name,staff_id,staff_first_name,staff_last_name,payment_count,total_amount,average_payment,high_attention_flag
470,GORDON,ALLARD,1,Mike,Hillyer,13,70.87,5.45,1
144,CLARA,SHAW,2,Jon,Stephens,12,68.88,5.74,1
494,RAMON,CHOATE,2,Jon,Stephens,13,64.87,4.99,1
522,ARNOLD,HAVENS,2,Jon,Stephens,11,63.89,5.81,1
508,MILTON,HOWLAND,2,Jon,Stephens,11,60.89,5.54,1
148,ELEANOR,HUNT,1,Mike,Hillyer,15,60.85,4.06,1
459,TOMMY,COLLAZO,1,Mike,Hillyer,12,58.88,4.91,1
595,TERRENCE,GUNDERSON,1,Mike,Hillyer,12,58.88,4.91,1
137,RHONDA,KENNEDY,1,Mike,Hillyer,11,57.89,5.26,1
484,ROBERTO,VU,2,Jon,Stephens,10,56.9,5.69,1
574,JULIAN,VEST,1,Mike,Hillyer,13,56.87,4.37,1
35,VIRGINIA,GREEN,1,Mike,Hillyer,11,55.89,5.08,1
179,DANA,HART,1,Mike,Hillyer,11,55.89,5.08,1
307,JOSEPH,JOY,1,Mike,Hillyer,12,55.88,4.66,1
462,WARREN,SHERROD,1,Mike,Hillyer,12,55.88,4.66,1
292,MISTY,LAMBERT,1,Mike,Hillyer,10,54.9,5.49,1
346,ARTHUR,SIMPKINS,2,Jon,Stephens,10,54.9,5.49,1
178,MARION,SNYDER,1,Mike,Hillyer,10,54.9,5.49,1
376,RANDY,GAITHER,1,Mike,Hillyer,12,54.88,4.57,1
181,ANA,BRADLEY,1,Mike,Hillyer,8,51.92,6.49,1
51,ALICE,STEWART,1,Mike,Hillyer,10,51.9,5.19,1
225,ARLENE,HARVEY,1,Mike,Hillyer,9,50.91,5.66,1
257,MARSHA,DOUGLAS,2,Jon,Stephens,10,50.9,5.09,1
2,PATRICIA,JOHNSON,2,Jon,Stephens,8,48.92,6.12,1
39,DEBRA,NELSON,2,Jon,Stephens,8,48.92,6.12,1
220,CHARLENE,ALVAREZ,2,Jon,Stephens,9,48.91,5.43,1
209,TONYA,CHAPMAN,2,Jon,Stephens,9,48.91,5.43,1
285,MIRIAM,MCKINNEY,1,Mike,Hillyer,7,47.93,6.85,1
594,EDUARDO,HIATT,1,Mike,Hillyer,9,47.91,5.32,1
