customer_id,customer_name,city,country,payment_date,payment_count,daily_payment_sum,distinct_store_count,stores,distinct_staff_count,staff_members,avg_daily_sum_prev_30d,deviation_amount,deviation_ratio,deviation_rank
1,MARY SMITH,Sasebo,Japan,2005-06-15,3,16.97,2,"1,2",2,"1:Mike Hillyer,2:Jon Stephens",0.13,16.84,127.91,1
1,MARY SMITH,Sasebo,Japan,2005-07-28,4,11.96,2,"2,1",2,"1:Mike Hillyer,2:Jon Stephens",1.1,10.86,10.89,2
1,MARY SMITH,Sasebo,Japan,2005-08-22,3,10.97,2,"2,1",2,"1:Mike Hillyer,2:Jon Stephens",1.4,9.58,7.86,3
2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-30,5,30.95,2,"2,1",2,"1:Mike Hillyer,2:Jon Stephens",1.4,29.55,22.15,1
2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-27,3,16.97,2,"2,1",2,"2:Jon Stephens,1:Mike Hillyer",0.33,16.64,51.01,2
2,PATRICIA JOHNSON,San Bernardino,United States,2005-08-02,4,16.96,2,"2,1",2,"1:Mike Hillyer,2:Jon Stephens",2.56,14.4,6.62,3
2,PATRICIA JOHNSON,San Bernardino,United States,2005-07-29,3,14.97,2,"2,1",2,"2:Jon Stephens,1:Mike Hillyer",0.9,14.07,16.66,4
3,LINDA WILLIAMS,Athenai,Greece,2005-07-28,4,24.96,2,"2,1",2,"2:Jon Stephens,1:Mike Hillyer",0.9,24.06,27.77,1
4,BARBARA JONES,Myingyan,Myanmar,2005-06-16,3,4.97,2,"1,2",2,"1:Mike Hillyer,2:Jon Stephens",0.17,4.8,29.88,1
5,ELIZABETH BROWN,Nantou,Taiwan,2005-07-09,3,12.97,2,"2,1",2,"1:Mike Hillyer,2:Jon Stephens",0.93,12.04,13.93,1
6,JENNIFER DAVIS,Laredo,United States,2005-08-17,3,8.97,2,"1,2",1,1:Mike Hillyer,0.56,8.41,15.89,1
7,MARIA MILLER,Kragujevac,Yugoslavia,2005-08-01,4,22.96,2,"2,1",2,"2:Jon Stephens,1:Mike Hillyer",2.0,20.96,11.5,1
8,SUSAN WILSON,Hamilton,New Zealand,2005-07-07,3,7.97,2,"1,2",2,"1:Mike Hillyer,2:Jon Stephens",0.67,7.3,11.98,1
9,MARGARET MOORE,Masqat,Oman,2005-08-18,3,10.97,2,"1,2",2,"1:Mike Hillyer,2:Jon Stephens",0.73,10.24,15.01,1
10,DOROTHY TAYLOR,Esfahan,Iran,2005-07-28,3,14.97,2,"2,1",2,"1:Mike Hillyer,2:Jon Stephens",0.86,14.11,17.32,1
