customer_id,customer_name,country_name,city_name,window_start,window_end,window_amount,payment_count,staff_count,store_count,customer_previous_avg_7d,country_p95_7d,suspicion_rank
181,ANA BRADLEY,United States,Memphis,2005-07-26,2005-08-01,82.86,14,2,2,18.97,41.91,1
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-26,2005-08-01,96.84,16,2,2,23.38,44.92,2
425,FRANCIS SIKES,Mexico,San Juan Bautista Tuxtepec,2005-07-02,2005-07-08,41.93,7,2,2,7.99,40.91,3
331,ERIC ROBERT,Argentina,Santa F,2005-07-01,2005-07-07,40.94,6,2,2,7.98,37.91,4
2,PATRICIA JOHNSON,United States,San Bernardino,2005-07-24,2005-07-30,62.89,11,2,2,13.37,41.91,5
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08-15,2005-08-21,62.86,14,2,2,13.57,40.91,6
138,HAZEL WARREN,China,Hohhot,2005-07-26,2005-08-01,47.88,12,2,2,10.04,38.92,7
147,JOANNE ROBERTSON,Japan,Urawa,2005-08-17,2005-08-23,59.87,13,2,2,13.56,37.92,8
237,TANYA GILBERT,South Korea,Naju,2005-07-27,2005-08-02,71.85,15,2,2,17.03,43.91,9
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08-13,2005-08-19,41.91,9,2,2,8.75,40.91,10
473,JORGE OLIVARES,Indonesia,Lhokseumawe,2005-07-27,2005-08-02,51.89,11,2,2,12.04,34.93,11
138,HAZEL WARREN,China,Hohhot,2005-07-27,2005-08-02,54.85,15,2,2,12.56,38.92,12
327,LARRY THRASHER,Turkey,Adana,2005-08-17,2005-08-23,52.89,11,2,2,12.09,41.9,13
376,RANDY GAITHER,Russian Federation,Kurgan,2005-07-06,2005-07-12,51.9,10,2,2,12.11,40.93,14
487,HECTOR POINDEXTER,Russian Federation,Pjatigorsk,2005-07-27,2005-08-02,67.85,15,2,2,17.49,40.93,15
374,JEREMY HURTADO,Brazil,Vitria de Santo Anto,2005-08-16,2005-08-22,41.91,9,2,2,9.32,40.93,16
150,DANIELLE DANIELS,Mexico,Hidalgo,2005-08-14,2005-08-20,47.9,10,2,2,11.12,40.91,17
416,JEFFERY PINSON,Pakistan,Dadu,2005-07-27,2005-08-02,45.89,11,2,2,11.12,33.94,18
531,JAMIE WAUGH,Japan,Kuwana,2005-07-27,2005-08-02,63.88,12,2,2,16.86,37.92,19
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-25,2005-07-31,73.88,12,2,2,19.49,44.92,20
424,KYLE SPURLOCK,China,Shanwei,2005-07-25,2005-07-31,41.91,9,2,2,9.67,38.92,21
90,RUBY WASHINGTON,China,Meixian,2005-07-26,2005-08-01,55.89,11,2,2,14.15,38.92,22
522,ARNOLD HAVENS,Philippines,Santa Rosa,2005-07-26,2005-08-01,74.86,14,2,2,20.57,42.92,23
445,MICHEAL FORMAN,Argentina,Escobar,2005-07-27,2005-08-02,44.9,10,2,2,10.79,37.91,24
487,HECTOR POINDEXTER,Russian Federation,Pjatigorsk,2005-07-26,2005-08-01,54.86,14,2,2,13.76,40.93,25
81,ANDREA HENDERSON,Madagascar,Mahajanga,2005-08-17,2005-08-23,54.89,11,2,2,12.76,54.89,26
181,ANA BRADLEY,United States,Memphis,2005-07-27,2005-08-02,78.86,14,2,2,23.53,41.91,27
181,ANA BRADLEY,United States,Memphis,2005-07-24,2005-07-30,50.92,8,2,2,12.7,41.91,28
237,TANYA GILBERT,South Korea,Naju,2005-07-25,2005-07-31,54.87,13,2,2,13.88,43.91,29
407,DALE RATCLIFF,South Africa,Rustenburg,2005-07-27,2005-08-02,55.89,11,2,2,14.6,40.91,30
582,ANDY VANHORN,Mexico,Huejutla de Reyes,2005-07-25,2005-07-31,46.92,8,2,2,11.6,40.91,31
461,DEREK BLAKELY,Philippines,Gingoog,2005-08-17,2005-08-23,47.89,11,2,2,11.77,42.92,32
232,CONSTANCE REID,Nigeria,Zaria,2005-07-24,2005-07-30,45.89,11,2,2,11.1,43.89,33
106,CONNIE WALLACE,Russian Federation,Ivanovo,2005-07-26,2005-08-01,46.91,9,2,2,11.7,40.93,34
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-24,2005-07-30,60.91,9,2,2,16.04,44.92,35
482,MAURICE CRAWLEY,Mexico,Coatzacoalcos,2005-07-06,2005-07-12,52.91,9,2,2,13.87,40.91,36
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-23,2005-07-29,50.93,7,2,2,12.87,44.92,37
22,LAURA RODRIGUEZ,Morocco,Sal,2005-08-17,2005-08-23,54.9,10,2,2,14.6,41.91,38
121,JOSEPHINE GOMEZ,India,Etawah,2005-08-16,2005-08-22,58.88,12,2,2,16.13,41.91,39
403,MIKE WAY,India,Valparai,2005-07-27,2005-08-02,67.87,13,2,2,19.82,41.91,40
21,MICHELLE CLARK,Bangladesh,Tangail,2005-08-15,2005-08-21,67.87,13,2,2,17.22,62.87,41
90,RUBY WASHINGTON,China,Meixian,2005-07-27,2005-08-02,60.88,12,2,2,17.63,38.92,42
256,MABEL HOLLAND,Myanmar,Monywa,2005-08-17,2005-08-23,45.9,10,2,2,11.97,38.91,43
121,JOSEPHINE GOMEZ,India,Etawah,2005-08-15,2005-08-21,49.9,10,2,2,13.05,41.91,44
471,DEAN SAUER,South Africa,Johannesburg,2005-08-16,2005-08-22,46.91,9,2,2,12.14,40.91,45
552,HUGH WALDROP,China,Haining,2005-07-27,2005-08-02,43.91,9,2,2,11.42,38.92,46
495,CHARLIE BESS,China,Baiyin,2005-07-26,2005-08-01,48.9,10,2,2,13.26,38.92,47
35,VIRGINIA GREEN,France,Toulouse,2005-07-06,2005-07-12,40.89,11,2,2,11.3,30.93,48
237,TANYA GILBERT,South Korea,Naju,2005-07-24,2005-07-30,43.91,9,2,2,11.15,43.91,49
424,KYLE SPURLOCK,China,Shanwei,2005-07-26,2005-08-01,46.9,10,2,2,12.6,38.92,50
390,SHAWN HEATON,Thailand,Nakhon Sawan,2005-08-16,2005-08-22,59.88,12,2,2,16.91,43.88,51
266,NORA HERRERA,Austria,Salzburg,2005-08-16,2005-08-22,49.87,13,2,2,13.9,37.91,52
