customer_id,customer_name,country,city,payment_date,payment_count,total_amount,avg_amount_prev_30_days,exceed_ratio,day_amount_rank
100,ROBIN HAYES,Russian Federation,Jelets,2005-06-15,3,11.97,0.03,362.73,3
129,CARRIE PORTER,China,Liaocheng,2005-06-19,3,9.97,0.03,302.12,4
574,JULIAN VEST,Japan,Akishima,2005-06-16,3,7.97,0.03,241.52,6
29,ANGELA HERNANDEZ,Japan,Shimonoseki,2005-06-19,5,15.95,0.07,240.45,2
290,KRISTINA CHAMBERS,Venezuela,Valle de la Pascua,2005-06-15,3,20.97,0.1,210.4,1
412,ALLEN BUTTERFIELD,India,Hoshiarpur,2005-07-29,3,18.97,0.1,191.62,1
126,ELLEN SIMPSON,Brazil,Po,2005-07-06,3,18.97,0.1,190.33,1
172,BERNICE WILLIS,Turkey,Batman,2005-07-08,3,17.97,0.13,135.79,1
598,WADE DELVALLE,Switzerland,Lausanne,2005-07-06,3,12.97,0.1,130.13,2
1,MARY SMITH,Japan,Sasebo,2005-06-15,3,16.97,0.13,127.91,1
233,LILLIE KIM,Egypt,Idfu,2005-06-18,3,10.97,0.1,110.07,2
423,ALFRED CASILLAS,Egypt,Sawhaj,2005-07-27,5,24.95,0.23,107.54,1
478,LEWIS LYMAN,Israel,Ashqelon,2005-06-19,3,20.97,0.2,105.2,1
563,KEN PREWITT,Romania,Bucuresti,2005-07-08,7,29.93,0.3,100.21,1
335,GREGORY MAULDIN,Tunisia,Sousse,2005-07-07,4,17.96,0.2,90.1,1
582,ANDY VANHORN,Mexico,Huejutla de Reyes,2005-07-27,4,20.96,0.23,90.09,1
177,SAMANTHA DUNCAN,Mexico,Matamoros,2005-06-16,3,8.97,0.1,90.0,2
376,RANDY GAITHER,Russian Federation,Kurgan,2005-07-07,3,13.97,0.17,84.33,2
329,FRANK WAGGONER,Bangladesh,Jamalpur,2005-06-17,3,7.97,0.1,79.97,6
235,JACKIE LYNCH,Colombia,Buenaventura,2005-07-06,3,14.97,0.2,75.1,1
350,JUAN FRALEY,Russian Federation,Teboksary,2005-08-17,3,14.97,0.2,75.1,1
31,BRENDA WRIGHT,India,Kamarhati,2005-06-18,4,16.96,0.23,72.89,1
321,KEVIN SCHULER,Nepal,Birgunj,2005-08-17,3,17.97,0.27,67.56,1
497,GILBERT SLEDGE,United Kingdom,York,2005-06-18,3,17.97,0.27,67.47,1
352,ALBERT CROUSE,Cameroon,Bamenda,2005-07-27,4,22.96,0.37,62.73,1
229,TAMARA NGUYEN,Brazil,Anpolis,2005-06-21,3,9.97,0.17,59.94,1
319,RONALD WEINER,Mexico,San Felipe del Progreso,2005-08-17,5,16.95,0.3,56.69,1
459,TOMMY COLLAZO,Iran,Qomsheh,2005-07-28,5,29.95,0.53,56.37,1
72,THERESA WATSON,Philippines,Taguig,2005-07-09,3,10.97,0.2,55.03,3
21,MICHELLE CLARK,Bangladesh,Tangail,2005-06-18,3,15.97,0.3,53.41,2
370,WAYNE TRUONG,India,Gulbarga,2005-07-27,3,15.97,0.3,53.35,1
145,LUCILLE HOLMES,South Africa,Soshanguve,2005-07-07,3,20.97,0.4,52.56,1
280,TRACEY BARRETT,Nigeria,Owo,2005-07-29,5,20.95,0.4,52.55,2
308,THOMAS GRIGSBY,United States,Kansas City,2005-06-17,3,6.97,0.13,52.41,10
465,FLOYD GANDY,Mexico,Zapopan,2005-08-17,3,16.97,0.33,51.06,1
2,PATRICIA JOHNSON,United States,San Bernardino,2005-07-27,3,16.97,0.33,51.01,2
539,MATHEW BOLIN,Venezuela,Valencia,2005-06-15,3,9.97,0.2,50.02,4
502,BRETT CORNWELL,India,Siliguri (Shiliguri),2005-05-30,3,4.97,0.1,49.87,15
494,RAMON CHOATE,Ecuador,Robamba,2005-07-06,3,4.97,0.1,49.87,12
386,TODD TAN,Ukraine,Kamjanets-Podilskyi,2005-06-16,3,12.97,0.27,48.7,3
406,NATHAN RUNYON,"Virgin Islands, U.S.",Charlotte Amalie,2005-07-27,4,23.96,0.5,48.08,1
14,BETTY WHITE,United States,Citrus Heights,2005-07-09,3,13.97,0.3,46.72,1
251,VICKIE BREWER,Germany,Halle/Saale,2005-05-31,3,11.97,0.27,45.06,2
377,HOWARD FORTNER,Iran,Kermanshah,2005-06-20,3,5.97,0.13,44.89,8
331,ERIC ROBERT,Argentina,Santa F,2005-07-06,3,18.97,0.43,43.88,2
133,PAULINE HENRY,Mexico,Torren,2005-07-08,4,19.96,0.47,42.89,1
161,GERALDINE PERKINS,Israel,Tel Aviv-Jaffa,2005-05-28,3,9.97,0.23,42.85,2
297,SHERRI RHODES,India,Ahmadnagar,2005-06-18,3,16.97,0.4,42.57,1
64,JUDITH COX,China,Daxian,2005-07-08,3,13.97,0.33,42.08,1
554,DWAYNE OLVERA,India,Rajkot,2005-08-17,4,20.96,0.5,41.98,1
454,ALEX GRESHAM,Mexico,Uruapan,2005-08-20,4,27.96,0.7,40.08,1
93,PHYLLIS FOSTER,China,Zalantun,2005-08-20,4,19.96,0.5,40.03,1
340,PATRICK NEWSOM,Vietnam,Hanoi,2005-07-29,4,15.96,0.4,40.03,3
425,FRANCIS SIKES,Mexico,San Juan Bautista Tuxtepec,2005-07-08,4,27.96,0.7,40.02,1
531,JAMIE WAUGH,Japan,Kuwana,2005-07-10,3,11.97,0.3,39.99,4
113,CINDY FISHER,Venezuela,Cuman,2005-06-20,3,16.97,0.43,39.31,1
51,ALICE STEWART,United States,Fontana,2005-07-09,3,16.97,0.43,39.25,1
260,CHRISTY VARGAS,China,Datong,2005-06-17,3,16.97,0.43,39.22,2
522,ARNOLD HAVENS,Philippines,Santa Rosa,2005-06-20,3,12.97,0.33,38.99,4
228,ALLISON STANLEY,Cambodia,Phnom Penh,2005-07-06,4,17.96,0.47,38.6,1
242,GLENDA FRAZIER,China,Qinhuangdao,2005-06-15,3,14.97,0.4,37.52,3
434,EDDIE TOMLIN,Philippines,Ozamis,2005-06-18,3,15.97,0.43,36.94,3
530,DARRYL ASHCRAFT,Argentina,Ezeiza,2005-07-27,3,10.97,0.3,36.69,2
527,CORY MEEHAN,Belarus,Mogiljov,2005-07-11,3,11.97,0.33,36.13,1
418,JEFF EAST,Dominican Republic,San Felipe de Puerto Plata,2005-07-08,3,11.97,0.33,36.05,1
581,VIRGIL WOFFORD,Mexico,Jos Azueta,2005-06-17,3,11.97,0.33,35.98,4
420,JACOB LANCE,United States,El Monte,2005-06-19,3,5.97,0.17,35.89,6
259,LENA JENSEN,India,Halisahar,2005-06-16,3,18.97,0.53,35.64,2
529,ERIK GUILLEN,India,Bhimavaram,2005-07-12,3,20.97,0.6,35.11,1
252,MATTIE HOFFMAN,United Kingdom,London,2005-07-27,3,6.97,0.2,35.08,1
560,JORDAN ARCHULETA,Argentina,Avellaneda,2005-07-07,3,13.97,0.4,35.01,2
214,KRISTIN JOHNSTON,United States,Sunnyvale,2005-05-31,3,6.97,0.2,34.97,6
