customer_id,customer_name,country_name,payment_day,daily_amount,transaction_count,personal_avg_prev_30d,personal_spike_ratio,country_avg_same_day,country_avg_ratio,staff_count,store_count,max_staff_transaction_share,max_store_transaction_share,country_amount_top_rank,suspicious_score
459,TOMMY COLLAZO,Iran,2005-07-28,29.95,5,2.66,11.27,10.98,2.73,2,2,0.8,0.8,0.0068,16.4
44,MARIE TURNER,Russian Federation,2005-07-10,24.96,4,4.49,5.56,7.55,3.31,2,2,0.5,0.5,0.0021,11.77
134,EMMA BOYD,Egypt,2005-08-02,20.96,4,3.16,6.64,8.38,2.5,2,2,0.75,0.75,0.0179,11.54
519,RON DELUCA,Japan,2005-07-31,23.95,5,4.65,5.15,6.98,3.43,2,2,0.6,0.6,0.0052,11.38
461,DEREK BLAKELY,Philippines,2005-08-22,22.95,5,4.21,5.46,7.45,3.08,2,2,0.6,0.6,0.0053,11.34
198,ELSIE KELLEY,Nigeria,2005-08-17,22.94,6,5.15,4.45,5.61,4.09,2,2,0.667,0.667,0.0083,11.31
240,MARLENE WELCH,Japan,2005-07-27,18.97,3,2.99,6.34,7.72,2.46,2,2,0.667,0.667,0.0122,11.27
382,VICTOR BARKLEY,United States,2005-07-30,21.97,3,2.82,7.78,9.12,2.41,1,1,1.0,1.0,0.0061,11.24
468,TIM CARY,India,2005-08-21,32.95,5,7.84,4.2,7.92,4.16,2,2,0.6,0.6,0.0009,11.16
147,JOANNE ROBERTSON,Japan,2005-08-01,16.98,2,3.19,5.33,6.19,2.74,2,2,0.5,0.5,0.0192,10.77
327,LARRY THRASHER,Turkey,2005-08-23,23.97,3,4.86,4.93,7.65,3.13,2,2,0.667,0.667,0.0038,10.53
21,MICHELLE CLARK,Bangladesh,2005-08-20,32.96,4,5.58,5.9,14.98,2.2,2,2,0.75,0.75,0.0182,10.5
510,BEN EASTER,Russian Federation,2005-07-28,18.98,2,3.59,5.29,7.75,2.45,2,2,0.5,0.5,0.0247,10.44
374,JEREMY HURTADO,Brazil,2005-08-22,20.96,4,4.09,5.12,7.63,2.75,2,2,0.75,0.75,0.0139,10.27
445,MICHEAL FORMAN,Argentina,2005-08-02,17.98,2,3.65,4.92,6.81,2.64,2,2,0.5,0.5,0.0123,10.26
192,LAURIE LAWRENCE,India,2005-08-21,24.96,4,5.32,4.69,7.92,3.15,2,2,0.75,0.75,0.0028,10.24
132,ESTHER CRAWFORD,South Africa,2005-08-01,22.96,4,5.61,4.09,7.13,3.22,2,2,0.5,0.5,0.0099,10.22
45,JANET PHILLIPS,Chile,2005-08-02,27.95,5,5.84,4.78,11.31,2.47,2,2,0.6,0.6,0.0192,10.05
522,ARNOLD HAVENS,Philippines,2005-07-30,29.95,5,7.61,3.94,8.44,3.55,2,2,0.8,0.8,0.0026,9.88
29,ANGELA HERNANDEZ,Japan,2005-08-18,21.96,4,5.84,3.76,7.19,3.05,2,2,0.5,0.5,0.0087,9.71
103,GLADYS HAMILTON,Nigeria,2005-08-23,25.95,5,5.99,4.33,10.12,2.56,2,2,0.6,0.6,0.0042,9.7
150,DANIELLE DANIELS,Mexico,2005-08-19,21.95,5,5.65,3.88,7.33,2.99,2,2,0.6,0.6,0.0075,9.68
181,ANA BRADLEY,United States,2005-08-01,26.95,5,8.1,3.33,7.7,3.5,2,2,0.6,0.6,0.003,9.63
27,SHIRLEY ALLEN,Philippines,2005-07-31,18.97,3,3.99,4.76,8.25,2.3,2,2,0.667,0.667,0.0211,9.52
259,LENA JENSEN,India,2005-07-30,21.97,3,5.32,4.13,7.56,2.91,2,2,0.667,0.667,0.0046,9.5
245,COURTNEY DAY,South Korea,2005-07-27,17.95,5,3.99,4.5,8.18,2.19,2,2,0.6,0.6,0.0323,9.49
311,PAUL TROUT,Russian Federation,2005-07-31,20.97,3,4.99,4.2,7.63,2.75,2,2,0.667,0.667,0.0144,9.42
420,JACOB LANCE,United States,2005-08-01,20.97,3,4.99,4.21,7.7,2.72,2,2,0.667,0.667,0.0076,9.4
362,NICHOLAS BARFIELD,Brazil,2005-08-21,25.96,4,7.48,3.47,8.83,2.94,2,2,0.5,0.5,0.002,9.31
275,CAROLE BARNETT,United States,2005-08-21,19.96,4,5.21,3.83,7.83,2.55,2,2,0.5,0.5,0.0137,9.28
139,AMBER DIXON,Taiwan,2005-08-22,21.95,5,4.99,4.4,8.98,2.44,2,2,0.8,0.8,0.0155,9.24
404,STANLEY SCROGGINS,Japan,2005-08-22,27.95,5,6.43,4.35,7.78,3.59,1,1,1.0,1.0,0.0017,9.19
538,TED BREAUX,China,2005-07-31,18.97,3,4.11,4.61,9.03,2.1,2,2,0.667,0.667,0.0127,9.18
78,LORI WOOD,India,2005-07-28,15.97,3,3.7,4.31,6.73,2.37,2,2,0.667,0.667,0.0305,9.15
