customer_id,first_name,last_name,payment_transactions,total_amount,average_amount,large_operations,suspicious_activity
148,ELEANOR,HUNT,22,100.78,4.58,3,1
470,GORDON,ALLARD,17,96.83,5.7,2,1
522,ARNOLD,HAVENS,18,96.82,5.38,1,1
137,RHONDA,KENNEDY,19,96.81,5.1,1,1
144,CLARA,SHAW,18,93.82,5.21,2,1
459,TOMMY,COLLAZO,18,89.82,4.99,2,1
257,MARSHA,DOUGLAS,18,88.82,4.93,0,1
295,DAISY,BATES,18,87.82,4.88,3,1
595,TERRENCE,GUNDERSON,19,86.81,4.57,2,1
526,KARL,SEAL,19,86.81,4.57,0,1
178,MARION,SNYDER,18,85.82,4.77,1,1
102,CRYSTAL,FORD,21,84.79,4.04,0,1
346,ARTHUR,SIMPKINS,15,83.85,5.59,3,1
209,TONYA,CHAPMAN,17,82.83,4.87,1,1
366,BRANDON,HUEY,19,82.81,4.36,0,1
50,DIANE,COLLINS,17,80.83,4.75,3,1
225,ARLENE,HARVEY,17,80.83,4.75,0,1
494,RAMON,CHOATE,18,80.82,4.49,1,1
469,WESLEY,BULL,18,80.82,4.49,1,1
479,ZACHARY,HITE,15,79.85,5.32,3,1
92,TINA,SIMMONS,15,78.85,5.26,1,1
332,STEPHEN,QUALLS,17,78.83,4.64,2,1
484,ROBERTO,VU,15,77.85,5.19,2,1
372,STEVE,MACKENZIE,16,77.84,4.87,1,1
309,CHRISTOPHER,GRECO,16,76.84,4.8,1,1
286,VELMA,LUCAS,17,76.83,4.52,1,1
2,PATRICIA,JOHNSON,14,75.86,5.42,1,1
591,KENT,ARSENAULT,15,75.85,5.06,2,1
508,MILTON,HOWLAND,14,74.86,5.35,2,1
462,WARREN,SHERROD,16,74.84,4.68,2,1
292,MISTY,LAMBERT,16,74.84,4.68,2,1
502,BRETT,CORNWELL,15,73.85,4.92,2,1
39,DEBRA,NELSON,15,73.85,4.92,1,1
210,ELLA,OLIVER,18,73.82,4.1,1,1
30,MELISSA,KING,19,73.81,3.88,1,1
236,MARCIA,DEAN,20,73.8,3.69,0,1
181,ANA,BRADLEY,12,72.88,6.07,3,1
245,COURTNEY,DAY,16,72.84,4.55,1,1
475,PEDRO,CHESTNUT,15,71.85,4.79,1,1
566,CASEY,MENA,18,71.82,3.99,1,1
585,PERRY,SWAFFORD,13,70.87,5.45,2,1
172,BERNICE,WILLIS,14,70.86,5.06,0,1
573,BYRON,BOX,15,70.85,4.72,2,1
41,STEPHANIE,MITCHELL,15,70.85,4.72,1,1
348,ROGER,QUINTANILLA,16,70.84,4.43,2,1
265,JENNIE,TERRY,16,70.84,4.43,1,1
168,REGINA,BERRY,17,70.83,4.17,0,1
71,KATHY,JAMES,18,70.82,3.93,1,1
75,TAMMY,SANDERS,20,70.8,3.54,1,1
100,ROBIN,HAYES,13,69.87,5.37,2,1
49,JOYCE,EDWARDS,13,69.87,5.37,2,1
532,NEIL,RENNER,14,69.86,4.99,1,1
376,RANDY,GAITHER,15,69.85,4.66,2,1
363,ROY,WHITING,15,69.85,4.66,1,1
360,RALPH,MADRIGAL,17,69.83,4.11,1,1
583,MARSHALL,THORN,12,68.88,5.74,1,1
285,MIRIAM,MCKINNEY,13,68.87,5.3,3,1
