customer_id,customer_name,country_id,country_name,payment_month,payment_count,payment_amount,prev_2_month_avg_payment_count,prev_2_month_avg_payment_amount,country_avg_payment_count,country_avg_payment_amount,country_payment_amount_p95,off_home_store_payment_share,distinct_staff_count,country_month_payment_amount_rank
441,MARIO CHEATHAM,2,Algeria,2005-07,17,66.83,1.5,7.49,13.33,56.87,65.74,0.5882,2,1
528,CLAUDE HERZOG,4,Angola,2005-07,11,56.89,3.5,12.97,10.0,41.9,55.39,0.5455,2,1
585,PERRY SWAFFORD,6,Argentina,2005-07,13,70.87,2.0,6.98,12.15,49.19,69.65,0.6154,2,1
173,AUDREY RAY,9,Austria,2005-07,14,57.86,3.5,12.47,9.67,39.24,55.96,0.6429,2,1
334,RAYMOND MCWHORTER,10,Azerbaijan,2005-07,11,53.89,2.5,13.48,12.0,52.88,53.79,0.5455,2,1
332,STEPHEN QUALLS,12,Bangladesh,2005-07,17,78.83,1.0,5.49,13.0,54.54,76.23,0.5294,2,1
144,CLARA SHAW,13,Belarus,2005-07,18,93.82,4.0,14.46,13.5,60.37,90.47,0.6667,2,1
455,JON WILES,14,Bolivia,2005-07,9,45.91,3.0,4.97,7.0,31.93,44.51,0.4444,2,1
178,MARION SNYDER,15,Brazil,2005-07,18,85.82,4.0,22.46,11.39,49.85,77.8,0.5556,2,1
92,TINA SIMMONS,15,Brazil,2005-07,15,78.85,2.5,12.98,11.39,49.85,77.8,0.5333,2,2
540,TYRONE ASHER,17,Bulgaria,2005-07,9,39.91,2.5,9.48,8.0,35.92,39.51,0.6667,2,1
228,ALLISON STANLEY,18,Cambodia,2005-07,15,54.85,3.0,9.97,12.0,50.88,54.45,0.6,2,1
352,ALBERT CROUSE,19,Cameroon,2005-07,9,43.91,3.0,11.97,9.5,36.91,43.21,0.3333,2,1
410,CURTIS IRBY,20,Canada,2005-07,14,54.86,3.0,11.47,11.0,43.29,54.46,0.5714,2,1
45,JANET PHILLIPS,22,Chile,2005-07,9,37.91,3.0,10.47,7.67,33.92,37.41,0.2222,2,1
595,TERRENCE GUNDERSON,23,China,2005-07,19,86.81,1.5,7.49,11.23,44.91,69.04,0.3684,2,1
484,ROBERTO VU,23,China,2005-07,15,77.85,3.5,14.97,11.23,44.91,69.04,0.6667,2,2
168,REGINA BERRY,23,China,2005-07,17,70.83,1.5,5.49,11.23,44.91,69.04,0.5882,2,3
490,SAM MCDUFFIE,24,Colombia,2005-07,14,64.86,1.5,7.99,11.83,52.72,64.36,0.5,2,1
418,JEFF EAST,27,Dominican Republic,2005-07,10,45.9,1.5,4.49,10.0,45.23,45.8,0.6,2,1
494,RAMON CHOATE,28,Ecuador,2005-07,18,80.82,1.0,3.99,13.0,55.54,77.53,0.2778,2,1
491,RICK MATTOX,29,Egypt,2005-07,11,60.89,4.5,17.96,10.83,46.89,60.39,0.3636,2,1
35,VIRGINIA GREEN,34,France,2005-07,16,68.84,4.0,14.46,11.25,49.89,66.45,0.6875,2,1
43,CHRISTINE ROBERTS,36,French Polynesia,2005-07,12,47.88,1.5,7.49,10.5,42.9,47.38,0.5833,2,1
3,LINDA WILLIAMS,39,Greece,2005-07,13,68.87,3.0,15.47,9.5,45.41,66.52,0.4615,2,1
209,TONYA CHAPMAN,44,India,2005-07,17,82.83,3.5,16.97,10.85,45.74,73.9,0.4706,2,1
225,ARLENE HARVEY,44,India,2005-07,17,80.83,1.5,8.49,10.85,45.74,73.9,0.4706,2,2
508,MILTON HOWLAND,44,India,2005-07,14,74.86,1.5,5.49,10.85,45.74,73.9,0.2143,2,3
372,STEVE MACKENZIE,45,Indonesia,2005-07,16,77.84,2.5,8.98,9.93,43.33,64.86,0.625,2,1
459,TOMMY COLLAZO,46,Iran,2005-07,18,89.82,4.0,14.46,11.75,50.13,76.54,0.3333,2,1
102,CRYSTAL FORD,48,Israel,2005-07,21,84.79,2.5,9.98,11.5,50.89,79.26,0.5714,2,1
309,CHRISTOPHER GRECO,49,Italy,2005-07,16,76.84,3.0,16.97,11.14,48.46,71.45,0.5,2,1
285,MIRIAM MCKINNEY,50,Japan,2005-07,13,68.87,1.5,8.99,10.81,45.25,64.86,0.4615,2,1
531,JAMIE WAUGH,50,Japan,2005-07,14,64.86,1.5,5.49,10.81,45.25,64.86,0.2857,2,2
573,BYRON BOX,51,Kazakstan,2005-07,15,70.85,2.5,11.98,12.0,48.38,68.6,0.5333,2,1
363,ROY WHITING,52,Kenya,2005-07,15,69.85,3.0,13.47,10.5,48.9,67.75,0.3333,2,1
