customer_id,customer_name,country,city,suspicious_activity_date,payment_count,total_amount,deviation_from_personal_30_day_avg,deviation_from_country_daily_avg,rented_films
161,GERALDINE PERKINS,Israel,Tel Aviv-Jaffa,2005-05-28,3,9.97,9.74,9.54,"STATE WASTELAND,RUNAWAY TENENBAUMS,ISLAND EXORCIST"
251,VICKIE BREWER,Germany,Halle/Saale,2005-05-31,3,11.97,11.7,9.67,"PERFECT GROOVE,STEEL SANTA,HYDE DOCTOR"
290,KRISTINA CHAMBERS,Venezuela,Valle de la Pascua,2005-06-15,3,20.97,20.87,20.14,"GHOST GROUNDHOG,GOODFELLAS SALUTE,STRANGERS GRAFFITI"
1,MARY SMITH,Japan,Sasebo,2005-06-15,3,16.97,16.84,6.96,"MUSKETEERS WAIT,DETECTIVE VISION,FERRIS MOTHER"
100,ROBIN HAYES,Russian Federation,Jelets,2005-06-15,3,11.97,11.94,4.19,"SUNRISE LEAGUE,BAREFOOT MANCHURIAN,ADAPTATION HOLES"
539,MATHEW BOLIN,Venezuela,Valencia,2005-06-15,3,9.97,9.77,9.14,"ARTIST COLDBLOODED,BORROWERS BEDAZZLED,ENTRAPMENT SATISFACTION"
444,MARCUS HIDALGO,Estonia,Tartu,2005-06-15,3,6.97,6.64,6.64,"SNOWMAN ROLLERCOASTER,HANKY OCTOBER,IMPACT ALADDIN"
259,LENA JENSEN,India,Halisahar,2005-06-16,3,18.97,18.44,0.02,"ORIENT CLOSER,LOLA AGENT,EFFECT GLADIATOR"
386,TODD TAN,Ukraine,Kamjanets-Podilskyi,2005-06-16,3,12.97,12.7,10.71,"GRADUATE LORD,MAUDE MOD,GONE TROUBLE"
4,BARBARA JONES,Myanmar,Myingyan,2005-06-16,3,4.97,4.8,4.31,"BEDAZZLED MARRIED,ARTIST COLDBLOODED,AMADEUS HOLY"
261,DEANNA BYRD,Philippines,Tuguegarao,2005-06-17,3,18.97,18.31,9.59,"ROUGE SQUAD,PELICAN COMFORTS,ALONE TRIP"
329,FRANK WAGGONER,Bangladesh,Jamalpur,2005-06-17,3,7.97,7.87,7.21,"NIGHTMARE CHILL,MASKED BUBBLE,BOULEVARD MOB"
497,GILBERT SLEDGE,United Kingdom,York,2005-06-18,3,17.97,17.7,13.48,"SECRETS PARADISE,EDGE KISSING,EXCITEMENT EVE"
21,MICHELLE CLARK,Bangladesh,Tangail,2005-06-18,3,15.97,15.67,14.94,"SALUTE APOLLO,WAR NOTTING,POND SEATTLE"
434,EDDIE TOMLIN,Philippines,Ozamis,2005-06-18,3,15.97,15.54,4.9,"PITTSBURGH HUNCHBACK,HORN WORKING,EVERYONE CRAFT"
176,JUNE CARROLL,Algeria,Skikda,2005-06-18,4,16.96,15.53,14.86,"SATISFACTION CONFIDENTIAL,SHAKESPEARE SADDLE,VALENTINE VANISHING,MADNESS ATTACKS"
233,LILLIE KIM,Egypt,Idfu,2005-06-18,3,10.97,10.87,8.34,"SHREK LICENSE,HEAVEN FREEDOM,GHOST GROUNDHOG"
122,THELMA MURRAY,Peru,Lima,2005-06-18,3,9.97,9.47,7.61,"FERRIS MOTHER,SMOOCHY CONTROL,BROOKLYN DESERT"
383,MARTIN BALES,Angola,Namibe,2005-06-18,3,8.97,8.37,7.51,"BUTTERFLY CHOCOLAT,HORN WORKING,LABYRINTH LEAGUE"
452,TOM MILNER,United Arab Emirates,Abu Dhabi,2005-06-18,3,6.97,6.21,5.57,"REAR TRADING,MERMAID INSECTS,GOLDMINE TYCOON"
478,LEWIS LYMAN,Israel,Ashqelon,2005-06-19,3,20.97,20.77,18.84,"KISSING DOLLS,CAT CONEHEADS,DETECTIVE VISION"
113,CINDY FISHER,Venezuela,Cuman,2005-06-20,3,16.97,16.54,12.81,"NEWSIES STORY,ROAD ROXANNE,QUEST MUSSOLINI"
107,FLORENCE WOODS,Argentina,Merlo,2005-06-20,4,9.96,9.06,1.78,"SALUTE APOLLO,WEEKEND PERSONAL,MALLRATS UNITED,RIVER OUTLAW"
459,TOMMY COLLAZO,Iran,Qomsheh,2005-06-20,3,6.97,6.57,2.65,"HILLS NEIGHBORS,MOD SECRETARY,PERSONAL LADYBUGS"
377,HOWARD FORTNER,Iran,Kermanshah,2005-06-20,3,5.97,5.84,1.65,"ANACONDA CONFESSIONS,WESTWARD SEABISCUIT,ROBBERS JOON"
277,OLGA JIMENEZ,Nigeria,Ogbomosho,2005-06-21,3,13.97,13.24,4.36,"FERRIS MOTHER,INTOLERABLE INTENTIONS,WASTELAND DIVINE"
553,MAX PITT,Yugoslavia,Novi Sad,2005-07-06,5,22.95,22.05,21.69,"YENTL IDAHO,MARRIED GO,MASSACRE USUAL,QUEEN LUKE,CHOCOLAT HARRY"
126,ELLEN SIMPSON,Brazil,Po,2005-07-06,3,18.97,18.87,3.81,"DEVIL DESIRE,MUSKETEERS WAIT,CANDLES GRAPES"
331,ERIC ROBERT,Argentina,Santa F,2005-07-06,3,18.97,18.54,11.62,"MILE MULAN,SPICE SORORITY,PITY BOUND"
228,ALLISON STANLEY,Cambodia,Phnom Penh,2005-07-06,4,17.96,17.49,16.73,"VOYAGE LEGALLY,MERMAID INSECTS,WIFE TURN,GLASS DYING"
583,MARSHALL THORN,United Kingdom,Southampton,2005-07-06,3,17.97,16.97,11.78,"CHARIOTS CONSPIRACY,PLUTO OLEANDER,CAT CONEHEADS"
