average_payment_amount,customer_id,customer_name,payment_count,staff_id,staff_name,total_payment_amount
10.99,21,MICHELLE CLARK,1,1,Mike Hillyer,10.99
10.99,33,ANNA HILL,1,1,Mike Hillyer,10.99
10.99,511,CHESTER BENNER,1,2,Jon Stephens,10.99
10.99,516,ELMER NOE,1,1,Mike Hillyer,10.99
10.99,542,LONNIE TIRADO,1,2,Jon Stephens,10.99
10.99,544,CODY NOLEN,1,2,Jon Stephens,10.99
10.99,558,JIMMIE EGGLESTON,1,2,Jon Stephens,10.99
10.99,571,JOHNNIE CHISHOLM,1,1,Mike Hillyer,10.99
10.99,572,SIDNEY BURLESON,1,2,Jon Stephens,10.99
11.99,305,RICHARD MCCRARY,1,1,Mike Hillyer,11.99
5.99,1,MARY SMITH,1,1,Mike Hillyer,5.99
5.99,119,SHERRY MARSHALL,1,2,Jon Stephens,5.99
5.99,12,NANCY THOMAS,3,2,Jon Stephens,17.97
5.99,144,CLARA SHAW,1,1,Mike Hillyer,5.99
5.99,147,JOANNE ROBERTSON,1,2,Jon Stephens,5.99
5.99,149,VALERIE BLACK,1,1,Mike Hillyer,5.99
5.99,15,HELEN HARRIS,1,1,Mike Hillyer,5.99
5.99,150,DANIELLE DANIELS,1,1,Mike Hillyer,5.99
5.99,153,SUZANNE NICHOLS,1,1,Mike Hillyer,5.99
5.99,166,LYNN PAYNE,1,1,Mike Hillyer,5.99
5.99,167,SALLY PIERCE,1,1,Mike Hillyer,5.99
5.99,167,SALLY PIERCE,1,2,Jon Stephens,5.99
5.99,17,DONNA THOMPSON,2,2,Jon Stephens,11.98
5.99,174,YVONNE WATKINS,1,1,Mike Hillyer,5.99
5.99,18,CAROL GARCIA,2,2,Jon Stephens,11.98
5.99,181,ANA BRADLEY,1,1,Mike Hillyer,5.99
5.99,181,ANA BRADLEY,1,2,Jon Stephens,5.99
5.99,182,RENEE LANE,1,2,Jon Stephens,5.99
5.99,183,IDA ANDREWS,1,1,Mike Hillyer,5.99
5.99,183,IDA ANDREWS,1,2,Jon Stephens,5.99
5.99,187,BRITTANY RILEY,1,1,Mike Hillyer,5.99
5.99,196,ALMA AUSTIN,1,1,Mike Hillyer,5.99
5.99,196,ALMA AUSTIN,1,2,Jon Stephens,5.99
5.99,205,EILEEN CARR,1,2,Jon Stephens,5.99
5.99,206,TERRI VASQUEZ,1,2,Jon Stephens,5.99
5.99,208,LUCY WHEELER,1,1,Mike Hillyer,5.99
5.99,213,GINA WILLIAMSON,1,1,Mike Hillyer,5.99
5.99,223,MELINDA FERNANDEZ,1,2,Jon Stephens,5.99
5.99,23,SARAH LEWIS,1,1,Mike Hillyer,5.99
5.99,239,MINNIE ROMERO,1,1,Mike Hillyer,5.99
5.99,24,KIMBERLY LEE,1,1,Mike Hillyer,5.99
5.99,240,MARLENE WELCH,1,2,Jon Stephens,5.99
5.99,241,HEIDI LARSON,1,2,Jon Stephens,5.99
5.99,243,LYDIA BURKE,1,1,Mike Hillyer,5.99
5.99,243,LYDIA BURKE,1,2,Jon Stephens,5.99
5.99,244,VIOLA HANSON,1,1,Mike Hillyer,5.99
5.99,247,STELLA MORENO,1,1,Mike Hillyer,5.99
5.99,249,DORA MEDINA,1,1,Mike Hillyer,5.99
