payment_month,customer_id,first_name,last_name,city_name,country_name,payment_count,total_amount,avg_check,city_avg_payment_count,city_avg_total_amount,city_avg_check,country_avg_payment_count,country_avg_total_amount,country_avg_check,previous_month_amount,growth_percent_to_previous_month,distinct_staff_count,max_payment,country_amount_position,country_customer_count,is_3x_city_average,is_top_5_percent_country
2005-05,176,JUNE,CARROLL,Skikda,Algeria,5,21.95,4.39,5.0,21.95,4.39,2.67,11.31,4.29,0.0,,2,7.99,1,3,0,1
2005-05,528,CLAUDE,HERZOG,Benguela,Angola,5,17.95,3.59,5.0,17.95,3.59,3.5,13.97,4.29,0.0,,2,5.99,1,2,0,1
2005-05,381,BOBBY,BOUDREAU,South Hill,Anguilla,3,6.97,2.32,3.0,6.97,2.32,3.0,6.97,2.32,0.0,,2,2.99,1,1,0,1
2005-05,359,WILLIE,MARKHAM,Almirante Brown,Argentina,3,15.97,5.32,3.0,15.97,5.32,1.69,6.29,3.46,0.0,,2,8.99,1,13,0,1
2005-05,159,JILL,HAWKINS,Linz,Austria,4,9.96,2.49,4.0,9.96,2.49,2.67,7.64,2.99,0.0,,2,3.99,1,3,0,1
2005-05,334,RAYMOND,MCWHORTER,Sumqayit,Azerbaijan,2,15.98,7.99,2.0,15.98,7.99,1.5,10.49,6.49,0.0,,1,8.99,1,2,0,1
2005-05,590,SETH,HANNON,al-Manama,Bahrain,1,3.99,3.99,1.0,3.99,3.99,1.0,3.99,3.99,0.0,,1,3.99,1,1,0,1
2005-05,332,STEPHEN,QUALLS,Dhaka,Bangladesh,2,10.98,5.49,2.0,10.98,5.49,1.67,6.65,4.24,0.0,,2,6.99,1,3,0,1
2005-05,144,CLARA,SHAW,Molodetno,Belarus,2,5.98,2.99,2.0,5.98,2.99,1.0,2.99,2.99,0.0,,2,2.99,1,2,0,1
2005-05,431,JOEL,FRANCISCO,Sucre,Bolivia,1,2.99,2.99,1.0,2.99,2.99,1.5,2.49,1.99,0.0,,1,2.99,1,2,0,1
2005-05,246,MARIAN,MENDOZA,Maring,Brazil,5,30.95,6.19,5.0,30.95,6.19,1.79,7.52,4.31,0.0,,2,8.99,1,28,0,1
2005-05,551,CLAYTON,BARBEE,Alvorada,Brazil,5,20.95,4.19,5.0,20.95,4.19,1.79,7.52,4.31,0.0,,2,7.99,2,28,0,1
2005-05,91,LOIS,BUTLER,Bandar Seri Begawan,Brunei,1,5.99,5.99,1.0,5.99,5.99,1.0,5.99,5.99,0.0,,1,5.99,1,1,0,1
2005-05,215,JESSIE,BANKS,Stara Zagora,Bulgaria,2,9.98,4.99,2.0,9.98,4.99,1.0,4.99,4.99,0.0,,2,4.99,1,2,0,1
2005-05,228,ALLISON,STANLEY,Phnom Penh,Cambodia,2,5.98,2.99,2.0,5.98,2.99,2.0,5.98,2.99,0.0,,1,4.99,1,2,0,1
2005-05,361,LAWRENCE,LAWTON,Yaound,Cameroon,2,10.98,5.49,2.0,10.98,5.49,1.5,6.99,4.24,0.0,,2,5.99,1,2,0,1
2005-05,436,TROY,QUIGLEY,Vancouver,Canada,3,17.97,5.99,3.0,17.97,5.99,1.4,6.79,4.49,0.0,,1,7.99,1,5,0,1
2005-05,535,JAVIER,ELROD,NDjamna,Chad,4,12.96,3.24,4.0,12.96,3.24,4.0,12.96,3.24,0.0,,2,4.99,1,1,0,1
2005-05,515,ANDRE,RAPP,Coquimbo,Chile,2,15.98,7.99,2.0,15.98,7.99,1.67,8.32,4.66,0.0,,1,8.99,1,3,0,1
2005-05,594,EDUARDO,HIATT,Jining,China,4,21.96,5.49,4.0,21.96,5.49,2.06,8.6,4.3,0.0,,2,8.99,1,53,0,1
2005-05,569,DAVE,GARDINER,Leshan,China,5,20.95,4.19,5.0,20.95,4.19,2.06,8.6,4.3,0.0,,2,4.99,2,53,0,1
2005-05,197,SUE,PETERS,Changzhou,China,8,20.92,2.62,8.0,20.92,2.62,2.06,8.6,4.3,0.0,,2,3.99,3,53,0,1
2005-05,490,SAM,MCDUFFIE,Sogamoso,Colombia,2,11.98,5.99,2.0,11.98,5.99,2.17,7.98,3.74,0.0,,1,6.99,1,6,0,1
2005-05,375,AARON,SELBY,Mwene-Ditu,"Congo, The Democratic Republic of the",4,21.96,5.49,4.0,21.96,5.49,4.0,21.96,5.49,0.0,,2,8.99,1,2,0,1
2005-05,265,JENNIE,TERRY,Olomouc,Czech Republic,1,0.99,0.99,1.0,0.99,0.99,1.0,0.99,0.99,0.0,,1,0.99,1,1,0,1
2005-05,437,RANDALL,NEUMANN,La Romana,Dominican Republic,3,13.97,4.66,3.0,13.97,4.66,1.0,4.66,4.66,0.0,,2,5.99,1,3,0,1
2005-05,589,TRACY,HERRMANN,Loja,Ecuador,3,10.97,3.66,3.0,10.97,3.66,1.67,6.98,4.55,0.0,,1,4.99,1,3,0,1
2005-05,134,EMMA,BOYD,Qalyub,Egypt,4,16.96,4.24,4.0,16.96,4.24,1.5,5.82,3.63,0.0,,2,6.99,1,6,0,1
2005-05,444,MARCUS,HIDALGO,Tartu,Estonia,2,9.98,4.99,2.0,9.98,4.99,2.0,9.98,4.99,0.0,,1,8.99,1,1,0,1
2005-05,317,EDWARD,BAUGH,Trshavn,Faroe Islands,1,6.99,6.99,1.0,6.99,6.99,1.0,6.99,6.99,0.0,,1,6.99,1,1,0,1
2005-05,298,ERIKA,PENA,Oulu,Finland,1,3.99,3.99,1.0,3.99,3.99,1.0,3.99,3.99,0.0,,1,3.99,1,1,0,1
2005-05,104,RITA,GRAHAM,Toulon,France,2,14.98,7.49,2.0,14.98,7.49,2.0,9.98,4.74,0.0,,2,10.99,1,4,0,1
2005-05,65,ROSE,HOWARD,Cayenne,French Guiana,2,5.98,2.99,2.0,5.98,2.99,2.0,5.98,2.99,0.0,,2,4.99,1,1,0,1
2005-05,56,GLORIA,COOK,Papeete,French Polynesia,4,19.96,4.99,4.0,19.96,4.99,3.0,14.97,4.99,0.0,,1,6.99,1,2,0,1
2005-05,584,SALVADOR,TEEL,Banjul,Gambia,3,14.97,4.99,3.0,14.97,4.99,3.0,14.97,4.99,0.0,,2,4.99,1,1,0,1
2005-05,196,ALMA,AUSTIN,Mannheim,Germany,4,22.96,5.74,4.0,22.96,5.74,2.86,12.83,4.59,0.0,,2,11.99,1,7,0,1
2005-05,596,ENRIQUE,FORSYTHE,Patras,Greece,6,22.94,3.82,6.0,22.94,3.82,4.0,13.96,3.16,0.0,,2,6.99,1,2,0,1
