customer_id,customer_first_name,customer_last_name,staff_id,staff_first_name,staff_last_name,payment_count,total_amount,average_check,share_payments_above_5
267,MARGIE,WADE,2,Jon,Stephens,7,29.93,4.28,0.1429
510,BEN,EASTER,2,Jon,Stephens,7,24.93,3.56,0.4286
295,DAISY,BATES,1,Mike,Hillyer,7,20.93,2.99,0.1429
176,JUNE,CARROLL,1,Mike,Hillyer,6,37.94,6.32,0.6667
234,CLAUDIA,FULLER,2,Jon,Stephens,6,28.94,4.82,0.5
171,DOLORES,WAGNER,2,Jon,Stephens,6,27.94,4.66,0.5
570,IVAN,CROMWELL,2,Jon,Stephens,6,27.94,4.66,0.3333
459,TOMMY,COLLAZO,2,Jon,Stephens,6,24.94,4.16,0.1667
380,RUSSELL,BRINSON,1,Mike,Hillyer,6,23.94,3.99,0.0
31,BRENDA,WRIGHT,2,Jon,Stephens,6,22.94,3.82,0.1667
561,IAN,STILL,1,Mike,Hillyer,6,22.94,3.82,0.1667
451,JIM,REA,1,Mike,Hillyer,6,21.94,3.66,0.3333
107,FLORENCE,WOODS,2,Jon,Stephens,6,20.94,3.49,0.1667
213,GINA,WILLIAMSON,1,Mike,Hillyer,6,18.94,3.16,0.1667
454,ALEX,GRESHAM,2,Jon,Stephens,5,34.95,6.99,0.8
236,MARCIA,DEAN,2,Jon,Stephens,5,28.95,5.79,0.6
120,SYLVIA,ORTIZ,1,Mike,Hillyer,5,26.95,5.39,0.2
431,JOEL,FRANCISCO,2,Jon,Stephens,5,26.95,5.39,0.4
12,NANCY,THOMAS,2,Jon,Stephens,5,25.95,5.19,0.6
109,EDNA,WEST,2,Jon,Stephens,5,25.95,5.19,0.6
368,HARRY,ARCE,1,Mike,Hillyer,5,25.95,5.19,0.2
46,CATHERINE,CAMPBELL,2,Jon,Stephens,5,24.95,4.99,0.2
260,CHRISTY,VARGAS,1,Mike,Hillyer,5,24.95,4.99,0.4
338,DENNIS,GILMAN,1,Mike,Hillyer,5,24.95,4.99,0.6
526,KARL,SEAL,2,Jon,Stephens,5,23.95,4.79,0.4
178,MARION,SNYDER,2,Jon,Stephens,5,22.95,4.59,0.4
200,JEANNE,LAWSON,2,Jon,Stephens,5,22.95,4.59,0.2
215,JESSIE,BANKS,2,Jon,Stephens,5,20.95,4.19,0.0
479,ZACHARY,HITE,2,Jon,Stephens,5,20.95,4.19,0.2
515,ANDRE,RAPP,2,Jon,Stephens,5,20.95,4.19,0.2
66,JANICE,WARD,1,Mike,Hillyer,5,19.95,3.99,0.0
190,YOLANDA,WEAVER,1,Mike,Hillyer,5,19.95,3.99,0.0
194,KRISTEN,CHAVEZ,1,Mike,Hillyer,5,19.95,3.99,0.2
340,PATRICK,NEWSOM,1,Mike,Hillyer,5,19.95,3.99,0.4
426,BRADLEY,MOTLEY,1,Mike,Hillyer,5,19.95,3.99,0.4
27,SHIRLEY,ALLEN,2,Jon,Stephens,5,18.95,3.79,0.0
329,FRANK,WAGGONER,1,Mike,Hillyer,5,18.95,3.79,0.4
457,BILL,GAVIN,1,Mike,Hillyer,5,18.95,3.79,0.2
498,GENE,SANBORN,1,Mike,Hillyer,5,18.95,3.79,0.2
144,CLARA,SHAW,1,Mike,Hillyer,5,17.95,3.59,0.2
358,SAMUEL,MARLOW,1,Mike,Hillyer,5,17.95,3.59,0.2
454,ALEX,GRESHAM,1,Mike,Hillyer,5,17.95,3.59,0.0
472,GREG,ROBINS,1,Mike,Hillyer,5,17.95,3.59,0.2
23,SARAH,LEWIS,1,Mike,Hillyer,5,16.95,3.39,0.2
279,DIANNE,SHELTON,1,Mike,Hillyer,5,16.95,3.39,0.0
336,JOSHUA,MARK,2,Jon,Stephens,5,16.95,3.39,0.0
29,ANGELA,HERNANDEZ,1,Mike,Hillyer,5,15.95,3.19,0.2
111,CARMEN,OWENS,2,Jon,Stephens,5,15.95,3.19,0.0
187,BRITTANY,RILEY,2,Jon,Stephens,5,14.95,2.99,0.2
395,JOHNNY,TURPIN,1,Mike,Hillyer,5,14.95,2.99,0.2
31,BRENDA,WRIGHT,1,Mike,Hillyer,5,12.95,2.59,0.2
35,VIRGINIA,GREEN,1,Mike,Hillyer,5,12.95,2.59,0.0
62,JOAN,COOPER,1,Mike,Hillyer,5,12.95,2.59,0.2
456,RONNIE,RICKETTS,1,Mike,Hillyer,5,12.95,2.59,0.0
533,JESSIE,MILAM,1,Mike,Hillyer,5,11.95,2.39,0.2
84,SARA,PERRY,2,Jon,Stephens,5,8.95,1.79,0.0
26,JESSICA,HALL,1,Mike,Hillyer,4,25.96,6.49,0.5
558,JIMMIE,EGGLESTON,2,Jon,Stephens,4,25.96,6.49,0.25
466,LEO,EBERT,2,Jon,Stephens,4,24.96,6.24,0.5
550,GUY,BROWNLEE,1,Mike,Hillyer,4,24.96,6.24,0.5
478,LEWIS,LYMAN,2,Jon,Stephens,4,23.96,5.99,0.25
571,JOHNNIE,CHISHOLM,1,Mike,Hillyer,4,23.96,5.99,0.25
576,MORRIS,MCCARTER,2,Jon,Stephens,4,23.96,5.99,0.5
49,JOYCE,EDWARDS,2,Jon,Stephens,4,22.96,5.74,0.5
68,NICOLE,PETERSON,2,Jon,Stephens,4,22.96,5.74,0.5
89,JULIA,FLORES,1,Mike,Hillyer,4,22.96,5.74,0.5
149,VALERIE,BLACK,2,Jon,Stephens,4,22.96,5.74,0.5
293,MAE,FLETCHER,1,Mike,Hillyer,4,22.96,5.74,0.5
113,CINDY,FISHER,1,Mike,Hillyer,4,21.96,5.49,0.5
163,CATHY,SPENCER,2,Jon,Stephens,4,21.96,5.49,0.5
193,KATIE,ELLIOTT,2,Jon,Stephens,4,21.96,5.49,0.5
383,MARTIN,BALES,1,Mike,Hillyer,4,21.96,5.49,0.5
588,MARION,OCAMPO,2,Jon,Stephens,4,21.96,5.49,0.5
39,DEBRA,NELSON,1,Mike,Hillyer,4,20.96,5.24,0.25
148,ELEANOR,HUNT,2,Jon,Stephens,4,20.96,5.24,0.5
221,BESSIE,MORRISON,1,Mike,Hillyer,4,20.96,5.24,0.5
316,STEVEN,CURLEY,2,Jon,Stephens,4,20.96,5.24,0.25
322,JASON,MORRISSEY,1,Mike,Hillyer,4,20.96,5.24,0.5
327,LARRY,THRASHER,2,Jon,Stephens,4,20.96,5.24,0.5
406,NATHAN,RUNYON,1,Mike,Hillyer,4,20.96,5.24,0.25
1,MARY,SMITH,1,Mike,Hillyer,4,19.96,4.99,0.25
197,SUE,PETERS,2,Jon,Stephens,4,19.96,4.99,0.25
253,TERRY,CARLSON,2,Jon,Stephens,4,19.96,4.99,0.5
289,VIOLET,RODRIQUEZ,2,Jon,Stephens,4,19.96,4.99,0.5
444,MARCUS,HIDALGO,2,Jon,Stephens,4,19.96,4.99,0.5
122,THELMA,MURRAY,2,Jon,Stephens,4,18.96,4.74,0.25
201,VICKI,FIELDS,1,Mike,Hillyer,4,18.96,4.74,0.25
297,SHERRI,RHODES,1,Mike,Hillyer,4,18.96,4.74,0.25
299,JAMES,GANNON,1,Mike,Hillyer,4,18.96,4.74,0.5
310,DANIEL,CABRAL,2,Jon,Stephens,4,18.96,4.74,0.25
320,ANTHONY,SCHWAB,2,Jon,Stephens,4,18.96,4.74,0.25
341,PETER,MENARD,1,Mike,Hillyer,4,18.96,4.74,0.5
448,MIGUEL,BETANCOURT,2,Jon,Stephens,4,18.96,4.74,0.5
25,DEBORAH,WALKER,1,Mike,Hillyer,4,17.96,4.49,0.0
439,ALEXANDER,FENNELL,1,Mike,Hillyer,4,17.96,4.49,0.25
491,RICK,MATTOX,2,Jon,Stephens,4,17.96,4.49,0.0
526,KARL,SEAL,1,Mike,Hillyer,4,17.96,4.49,0.25
196,ALMA,AUSTIN,2,Jon,Stephens,4,16.96,4.24,0.25
268,NINA,SOTO,2,Jon,Stephens,4,16.96,4.24,0.0
277,OLGA,JIMENEZ,2,Jon,Stephens,4,16.96,4.24,0.0
364,BENJAMIN,VARNEY,2,Jon,Stephens,4,16.96,4.24,0.0
365,BRUCE,SCHWARZ,1,Mike,Hillyer,4,16.96,4.24,0.25
516,ELMER,NOE,1,Mike,Hillyer,4,16.96,4.24,0.25
5,ELIZABETH,BROWN,2,Jon,Stephens,4,15.96,3.99,0.0
96,DIANA,ALEXANDER,2,Jon,Stephens,4,15.96,3.99,0.5
186,HOLLY,FOX,1,Mike,Hillyer,4,15.96,3.99,0.0
256,MABEL,HOLLAND,2,Jon,Stephens,4,15.96,3.99,0.0
352,ALBERT,CROUSE,1,Mike,Hillyer,4,15.96,3.99,0.0
384,ERNEST,STEPP,2,Jon,Stephens,4,15.96,3.99,0.25
410,CURTIS,IRBY,1,Mike,Hillyer,4,15.96,3.99,0.0
468,TIM,CARY,1,Mike,Hillyer,4,15.96,3.99,0.25
471,DEAN,SAUER,2,Jon,Stephens,4,15.96,3.99,0.0
85,ANNE,POWELL,1,Mike,Hillyer,4,14.96,3.74,0.25
196,ALMA,AUSTIN,1,Mike,Hillyer,4,14.96,3.74,0.25
230,JOY,GEORGE,2,Jon,Stephens,4,14.96,3.74,0.25
38,MARTHA,GONZALEZ,2,Jon,Stephens,4,13.96,3.49,0.0
86,JACQUELINE,LONG,2,Jon,Stephens,4,13.96,3.49,0.0
307,JOSEPH,JOY,1,Mike,Hillyer,4,13.96,3.49,0.0
319,RONALD,WEINER,2,Jon,Stephens,4,13.96,3.49,0.0
343,DOUGLAS,GRAF,2,Jon,Stephens,4,13.96,3.49,0.25
450,JAY,ROBB,1,Mike,Hillyer,4,13.96,3.49,0.0
534,CHRISTIAN,JUNG,1,Mike,Hillyer,4,13.96,3.49,0.0
57,EVELYN,MORGAN,1,Mike,Hillyer,4,12.96,3.24,0.25
146,JAMIE,RICE,1,Mike,Hillyer,4,12.96,3.24,0.0
377,HOWARD,FORTNER,2,Jon,Stephens,4,12.96,3.24,0.0
387,JESSE,SCHILLING,2,Jon,Stephens,4,12.96,3.24,0.25
446,THEODORE,CULP,2,Jon,Stephens,4,12.96,3.24,0.25
568,ALBERTO,HENNING,2,Jon,Stephens,4,12.96,3.24,0.0
10,DOROTHY,TAYLOR,1,Mike,Hillyer,4,11.96,2.99,0.0
116,VICTORIA,GIBSON,2,Jon,Stephens,4,11.96,2.99,0.0
132,ESTHER,CRAWFORD,1,Mike,Hillyer,4,11.96,2.99,0.0
189,LORETTA,CARPENTER,1,Mike,Hillyer,4,11.96,2.99,0.25
197,SUE,PETERS,1,Mike,Hillyer,4,11.96,2.99,0.0
434,EDDIE,TOMLIN,1,Mike,Hillyer,4,11.96,2.99,0.0
452,TOM,MILNER,1,Mike,Hillyer,4,11.96,2.99,0.25
457,BILL,GAVIN,2,Jon,Stephens,4,11.96,2.99,0.0
241,HEIDI,LARSON,2,Jon,Stephens,4,10.96,2.74,0.25
